1300000005	Psalm
1377310049	Kotin tamanda sapwilim omui ladu, duen omui masan, me i kin kaporoporeki.
1377320040	I me kin kamait ia la ni ai luet; omui ianu kan kin kakel ia da.
1377330050	Me aklapalap akan kin mamale kin ia; ari so, i sota kin muei sang omui kapung o.
137734005c	Maing Ieowa, ma i lamelame duen omui kusoned akan sang nin tapin sappa, i ap insenemau kila.
137735004b	I makar kila me doo sang Kot akan, me kin muei sang sapwilim omui kapung o.
137736003c	Omui kusoned akan, iei ai kaul en kaping nan ai im en kairu.
137737004d	Maing Ieowa, ni pong i kin madamadaua duen mar omui, o peiki ong omui kapung.
137738003e	Mepukat wiaui ong ia er, pweki ai peiki ong omui kusoned akan.
1377390035	Maing Ieowa, iet pwais ai, en kolekol omui masan kan.
13773a0056	I kin ngidingid ong komui sang nan mongiong i; kom kotin maki ong ia duen omui inau o.
13773b0046	I kin madamadaua duen al ai, ap kainen wong omui kadede kan nä i kat.
13773c0039	I kin nantiong o sota pwapwand kolekol omui kusoned akan.
13773d0054	Pwin en me doo sang Kot akan kapil ia pena, ari so, i sota monokela omui kapung kan.
13773e004a	Ni ailep en pong i kin paurida, pwen danke komui, pweki omui kusoned pung.
13773f004e	I kin waroki ong ir karos, me masak komui o ir, me apapwali omui kusoned akan.
1377400049	Maing Ieowa, sappa direki omui kalangan; padaki ong ia omui kusoned akan.
1377410053	Maing Ieowa, komui me kotin wiai ong sapwilim omui ladu kamau kan duen omui inau o.
1377420044	Padaki ong ia tiak mau o lolekong, pwe i kin liki omui kusoned akan.
1377430047	Mon ai aktikitikala, i kin sapusapung, a met i kin apapwali omui masan.
137744004a	Komui me mau o kapunglol, kotin padaki dong ia sapwilim omui kusoned akan.
137745005d	Me aklapalap akan kin kalikama ia; a ngai kin apapwali omui kusoned akan sang nan mongiong i.
137746003d	Mongiong arail masul kila wi; a i kin peren kida omui kapung.
1377470049	Meid mau ong ia omui kaopampap ia la, pwe i en padakki omui kusoned akan.
1377480044	Kapung sang nan silang omui mau ong ia, sang kold o silper kid toto.
137749004f	Lim omui kan kapik o wia ia dar, padaki ong ia, pwe i en asa omui kusoned akan.
13774a004a	Me kin masak komui, pan kilang ia, ap peren kida, pwe i auiaui omui masan.
13774b005a	Maing Ieowa, i asa, me omui kadeik kan me pung, o kom kotin kaopampap ia la ni omui melel.
13774c004b	Omui mak pan kamait ia la, duen me kom kotin inauki ong sapwilim omui ladu.
13774d004b	Kom kotin kupura ia, i ap pan memaur eta, pwe i kin peren kida omui kapung.
13774e0068	Me aklapalap akan en sarodi, pwe re sapung ong ia ni sokarepa; a ngai madamadaua duen omui kusoned akan.
13774f0041	Me masak komui, ren waroki ong ia, o me asa duen omui kadede kan.
137750003c	Mongiong i en pung ni omui kusoned akan, pwe i ender sarodi.
137751003b	Ngen i kin inong iong omui dore ia la, i auiaui omui masan.
1377520050	Por en mas ai kin anane omui inau, kalelapok: Iad me kom pan kotin kamait ia la?
1377530051	Pwe i luetalar rasong deun pil eu nan adiniai, i sota monokela omui kusoned akan.
137754005b	Arai da, sapwilim omui ladu pan memaurada? Iad me kom pan kotin kadeikada ai imwintiti kan?
137755005b	Me aklapalap akan weiradang ia por akai, irail me sota kin duki ong sapwilim omui kapung o.
1377560065	Sapwilim omui kusoned akan karos me melel. Irail raparapa kin ia ni sota karepa; kom kotin sauasa ia!
1377570053	Me ekis, re pan kame ia la sang nin sappa, a ngai sota muei sang omui kusoned akan.
137758004a	Kamaur ia da duen omui kalangan, a ngai pan kolekol kadede en silang omui.
1377590030	Maing Ieowa, omui masan pan potopot eta nanlang.
13775a0056	Omui melel kin sang eu kainok lel eu; komui me kotin kasonedier sappa o a pan mimieta.
13775b0055	Irail karos mimieta lao lel ran wet, duen omui kusoned akan, pwe karos kin upa komui.
13775c003c	Ma omui kapung sota pan kaperen pa i, i pan mela ni ai luet.
13775d0051	I sota pan monokela omui kusoned akan kokolata, pwe ir me komui kakela kin ia da.
13775e0055	Ngai sapwilim omui, kom kotin sauasa ia! Pwe i inong iong sapwilim omui kusoned akan.
13775f0051	Me doo sang Kot akan masamasan ia, pwen kame ia la; i kin apwali omui kadede kan.
137760003f	I kilanger imwin meakaros, a sapwilim omui kusoned pan mimieta.
137761004a	Ia wan ai pok ong sapwilim omui kapung! Nin ran karos i kin kasokasoi due.
1377620064	Kom kin kalolekong kin ia omui kusoned akan sang ai imwintiti kan, pwe irail pan ieiang ia kokolata.
1377630055	Ngai lolekong sang ai saunpadak kan karos, pwe i kin madamadaua duen omui kadede kan.
137764004c	Ngai lolekong sang me ma kan, pwe i kin apapwali sapwilim omui kusoned akan.
137765004d	I sota mueid ong nä i, en weweid pon al sapung, pwe i en kolekol omui masan.
1377660047	I sota wuki wei sang omui kusoned akan, pwe kom kotin padaki ong ia er.
1377670026	Omui masan me iau sang onik nan au ai.
1377680047	Omui kusoned akan kin kalolekong ia, i me i kin tataki al sapung karos.
137769003b	Sapwilim omui masan me ser pan nä i, o kamarain pan al ai.
13776a0046	I kaukilar, me i pan kolekol omui kusoned pung kan, o i pan kapwaiada.
13776b0045	I insensued melel; Maing Ieowa, re kotin kamaur ia da duen omui inau.
13776c0058	Maing Ieowa, kom kotin kupura kisakis en au ai, o kotin padaki ong ia omui kusoned akan.
13776d003c	I kin wewa maur i nan pa i kat; i sota monokela omui kapung.
13776e004c	Me doo sang Kot akan insensare ia, a i sota wuki wei sang omui kusoned akan.
13776f0040	Omui kadede kan iei ai soso soutuk, pwe re kaperenda mongiong i.
137770004b	Mongiong i kin inong iong kapwaiada omui kusoned akan ansau karos kokolata.
137771003b	I kin kailongki me lol riapot, o i kin pok ong omui kapung.
1377720037	Komui ai kadauk o pere pa i, i kaporoporeki omui masan.
137773004b	Komail me sued akan en muei sang ia! I men apapwali kusoned en ai Kot akan.
137774006a	Sauasa ia duen omui inau, i ap pan memaur eta; o kom der kotin mueid ong, i en namenokala ni ai kaporopor.
1377750053	Kamanga ia da, i ap pan kelailada, i ap pan apapwali omui kusoned akan ansau karos.
1377760066	Kom kin kotin tiakedi karos, me pan wuki wei sang omui kusoned akan; pwe arail sapung me dir en likam.
137777006c	Kom kin kotin kase sang sappa me doo sang Kot akan karos dueta samit; i me i kin pok ong ki omui kadede kan.
1377780048	I kin masak komui, i me i kin muserereki, o i kin masak omui kadeik kan.
1377790055	I kin apapwali me inen o pung; kom der kotin pang ia lang ren me kin wia sued ong ia.
13777a004d	Sauasa sapwilim omui ladu o kamaitala i; me aklapalap akan ender sued ong ia.
13777b003a	Por en mas ai inong iong omui kamaur ia, o omui inau pung.
13777c0057	Wia ong sapwilim omui ladu duen omui kalangan, o kotin padaki ong ia omui kusoned akan.
13777d0057	Ngai sapwilim omui ladu; kotin padaki ong ia, pwe i en dedeki sapwilim omui kadede kan.
13777e004e	Ansau leler, me Ieowa pan kotin wiawia; pwe irail kawela sapwilim omui kapung.
13777f004a	I me i kin pok ki ong sapwilim omui kusoned akan, sang kold o kold lingan.
1377800056	I me i kin kasampwaleki sapwilim omui kusoned akan karos, i tata ki al en likam karos.
1377810042	Omui kadede kan meid kapuriamui, i me mongiong, i apapwali kin ir.
137782004f	Ma omui masan pan sansalada, a pan kareda peren o lolekong ong me opampap akan.
1377830051	Au ai kin sar pasang o inong iong sapwilim omui kusoned akan; pwe i kin anane ir.
137784005c	Kom kotin wukedoke dong ia, o maki ong ia, duen me kom kin wiai ong ir, me pok ong mar omui.
1377850059	Kotin kainenela al ai nan sapwilim omui masan, o der mueid ong, me sued kot en wiawia ia.
1377860054	Kotin dore ia la sang mor sued en aramas akan, a i ap pan kolekol omui kusoned akan.
1377870056	Kotin kamarainiki omui ladu silang omui, o kotin padaki ong ia duen omui kusoned akan.
1377880041	Por en mas ai me dir en pil, pweki ar sota peiki ong omui kapung.
137789003e	Maing Ieowa, komui me kotin pung, o omui kusoned akan me pung.
13778a0055	Komui me kotiki ong kit er kadede pan omui pung o melel, pwe i en nantiong kapwaiada.
13778b0054	I insensued melel, koren iong mela, pweki ai imwintiti kan monokela omui masan akan.
13778c003c	Omui masan meid makelekel, o sapwilim omui ladu kin pok ong.
13778d0047	Ngai me tikitik o me mal amen, a i sota kin monokela omui kusoned akan.
13778e0034	Omui pung me pung soutuk eu, o omui kapung me melel.
13778f0036	Masak o apwal lel dong ia; omui kusoned akan ai peren.
137790004f	Pung en sapwilim omui kadede kan me soutuk, padaki ong ia, i ap pan memaur eta.
137791005c	I ngidingid sang nan mongiong i; Ieowa kom kotin mangi ia! I pan apapwali omui kusoned akan.
137792004d	I likwir wong komui, kom kotin sauasa ia, a i ap pan kolekol omui kadede kan.
1377930032	Nin soran i kodo o ngidingid; i auiaui omui masan.
137794003f	I kin pirida ni ailep en pong, pwen madamadaua duen omui masan.
1377950051	Ereki ngil ai duen ar kalangan; Maing Ieowa, kamaur ia da duen omui kusoned akan.
1377960049	Ai imwintiti sued akan koren iong ia, a re doo sang sapwilim omui kapung;
1377970048	Maing Ieowa, komui me koren iong ia, o omui kusoned akan karos me melel.
1377980051	I asa sang mas o, me komui kasonedier sapwilim omui kadede kan, pwen potopot eta.
137799004b	Kom kotin irerong ai luet, o kamaio ia da! Pwe i sota monokela omui kapung.
13779a003f	Kotin apapwali ia, o dore ia la, o kamaur ia da duen omui inau.
13779b0052	Me doo sang Kot akan kin doo sang maur, pwe re sota kin isenoki omui kusoned akan.
13779c0054	Omui kalangan meid laud, Maing Ieowa; kom kotin kamaur ia da duen omui kusoned akan.
13779d0051	Me pakipaki ia, o palian ia me toto; ari so, i sota wuk wei sang omui kadede kan.
13779e0068	I kin kilekilang me mor sued akan, ap pokela, o i kin suedeki, pwe re sota kin peiki ong omui kusoned o.
13779f006f	Kotin masando, me i kin pok ong sapwilim omui kusoned akan; Maing Ieowa, kotin kakel ia da, duen omui kalangan.
1377a00040	Omui masan me dir en melel, o masan en omui kapung pan duedueta.
1377a10052	Saupeidi kan kin masamasan ia ni sokarepa; a mongiong i kin masak omui masan akan.
1377a20044	I kin peren kida omui inau dueta amen, me diaradar pai kasampwal eu.
1377a3004a	I kailongki likam o suede kin irail, a i kin pok ong sapwilim omui kapung.
1377a40050	Pan ise pak i kin kapinga komui ni ran ta ieu, pweki kusoned en omui kapung kan.
1377a5004c	Me kin pok ong sapwilim omui kapung, kin popol melel, re sota pan salongala.
1377a60054	Maing Ieowa, i kin auiaui omui kamaur, o i kin peiki ong sapwilim omui kusoned akan.
1377a7004b	Mongiong i kin kolekol sapwilim omui kadede kan, o kin pok ong irail melel.
1377a8005a	I kin kolekol sapwilim omui kusoned o kadede kan, pwe al ai kan karos me sansal mo ’mui.
1377a9004d	Maing Ieowa, kotin mangi ai ngidingid, o kotin padaki ong ia duen omui masan.
1377aa0037	Re kotin mangi ai kapakap, o dore ia la duen omui inau.
1377ab004d	Komui lao padaki ong ia omui kusoned akan, kil en au ai ap pan kapinga komui.
1377ac0046	Lo i pan kauleki duen omui masan, pwe omui kusoned akan karos me pung.
1377ad0037	Lim omui en sauasa ia, pwe i piladar omui kusoned akan.
1377ae004a	Maing Ieowa, i kin inong iong omui kamaur, o i kin peren kida omui kapung.
1377af005d	Kom kotin ieiang ngen i, pwen memaur eta ap kapinga komui, o lim omui pali maun en sauasa ia.
1377b00080	Ngai ras ong sip amen me sansalong sili o salongala; kom kotin rapaki sapwilim omui ladu, pwe i sota monokela omui kusoned akan.
137801003a	NI ai apwal akan i likwir wong Ieowa, a ap kotin mangi ia.
1378020047	Maing Ieowa, kotin dore ia la, sang au en me kin likam, o lo en kotaue.
1378030038	Da me lo likam kak wiai ong uk, o da me a kak kapwaiada?
1378040054	A rasong kanangan kasik katieu kong kan ren me kelail amen, dueta kisiniai nan alek.
1378050049	Meid apwal ong ia, ai kairu nan Mesek, o ai kauson impan im en men Kedar!
1378060043	Meid warai ong ai kaukauson ren aramas akan me kin tataki muei mau.
137807003e	I inong iong muei mau, a ni ai pan lokaia, re kin mauki mauin.
1379010039	I SARADANG nana kan, wasa sauas pa i pan pwarado sang ia.
1379020047	Sauas pa i pan pwarado sang ren Ieowa, me kotin kapikadar lang o sappa.
1379030057	A sota pan kotin mueid ong nä om, en krisedi; o me kin sinsila uk, sota kin saimokala.
1379040038	Kilang, sile pan Israel sota kin saimok de saimok kalik.
1379050036	Ieowa iei sile pa om, Ieowa iei motan pa om pali maun.
1379060033	Katipin sota pan dakar uk nin ran de maram ni pong.
1379070051	Ieowa pan kotin pera wei sang uk song en sued karos, a pan kotin sinsila ngen om.
1379080047	Ieowa pan kotin sinsila uk ni om pedoi o pedelong, sang met o kokolata.
137a010043	I PEREN kida ar indai ong ia: Kitail en kolang nan tanpas en Ieowa!
137a020030	Nä at akan pan mi ni wanim en kel en Ierusalem.
137a030035	Ierusalem kanim eu me kakaudar, pwen kanim kelail eu.
137a04006a	Wasa me kainok kan kin momaitala ia, kainok en Ieowa kan, saunkadede en Israel, pwen kapinga mar en Ieowa.
137a05003c	Pwe i wasa me mol en kadeik mi ia, mol en kadaudok en Dawid.
137a06003b	Poeki ong Ierusalem a pai kan! Me kin pok ong uk, en paida!
137a07002f	Muei mau en mi ni om kel, o pai nan om im akan!
137a080034	I pan kapakapa kin uk pweki ri ai o kompoke pai kan.
137a09003f	I pan rapaki ong uk me mau melel, pweki tanpas en Ieowa at Kot.
137b01002c	I KIN sarada wong komui, me kotikot nanlang.
137b0200b4	Kilang, duen mas en ladu kan kin kilekilang lim en ar saumas akan, o duen mas en lidu kan kin kilekilang a saumas li, iduen mas at kin ariri Ieowa at Kot, a lao kotin maki ong kit.
137b03004f	Maing Ieowa, kom kotin maki ong, kotin maki ong kit! Pwe kit me dir en namenok.
137b040061	Moniong i toutouki en me sued akan ar mamale kin kit o en me aklapalap akan ar kanamenok kin kit.
137c010033	ISRAEL en inda: Ma Ieowa sota pan kotin ieiang kit,
137c020044	Ma Ieowa sota pan kotin ieiang kit, ni en aramas akan ar palian kit,
137c03003e	Re pan katala kit ala ni at memaur, ni ar lingarangar kin kit.
137c04003e	Pil akan ap pan kamop kit ala, pilap akan kadupwaledi ngen it.
137c05002d	Pil akan itida melel lao kadupwaledi ngen it.
137c060041	Kaping ong Ieowa, me sota mueid ong, ngi arail en ter kit pasang!
137c070050	Ngen it piti sang insar en sauninsar dueta manpir amen; insar ola, a kit pitila.
137c08003c	Sauas pat iei mar en Ieowa, me kotin kapikadar lang o sappa.
137d010048	Me liki Ieowa kin rasong dol Sion, me sota kin mokid, a pan potopot eta.
137d020070	Duen dol akan kin kapil pena Ierusalem, iduen Ieowa kin kotikot ren sapwilim a aramas akan, sang met o kokolata.
137d030087	Pwe sokon en me doo sang Kot akan sota pan mimieta ren kisin pwin en me pung kan, pwe me pung kan ender kapa wong pa ar kan nin sapung.
137d040062	Maing Ieowa, kotin kasansaleda omui kalangan ong me mau kan o ong ir, me melel nan mongiong arail.
137d050066	A me kin wuki wong ni al sapung, Ieowa pan kotin paki irail wei iangaki me sued akan. Israel en popol!
137e010053	NI ansau Ieowa kotin kapuredor me salidi en Israel akan, kit rasong ir, me auramen.
137e02007e	I ansau au at me dir en kaurur, o lo at me dir en ngisingis. I ansau men iki kan ap inda: Meid laud dodok en Ieowa re ’rail!
137e030045	Melel, dodok en Ieowa meid laud ong kit er, o i me se kin peren kida.
137e040051	Maing Ieowa, re kotin kapuredo at salidi kan dueta pilap en sap en pali air akan.
137e050035	Me kamore kidi pil en mas arail, pan dolung ni peren.
137e060068	Re kin weweidki sangesang, o kin wewa wa kasampwal, a ni ar puredo, re pan peren, wado ar kap en wa kan.
137f010087	MA Ieowa sota pan kauada im o, dodok en pwin sause sota pan katepa; ma Ieowa sota pan sinsila kanim o, saunmasamasan pan masamasan mal.
137f0200ba	Sota katepa ong komail, ma komail pan paurida nin soran, ap pil pwand kamol ni pong, o toutouki okotme, ni omail mangamanga, pwe a kin kakepwapwala sapwilim a kompokepa kan ni ar mamair.
137f030043	Kilang, seri ko iei kisakis eu sang ren Ieowa, o wan aramas pai eu.
137f040051	Duen kanangan kasik katieu nan pa en ol komad amen, iduen putak ko ar pan pwaida.
137f050068	Meid pai ol o, me a lepan me direki mepukat! Re sota pan sarodi, ni ar kapung pena ren ar imwintiti kan.
1380010049	MEID pai karos, me kin masak Ieowa, me kin weweid nan sapwilim a al akan!
1380020045	Pwe koe pan memaureki dodok en pa om akan, koe meid pai o pwaida mau.
138003006f	Om paud pan rasong tuka en wain pot, me wa mau nan im om, o noum seri kan pan dueta paini, me kapwata om tepel.
1380040031	Kilang, iduen ol o, me masak Ieowa, a pan pwaida.
1380050057	Ieowa pan kapai uk ada sang nan Sion, pwe koe en kilang pai en Ierusalem arain om maur.
1380060037	O koe pan kilang seri eu noum seri ko. Israel en popol!
1381010049	ISRAEL en inda: Re katoutou ia melel sang ni ai tikitik lel met pak toto.
138102005e	Pan pak toto re katoutou ia melel sang ni ai tikitik lel met; ari so, re sota kak kaloe ia di.
1381030039	Men sapasap weirada pon tinsau ai, wiadar warawar reirei.
1381040044	A Ieowa me pung, a kotin lepuk pasanger sal en me doo sang Kot akan.
138105002e	Karos me kin tataki Sion, en sarodi o tangwei!
1381060041	Ren rasong rä pon os en im o, me kin mong pena mon a pan ususda!
1381070052	Me sota kin kadirela kumut en pa en saundolung, de pa en me kin pir pena kap akan.
138108006d	Pwe me kin daulul wasa o, ren der inda: Kot en kotin kupura maui komail! Kit kapai komail da ni mar en Ieowa!
1382010039	MAING Ieowa, i kin likwirda wong komui sang nan wasa lol.
1382020040	Maing, kotin ereki ngil ai! Karong omui en mamangi ai ngidingid!
1382030065	Ma komui Ieowa, pan kotin kapokonki ong aramas dip akan, Maing, is me ap pan kak kasinenda mo ’mui?
1382040031	A komui kin kotin mak, pwe aramas en masak komui.
138205003d	I kin auiaui Ieowa, ngen i kin auiaui, o i kin auiaui a inau.
1382060062	Ngen i kin auiaui Kaun o, sang saunmasamasan kin auiaui mansang, saunmasamasan kin auiaui mansang.
1382070045	Israel auiaui Ieowa, pwe Ieowa me kalangan, o wasa en kamaio mi re a;
