0100000007	Genèse
041905006d	Moïse dit aux juges d’Israël: Que chacun de vous tue ceux de ses gens qui se sont attachés à Baal-Peor.
04190600f9	Et voici, un homme des enfants d’Israël vint et amena vers ses frères une Madianite, sous les yeux de Moïse et sous les yeux de toute l’assemblée des enfants d’Israël, tandis qu’ils pleuraient à l’entrée de la tente d’assignation.
041907008d	A cette vue, Phinées, fils d’Éléazar, fils du sacrificateur Aaron, se leva du milieu de l’assemblée, et prit une lance, dans sa main.
04190800be	Il suivit l’homme d’Israël dans sa tente, et il les perça tous les deux, l’homme d’Israël, puis la femme, par le bas-ventre. Et la plaie s’arrêta parmi les enfants d’Israël.
0419090039	Il y en eut vingt-quatre mille qui moururent de la plaie.
04190a0025	L’Éternel parla à Moïse, et dit:
04190b00f8	Phinées, fils d’Éléazar, fils du sacrificateur Aaron, a détourné ma fureur de dessus les enfants d’Israël, parce qu’il a été animé de mon zèle au milieu d’eux; et je n’ai point, dans ma colère, consumé les enfants d’Israël.
04190c0046	C’est pourquoi tu diras que je traite avec lui une alliance de paix.
04190d00c6	Ce sera pour lui et pour sa postérité après lui l’alliance d’un sacerdoce perpétuel, parce qu’il a été zélé pour son Dieu, et qu’il a fait l’expiation pour les enfants d’Israël.
04190e0092	L’homme d’Israël, qui fut tué avec la Madianite, s’appelait Zimri, fils de Salu; il était chef d’une maison paternelle des Siméonites.
04190f0087	La femme qui fut tuée, la Madianite, s’appelait Cozbi, fille de Tsur, chef des peuplades issues d’une maison paternelle en Madian.
0419100025	L’Éternel parla à Moïse, et dit:
041911002e	Traite les Madianites en ennemis, et tuez-les;
04191200ea	car ils se sont montrés vos ennemis, en vous séduisant par leurs ruses, dans l’affaire de Peor, et dans l’affaire de Cozbi, fille d’un chef de Madian, leur sœur, tuée le jour de la plaie qui eut lieu à l’occasion de Peor.
041a010063	A la suite de cette plaie, l’Éternel dit à Moïse et à Éléazar, fils du sacrificateur Aaron:
041a0200cd	Faites le dénombrement de toute l’assemblée des enfants d’Israël, depuis l’âge de vingt ans et au-dessus, selon les maisons de leurs pères, de tous ceux d’Israël en état de porter les armes.
041a030085	Moïse et le sacrificateur Éléazar leur parlèrent dans les plaines de Moab, près du Jourdain, vis-à-vis de Jéricho. Ils dirent:
041a0400bd	On fera le dénombrement, depuis l’âge de vingt ans et au-dessus, comme l’Éternel l’avait ordonné à Moïse et aux enfants d’Israël, quand ils furent sortis du pays d’Égypte.
041a05008f	Ruben, premier-né d’Israël. Fils de Ruben: Hénoc de qui descend la famille des Hénokites; Pallu, de qui descend la famille des Palluites;
041a060062	Hetsron, de qui descend la famille des Hetsronites; Carmi, de qui descend la famille des Carmites.
041a070078	Ce sont là les familles des Rubénites: ceux dont on fit le dénombrement furent quarante-trois mille sept cent trente.
041a080016	Fils de Pallu: Éliab.
041a090101	Fils d’Éliab: Nemuel, Dathan et Abiram. C’est ce Dathan et cet Abiram, qui étaient de ceux que l’on convoquait à l’assemblée, et qui se soulevèrent contre Moïse et Aaron, dans l’assemblée de Koré, lors de leur révolte contre l’Éternel.
041a0a00ca	La terre ouvrit sa bouche, et les engloutit avec Koré, quand moururent ceux qui s’étaient assemblés, et que le feu consuma les deux cent cinquante hommes: ils servirent au peuple d’avertissement.
041a0b0023	Les fils de Koré ne moururent pas.
041a0c009c	Fils de Siméon, selon leurs familles: de Nemuel descend la famille des Nemuélites; de Jamin, la famille des Jaminites; de Jakin, la famille des Jakinites;
041a0d004b	de Zérach, la famille des Zérachites; de Saül, la famille des Saülites.
041a0e0046	Ce sont là les familles des Siméonites; vingt-deux mille deux cents.
041a0f0099	Fils de Gad, selon leurs familles: de Tsephon descend la famille des Tsephonites; de Haggi, la famille des Haggites; de Schuni, la famille des Schunites;
041a100043	d’Ozni, la famille des Oznites; d’Éri, la famille des Érites;
041a11004a	d’Arod, la famille des Arodites; d’Areéli, la famille des Areélites.
041a120063	Ce sont là les familles des fils de Gad, d’après leur dénombrement: quarante mille cinq cents.
041a130046	Fils de Juda: Er et Onan; mais Er et Onan moururent au pays de Canaan.
041a1400ad	Voici les fils de Juda, selon leurs familles: de Schéla descend la famille des Schélanites; de Pérets, la famille des Péretsites; de Zérach, la famille des Zérachites.
041a15007f	Les fils de Pérets furent: Hetsron, de qui descend la famille des Hetsronites; Hamul, de qui descend la famille des Hamulites.
041a160061	Ce sont là les familles de Juda, d’après leur dénombrement: soixante-seize mille cinq cents.
041a170074	Fils d’Issacar, selon leurs familles: de Thola descend la famille des Tholaïtes; de Puva, la famille des Puvites;
041a180051	de Jaschub, la famille des Jaschubites; de Schimron, la famille des Schimronites.
041a190067	Ce sont là les familles d’Issacar, d’après leur dénombrement: soixante quatre mille trois cents.
041a1a009f	Fils de Zabulon, selon leurs familles: de Séred descend la famille des Sardites; d’Élon, la famille des Élonites; de Jahleel, la famille des Jahleélites.
041a1b0063	Ce sont là les familles des Zabulonites, d’après leur dénombrement: soixante mille cinq cents.
041a1c003c	Fils de Joseph, selon leurs familles: Manassé et Éphraïm.
041a1d0080	Fils de Manassé: de Makir descend la famille des Makirites. Makir engendra Galaad. De Galaad descend la famille des Galaadites.
041a1e006e	Voici les fils de Galaad: Jézer, de qui descend la famille des Jézerites; Hélek, la famille des Hélekites;
041a1f0047	Asriel, la famille des Asriélites; Sichem, la famille des Sichémites;
041a20004b	Schemida, la famille des Schemidaïtes; Hépher, la famille des Héphrites.
041a21009c	Tselophchad, fils de Hépher, n’eut point de fils, mais il eut des filles. Voici les noms des filles de Tselophchad: Machla, Noa, Hogla, Milca et Thirtsa.
041a220065	Ce sont là les familles de Manassé, d’après leur dénombrement: cinquante deux mille sept cents.
041a2300b4	Voici les fils d’Éphraïm, selon leurs familles: de Schutélach descend la famille des Schutalchites; de Béker, la famille des Bakrites; de Thachan, la famille des Thachanites.
041a240050	Voici les fils de Schutélach: d’Éran est descendue la famille des Éranites.
041a2500a3	Ce sont là les familles des fils d’Éphraïm, d’après leur dénombrement: trente-deux mille cinq cents. Ce sont là les fils de Joseph, selon leurs familles.
041a2600a3	Fils de Benjamin, selon leurs familles: de Béla descend la famille des Balites; d’Aschbel, la famille des Aschbélites; d’Achiram, la famille des Achiramites;
041a27004f	de Schupham, la famille des Schuphamites; de Hupham, la famille des Huphamites.
041a280076	Les fils de Béla furent: Ard et Naaman. D’Ard descend la famille des Ardites; de Naaman, la famille des Naamanites.
041a290077	Ce sont là les fils de Benjamin, selon leurs familles et d’après leur dénombrement; quarante-cinq mille six cents.
041a2a0094	Voici les fils de Dan, selon leurs familles: de Schucham descend la famille des Schuchamites. Ce sont là les familles de Dan, selon leurs familles.
041a2b006c	Total pour les familles des Schuchamites, d’après leur dénombrement: soixante-quatre mille quatre cents.
041a2c0098	Fils d’Aser, selon leurs familles: de Jimna descend la famille des Jimnites; de Jischvi, la famille des Jischvites; de Beria, la famille des Beriites.
041a2d006b	Des fils de Beria descendent: de Héber, la famille des Hébrites; de Malkiel, la famille des Malkiélites.
041a2e002b	Le nom de la fille d’Aser était Sérach.
041a2f006e	Ce sont là les familles des fils d’Aser, d’après leur dénombrement: cinquante-trois mille quatre cents.
041a30007b	Fils de Nephthali, selon leurs familles: de Jahtseel descend la famille des Jahtseélites; de Guni, la famille des Gunites;
041a31004f	de Jetser, la famille des Jitsrites; de Schillem, la famille des Schillémites.
041a32007f	Ce sont là les familles de Nephthali, selon leurs familles et d’après leur dénombrement: quarante-cinq mille quatre cents.
041a330068	Tels sont ceux des enfants d’Israël dont on fit le dénombrement: six cent un mille sept cent trente.
041a340025	L’Éternel parla à Moïse, et dit:
041a350057	Le pays sera partagé entre eux, pour être leur propriété, selon le nombre des noms.
041a3600d4	A ceux qui sont en plus grand nombre tu donneras une portion plus grande, et à ceux qui sont en plus petit nombre tu donneras une portion plus petite; on donnera à chacun sa portion d’après le dénombrement.
041a370079	Mais le partage du pays aura lieu par le sort; ils le recevront en propriété selon les noms des tribus de leurs pères.
041a380073	C’est par le sort que le pays sera partagé entre ceux qui sont en grand nombre et ceux qui sont en petit nombre.
041a3900c4	Voici les Lévites dont on fit le dénombrement, selon leurs familles: de Guerschon descend la famille des Guerschonites; de Kehath, la famille des Kehathites; de Merari, la famille des Merarites.
041a3a00b4	Voici les familles de Lévi: la famille des Libnites, la famille des Hébronites, la famille des Machlites, la famille des Muschites, la famille des Korites. Kehath engendra Amram.
041a3b009f	Le nom de la femme d’Amram était Jokébed, fille de Lévi, laquelle naquit à Lévi, en Égypte; elle enfanta à Amram: Aaron, Moïse, et Marie, leur sœur.
041a3c0039	Il naquit à Aaron: Nadab et Abihu, Éléazar et Ithamar.
041a3d0059	Nadab et Abihu moururent, lorsqu’ils apportèrent devant l’Éternel du feu étranger.
041a3e0117	Ceux dont on fit le dénombrement, tous les mâles depuis l’âge d’un mois et au-dessus, furent vingt-trois mille. Ils ne furent pas compris dans le dénombrement des enfants d’Israël, parce qu’il ne leur fut point donné de possession au milieu des enfants d’Israël.
041a3f00ad	Tels sont ceux des enfants d’Israël dont Moïse et le sacrificateur Éléazar firent le dénombrement dans les plaines de Moab, près du Jourdain, vis-à-vis de Jéricho.
041a400096	Parmi eux, il n’y avait aucun des enfants d’Israël dont Moïse et le sacrificateur Aaron avaient fait le dénombrement dans le désert de Sinaï.
041a410091	Car l’Éternel avait dit: ils mourront dans le désert, et il n’en restera pas un, excepté Caleb, fils de Jephunné, et Josué, fils de Nun.
041b0100c6	Les filles de Tselophchad, fils de Hépher, fils de Galaad, fils de Makir, fils de Manassé, des familles de Manassé, fils de Joseph, et dont les noms étaient Machla, Noa, Hogla, Milca et Thirtsa,
041b0200c1	s’approchèrent et se présentèrent devant Moïse, devant le sacrificateur Éléazar, et devant les princes et toute l’assemblée, à l’entrée de la tente d’assignation. Elles dirent:
041b0300e3	Notre père est mort dans le désert; il n’était pas au milieu de l’assemblée de ceux qui se révoltèrent contre l’Éternel, de l’assemblée de Koré, mais il est mort pour son péché, et il n’avait point de fils.
041b0400b2	Pourquoi le nom de notre père serait-il retranché du milieu de sa famille, parce qu’il n’avait point eu de fils? Donne-nous une possession parmi les frères de notre père.
041b05002a	Moïse porta la cause devant l’Éternel.
041b06001e	Et l’Éternel dit à Moïse:
041b0700b8	Les filles de Tselophchad ont raison. Tu leur donneras en héritage une possession parmi les frères de leur père, et c’est à elles que tu feras passer l’héritage de leur père.
041b08008d	Tu parleras aux enfants d’Israël, et tu diras: Lorsqu’un homme mourra sans laisser de fils, vous ferez passer son héritage à sa fille.
041b090048	S’il n’a point de fille, vous donnerez son héritage à ses frères.
041b0a0054	S’il n’a point de frères, vous donnerez son héritage aux frères de son père.
041b0b00f9	S’il n’y a point de frères de son père, vous donnerez son héritage au plus proche parent dans sa famille, et c’est lui qui le possédera. Ce sera pour les enfants d’Israël une loi et un droit, comme l’Éternel l’a ordonné à Moïse.
041b0c0079	L’Éternel dit à Moïse: Monte sur cette montagne d’Abarim, et regarde le pays que je donne aux enfants d’Israël.
041b0d0077	Tu le regarderas; mais toi aussi, tu seras recueilli auprès de ton peuple, comme Aaron, ton frère, a été recueilli;
041b0e010b	parce que vous avez été rebelles à mon ordre, dans le désert de Tsin, lors de la contestation de l’assemblée, et que vous ne m’avez point sanctifié à leurs yeux à l’occasion des eaux. Ce sont les eaux de contestation, à Kadès, dans le désert de Tsin.
041b0f0025	Moïse parla à l’Éternel, et dit:
041b10005c	Que l’Éternel, le Dieu des esprits de toute chair, établisse sur l’assemblée un homme
041b1100bd	qui sorte devant eux et qui entre devant eux, qui les fasse sortir et qui les fasse entrer, afin que l’assemblée de l’Éternel ne soit pas comme des brebis qui n’ont point de berger.
