010000000a	Yaradiliş
0709290065	Avimelek Arumada yaşadı. Zevul isə Qaal ilə qardaşlarını Şekemdə yaşamağa qoymayıb qovdu.
07092a0054	Ertəsi gün Şekem xalqı çölə çıxanda bu barədə Avimelekə xəbər verildi.
07092b00ac	O, ordusunu götürüb üç dəstəyə ayırdı və onlar çöldə pusqu qurub güddülər. Avimelek xalqın şəhərdən çıxdığını görəndə qalxıb hücuma keçdi.
07092c00ad	Avimeleklə dəstəsi cəld irəli keçərək şəhər darvazasının girişində dayandılar. O biri iki dəstə isə çöldəki xalqın üstünə düşüb onları qırdı.
07092d0089	Avimelek bütün günü şəhərə hücum edərək şəhəri aldı. Orada olan adamları qırdı, şəhəri viran edib yerinə duz əkdi.
07092e005b	Şekemin qülləsindəki adamlar bunu eşidəndə El-Berit məbədinin qalasına girdilər.
07092f005b	Bütün Şekem qülləsindəkilərin oraya yığıldığını Avimelekə xəbər verdilər.
07093000f5	Avimelek bütün adamları ilə bərabər Salmon dağına çıxdı. Əlinə balta götürüb ağacdan bir budaq kəsdi və onu çiyinlərinin üstünə qoyub yanındakı xalqa belə dedi: «Cəld olun, mən necə edirəmsə, siz də elə edin».
07093100cb	Bütün xalq bir-bir budaqları kəsərək Avimelekin arxasınca getdi və budaqları qalanın ətrafında qoyub od vurdu. Şekem qülləsindəki adamlardan minə qədər kişi və qadın yanaraq öldü.
0709320038	Avimelek Tevesə getdi və oranı mühasirə edib aldı.
07093300bb	Şəhərin ortasında möhkəm bir qüllə var idi. Bütün şəhər əhalisi – kişi və qadınlar qülləyə qaçaraq qapını arxalarınca bağlayıb qüllənin başına çıxdılar.
0709340064	Avimelek gəlib qülləyə hücum etdi. Oraya od vurmaq üçün qüllənin qapısına yaxınlaşdı.
070935005d	Onda bir qadın dəyirmanın üst daşını Avimelekin başına tullayaraq kəlləsini əzdi.
07093600da	Avimelek tez silah daşıyan gənc nökərini çağırıb dedi: «Çək qılıncını, məni öldür. Qoy mənim üçün deməsinlər ki, onu bir arvad öldürdü». Nökər qılıncı ilə onu vuranda Avimelek öldü.
070937004c	İsraillilər görəndə ki Avimelek ölüb, hamısı öz yerinə qayıtdı.
070938006e	Bununla da Allah Avimelekin yetmiş qardaşını öldürməklə atasına etdiyi pisliyi öz başına gətirdi.
070939008b	Allah Şekem əhalisinin də bütün pisliyini öz başlarına gətirdi. Yerub-Baalın oğlu Yotamın lənəti onların üstünə düşdü.
070a0100bd	Avimelekdən sonra İsraili xilas etmək üçün İssakar qəbiləsindən olan Dodo oğlu Pua oğlu Tola adlı bir adam çıxdı. O, Efrayimin dağlıq bölgəsində Şamirdə yaşayırdı.
070a02005a	İsraildə Tola iyirmi üç il hakimlik edəndən sonra öldü və Şamirdə dəfn olundu.
070a03004c	Bundan sonra Gileadlı Yair çıxıb iyirmi iki il İsraildə hakimlik etdi.
070a0400a5	Onun otuz sıpaya minən otuz oğlu və oğlanlarının da otuz şəhəri var idi. Gilead bölgəsində olan bu şəhərlərə bu günə qədər Xavvot-Yair deyilir.
070a050025	Yair öldü və Qamonda dəfn olundu.
070a060123	İsrail övladları yenə də Rəbbin gözündə pis olan işlər görərək Baal və Aştoret bütlərinə, Aram allahlarına, Sidon allahlarına, Moav allahlarına, Ammon övladlarının allahlarına, Filiştlilərin allahlarına qulluq edərək Rəbbi atdılar və Ona qulluq etmədilər.
070a070082	Buna görə də İsraillilərə qarşı Rəbbin qəzəbi alovlandı və onları Filiştlilərə, Ammon övladlarına təslim etdi.
070a0800bd	Bu dövrdə onlar İsrailliləri sıxışdırıb əzdilər. Onlar on səkkiz il İordan çayının o tayında Gileaddakı Emorlular diyarında olan bütün İsrail övladlarını əzdilər.
070a0900b5	Ammon övladları hətta Yəhuda, Binyamin, Efrayim qəbilələrinə qarşı döyüşmək üçün İordan çayını keçirdilər. Buna görə İsraillilər çox əziyyət çəkirdi.
070a0a0095	İsrail övladları Rəbbə fəryad edib dedilər: «Sənə qarşı günah etmişik, çünki Allahımızı atıb Baal bütlərinə qulluq etmişik».
070a0b0089	Rəbb İsrail övladlarına dedi: «Sizi Misirlilərdən, Emorlulardan, Ammon övladlarından və Filiştlilərdən Mən qurtarmadımmı?
070a0c0089	Sidonlular, Amaleqlilər, Maonlular sizi sıxışdıranda da Mənə fəryad etdiniz və sizi onların əlindən qurtaran Mən deyildimmi?
070a0d0065	Amma siz Məni atıb başqa allahlara qulluq etdiniz, buna görə də bir daha sizi qurtarmayacağam.
070a0e0062	Gedin seçdiyiniz allahlara fəryad edin, qoy bu əzablı vaxtınızda onlar sizi qurtarsınlar».
070a0f008d	İsrail övladları Rəbbə dedilər: «Günah etmişik. Gözündə nə xoş görünürsə, onu bizə et. Yalvarırıq bu gün bizi qurtar».
070a100082	Onlar aralarından yad allahları atdılar və Rəbbə qulluq etdilər. Rəbb İsraillilərin bu əzabına artıq dözə bilmədi.
070a110075	Ammon övladları yığılıb Gileadda ordugah qurdular. İsrail övladları isə toplanıb Mispada ordugah qurdular.
070a1200a3	Xalq və Gilead başçıları bir-birlərinə dedilər: «Kim Ammon övladlarına qarşı döyüşə başlasa, o adam bütün Gilead əhalisinə rəhbər olacaq».
070b010059	Bir fahişədən doğulan Gileadlı İftah igid döyüşçü idi. Onun atası Gilead idi.
070b0200cf	Gileadın arvadı ona oğullar doğdu və bu qadının oğulları böyüyən zaman İftahı qovub belə dedilər: «Atamızın evindən sənə miras düşmür, ona görə ki sən başqa qadının oğlusan».
070b0300a3	İftah qardaşlarının yanından qaçıb Tov diyarında yaşadı. İftahın başına macəraçı adamlar yığıldı və onunla birgə basqınçılıq edirdilər.
070b040058	Bir müddətdən sonra Ammon övladları İsraillilərə qarşı döyüşə çıxdılar.
070b050091	Ammon övladları İsraillilərə qarşı çıxan zaman Gilead ağsaqqalları İftahı Tov diyarından gətirmək üçün onun yanına getdilər.
070b060069	Onlar İftaha dedilər: «Gəl bizə sərkərdəlik et və Ammon övladlarına qarşı birgə vuruşaq».
070b0700b0	İftah Gilead ağsaqqallarına dedi: «Mənə nifrət edib atamın evindən məni qovan siz deyildinizmi? Bəs indi niyə çətinliyə düşəndə mənim yanıma gəlmisiniz?»
070b0800d5	Gilead ağsaqqalları İftaha dedilər: «Sənin yanına ona görə gəlmişik ki, indi sən bizimlə gedib Ammon övladlarına qarşı döyüşəsən və bizə – bütün Gilead əhalisinə sərkərdə olasan».
070b0900d9	İftah Gilead ağsaqqallarına dedi: «Yaxşı, Ammon övladlarına qarşı döyüşmək üçün məni geri aparırsınız. Bəs Rəbb qarşımda onları mənə təslim edəndə sizin başçınız mən olacağammı?»
070b0a008e	Gilead ağsaqqalları İftaha dedilər: «Səninlə bizim aramızda qoy Rəbb şahid olsun! Biz mütləq sənin sözünə əməl edəcəyik».
070b0b00af	İftah Gilead ağsaqqalları ilə bərabər getdi və xalq da onu özünə başçı – sərkərdə etdi. İftah Mispada, Rəbbin önündə bütün şərtlərini təkrar etdi.
070b0c0094	Bundan sonra Ammon padşahının yanına qasidlər göndərib dedi: «Bizim aramızda nə olub ki, torpağımda mənimlə vuruşmağa gəlmisiniz?»
070b0d00e8	Ammon padşahı İftahın qasidlərinə dedi: «Ona görə ki İsraillilər Misirdən çıxan zaman mənim torpaqlarımı Arnondan Yabboq və İordan çaylarına qədər alıb. Gəlin onları mənə sülh yolu ilə geri qaytarın».
070b0e0052	İftah yenə də Ammon xalqının padşahının yanına qasidlər göndərib dedi:
070b0f0063	İftah belə deyir: «İsraillilər Moav torpağını, Ammon övladlarının torpağını almayıb.
070b10006b	Amma İsraillilər Misirdən çıxanda Qırmızı dənizə qədər səhradan keçərək Qadeşə gəlib və
070b110149	Edom padşahının yanına qasidlər göndərib belə demişdilər: “Rica edib torpağından keçmək üçün səndən izin istəyirəm”. Lakin Edom padşahı onlara qulaq asmadı və sonra İsraillilər Moav padşahının yanına adamlar göndərdi, o da razı olmadı. Ona görə də İsraillilər Qadeşdə qalmışdılar.
070b12010a	İsraillilər səhra ilə gedib Edomla Moav torpaqlarının ətrafından keçərək Moav ölkəsinin şərqinə çatdı və Arnon vadisinin o biri tərəfində düşərgə saldılar. Lakin Moavın sərhədini keçmədilər, ona görə ki Arnon Moavın sərhədi idi.
070b1300d8	İsraillilər Emorluların padşahı – Xeşbon padşahı Sixonun yanına qasidlər göndərib demişdi: “Rica edirik, öz ölkəmizə çatana qədər sənin torpağından keçmək üçün bizə izin verəsən”.
070b1400ab	Amma Sixon öz torpağını yol keçmək üçün İsraillilərə etibar etmədi və bütün xalqını toplayaraq Yahsada ordugah qurub İsraillilərə qarşı döyüşdü.
070b1500ce	İsrailin Allahı Rəbb Sixonu və onun bütün xalqını İsraillilərə təslim edəndə onları məğlub etdilər. Beləliklə, İsraillilər o yerdə yaşayan Emorluların torpağını irs olaraq aldı.
070b160080	Arnondan Yabboq çayına qədər, səhradan İordan çayına qədər bütün Emor torpaqlarını İsraillilər irs olaraq aldı.
070b170084	İndi İsrailin Allahı Rəbb Öz xalqı İsraillilərin qarşısından Emorluları qovandan sonra sənmi buraya sahib çıxacaqsan?
070b180095	Allahın Kemoşun sənə verdiyi torpağı özünə irs etməzsənmi? Biz də Allahımız Rəbbin bizə verdiyi torpağı özümüzə irs edəcəyik.
070b190095	İndi sənin Moav padşahı Sippor oğlu Balaqdan nəyin yaxşıdır? Gör o, İsraillə heç çəkişdimi? Yaxud onlara qarşı heç döyüşdümü?
070b1a00cc	Üç yüz il İsrail Xeşbon ilə Aroerdə, bunların ətraf qəsəbələrində və Arnon vadisi boyunca yerləşən bütün şəhərlərdə yaşadığı müddətdə niyə bu torpaqları geri almadınız?
070b1b00c7	Mən sənə qarşı günah etmədim. Lakin sən mənə qarşı döyüşməklə mənə pislik edirsən. Qoy hakim olan Rəbb bu gün İsrail övladları ilə Ammon övladları arasında hökm etsin».
070b1c004a	Lakin Ammon padşahı İftahın ona göndərdiyi sözlərə qulaq asmadı.
070b1d0097	İftahın üzərinə Rəbbin Ruhu endi. O, Gileaddan və Menaşşedən keçdi, sonra Gileaddakı Mispadan keçib Ammon övladlarının üstünə getdi.
070b1e0062	İftah Rəbbə əhd edib dedi: «Əgər Ammon övladlarını, həqiqətən, mənə təslim etsən,
070b1f00ba	o zaman Ammon övladları ilə döyüşdən sağ-salamat qayıdanda mənim evimin darvazasından qarşıma birinci nə çıxarsa, Rəbbin olacaq və onu yandırma qurbanı edəcəyəm».
070b200067	İftah Ammon övladları ilə döyüşə çıxdı. Rəbb də Ammon övladlarını İftaha təslim etdi.
070b2100b0	Aroerdən Minnitə çatana qədər iyirmi şəhəri və Avel-Keramimə qədər Ammon övladlarını çox böyük məğlubiyyətə uğratdı. Onlar İsraillilərə tabe oldular.
070b2200bf	İftah Mispaya, öz evinə qayıtdı. Budur, İftahın qızı dəf çalıb oynayaraq onu qarşılamağa çıxdı. Bu onun yeganə övladı idi, ondan başqa nə oğlu, nə də qızı var idi.
070b2300c2	O, qızını görəndə paltarını cırıb dedi: «Vay, qızım! Belimi əydin, qəddimi əyənlərdən biri də sən oldun! Mən Rəbbə əhd etmişəm, artıq sözümdən dönə bilmərəm».
070b2400c4	Qızı ona dedi: «Ata, sən Rəbbə əhd etmisən. Madam ki Rəbb düşmənlərindən, Ammon övladlarından sənin üçün qisas aldı, söz ağzından necə çıxıbsa, mənə eləcə də et».
070b2500b0	Sonra qız atasına dedi: «Ancaq bu arzumu yerinə yetir: mənə iki ay izin ver, qoy rəfiqələrimlə dağları gəzib-dolaşaraq öz nakam qızlığım üçün ağlayım».
070b2600aa	Atası ona «yaxşı, gedə bilərsən» deyərək ona iki ay müddətinə izin verdi. O da rəfiqələri ilə bərabər gedib dağlarda öz nakam qızlığına ağladı.
070b2700b7	İki ay keçəndən sonra atasının yanına qayıtdı və atası onun barəsində etdiyi əhdi yerinə yetirdi. Qız ərə getməmişdi. Bundan sonra İsraildə belə bir adət oldu:
070b280061	hər il İsrail qızları gedib Gileadlı İftahın qızı üçün ildə dörd gün yas tutdular.
070c0100da	Efrayimlilər yığılaraq Safona gedib İftaha dedilər: «Sən nəyə görə Ammon övladları ilə döyüşə çıxıb bizi özünlə getməyə çağırmadın? Buna görə biz səni də, evini də yandıracağıq».
070c0200b2	İftah onlara dedi: «Mən və xalqım Ammon övladları ilə ağır döyüşdə olan vaxt sizi köməyə çağırdım, lakin siz gəlib məni onların əlindən qurtarmadınız.
070c0300e9	Mən də gördüm ki, siz məni qurtarmırsınız, onda həyatımı təhlükəyə atıb Ammon övladlarına qarşı özüm hücuma keçdim və Rəbb onları mənə təslim etdi. Nə üçün bu gün mənimlə davaya çıxmısınız?»
070c040100	İftah bütün Gileadlıları toplayıb Efrayimlilərlə döyüşdü və Gileadlılar Efrayimliləri qırdılar, çünki Efrayimlilər belə demişdilər: «Ey Efrayimlə Menaşşe arasında yaşayan Gileadlılar, siz Efrayimdən qaçan fərarilərsiniz!»
070c05010e	Gileadlılar Efrayimin qarşısındakı İordan çayının keçidlərini tutdular. Əgər qaçıb qurtulmaq istəyən Efrayimlilərdən biri gəlib «qoy çayı keçim» deyərdisə, Gileadlılar ondan «sən Efrayimlisənmi?» deyə soruşardılar. O «xeyr» desəydi,
070c06010f	o zaman ona «bir “şibbolet” de görək» deyərdilər. O da kəlməni doğru söyləyə bilməyib «sibbolet» deyərdi. Onda Gileadlılar onu tutub İordan çayının keçidlərində öldürərdi. Həmin dövrdə Efrayimlilərdən qırx iki min nəfər qırıldı.
070c070075	İftah altı il İsraildə hakimlik etdi. Sonra Gileadlı İftah öldü və Gileadın bir şəhərində dəfn olundu.
070c080038	Ondan sonra Bet-Lexemli İvsan İsraildə hakimlik etdi.
070c0900c4	Onun otuz oğlu və otuz qızı var idi. Qızlarını başqa nəsillərə ərə vermiş, oğullarına isə başqa nəsillərdən otuz gəlin gətirmişdi. İvsan İsraildə yeddi il hakimlik etdi.
070c0a0032	Sonra İvsan öldü və Bet-Lexemdə dəfn olundu.
070c0b003a	Ondan sonra Zevulunlu Elon on il İsraildə hakimlik etdi.
070c0c004a	Zevulunlu Elon da öldü və Zevulun torpağında, Ayyalonda dəfn olundu.
070c0d0042	Ondan sonra Piratonlu Hillel oğlu Avdon İsraildə hakimlik etdi.
070c0e006e	Onun yetmiş sıpaya minən qırx oğlu ilə otuz nəvəsi var idi və o, səkkiz il İsraildə hakimlik etdi.
070c0f0083	Piratonlu Hillel oğlu Avdon da öldü və Amaleqlilərin dağlıq bölgəsindəki Efrayim torpağında – Piratonda dəfn olundu.
070d01007b	İsrail övladları yenə də Rəbbin gözündə pis işlər etdilər. Rəbb onları qırx il Filiştlilərə təslim etdi.
070d02005e	Dan qəbiləsindən Manoah adlı Soralı bir adam var idi. Onun arvadı doğmurdu, sonsuz idi.
070d03007d	Rəbbin mələyi bu qadına görünüb dedi: «Bax indi sən sonsuzsan, doğmursan, amma hamilə olub bir oğlan doğacaqsan.
070d04007f	İndidən diqqətli ol: sən nə şərab, nə də başqa kefləndirici içki içmə və dilinə heç bir haram şey dəyməsin.
070d0500e4	Ona görə ki sən hamilə olub bir oğul doğacaqsan və qoy onun başına ülgüc dəyməsin. Çünki uşaq ana bətnindən Allaha həsr olunmuş Nəziri olacaq. O, İsraili Filiştlilərin əlindən qurtarmağa başlayacaq».
070d0600d8	Qadın gedib ərinə belə dedi: «Mənim yanıma bir Allah adamı gəlmişdi. O, Allahın mələyi görkəmində çox zəhmli idi. Buna görə də onun haradan gəldiyini soruşmadım. Mənə adını da bildirmədi.
070d0700fa	Lakin dedi ki, sən hamilə olub bir oğul doğacaqsan. İndidən sən nə şərab, nə də başqa kefləndirici içki iç və dilinə heç bir haram şey dəyməsin, çünki uşaq ana bətnindən ölən gününə qədər Allahın Nəzirisi olacaq».
070d0800b7	Manoah Rəbbə yalvarıb dedi: «Ya Xudavənd, yalvarıram, göndərdiyin Allah adamı qoy yanımıza yenə gəlsin və doğulacaq uşaq barədə nə edəcəyimizi bizə öyrətsin».
070d090094	Allah Manoahın səsini eşitdi. Qadın çöldə oturanda Allahın mələyi yenə onun yanına gəldi. Lakin qadının əri Manoah yanında deyildi.
070d0a007b	Qadın cəld qaçıb ərinə xəbər verərək dedi: «Budur, ötən gün yanıma gələn o adam yenə mənə göründü».
070d0b0093	Manoah durub arvadının arxasınca getdi və o adamın yanına gəlib soruşdu: «Arvadımla söhbət edən adam sənsənmi?» O «mənəm» dedi.
070d0c0061	Manoah dedi: «Sənin sözlərin yerinə yetəndə uşağın həyat tərzi və işi nə olacaq?»
070d0d005d	Rəbbin mələyi Manoaha dedi: «Arvadın ona tapşırdığım şeylərdən özünü qorusun.
070d0e00d1	Tənəkdən emal olunan şeylərdən heç nə yeməsin. Nə şərab, nə də başqa kefləndirici içki içsin və dilinə heç bir haram şey dəyməsin. Qoy ona əmr etdiyim hər şeydən özünü qorusun».
070d0f0077	Manoah Rəbbin mələyinə dedi: «Rica edirəm, bir ayaq saxla, sənin üçün bir oğlaq kəsib yemək hazırlayaq».
