0100000007	Geneză
090c030118	Iată-mă, mărturisiți împotriva mea înaintea DOMNULUI și înaintea unsului său; al cui bou l-am luat? Sau al cui măgar l-am luat? Sau pe cine am escrocat? Sau pe cine am oprimat? Sau din mâna cui am primit vreo mită cu care să îmi orbesc ochii? Și vă voi da înapoi.
090c040064	Și ei au spus: Nu ne-ai escrocat, nici nu ne-ai oprimat, nici nu ai luat ceva din mâna vreunui om.
090c0500aa	Iar el le-a zis: DOMNUL este martor împotriva voastră și unsul său este martor în această zi, că nu ați găsit ceva în mâna mea. Și ei au spus: El este martor.
090c06008d	Și Samuel a spus poporului: DOMNUL este cel care a rânduit pe Moise și pe Aaron și care a scos pe părinții voștri din țara Egiptului.
090c07009e	De aceea acum, stați să mă judec cu voi înaintea DOMNULUI de toate faptele drepte ale DOMNULUI, pe care vi le-a făcut el, vouă și părinților voștri.
090c0800da	Când Iacob a venit în Egipt și părinții voștri au strigat către DOMNUL, atunci DOMNUL a trimis pe Moise și pe Aaron, care au scos pe părinții voștri din Egipt și i-au făcut să locuiască în locul acesta.
090c0900d5	Și când ei au uitat pe DOMNUL Dumnezeul lor, el i-a vândut în mâna lui Sisera, căpetenie a oștirii Hațorului și în mâna filistenilor și în mâna împăratului Moabului și ei au luptat împotriva lor.
090c0a00d0	Și ei au strigat către DOMNUL și au spus: Am păcătuit, pentru că am părăsit pe DOMNUL și am servit Baalilor și Astarteelor; dar acum eliberează-ne din mâna dușmanilor noștri și îți vom servi.
090c0b00b0	Și DOMNUL a trimis pe Ierub-Baal și pe Bedan și pe Iefta și pe Samuel și v-a eliberat din mâna dușmanilor voștri, de fiecare parte, și voi ați locuit în siguranță.
090c0c00cf	Și când ați văzut că Nahaș, împăratul copiilor lui Amon, a venit împotriva voastră, mi-ați spus: Nu; ci un împărat să domnească peste noi; când DOMNUL Dumnezeul vostru era împăratul vostru.
090c0d0083	De aceea acum, iată, pe împăratul pe care l-ați ales și pe care l-ați dorit. Și, iată, DOMNUL a pus un împărat peste voi.
090c0e0101	Dacă vă veți teme de DOMNUL și îi veți servi și veți asculta de vocea lui și nu vă veți răzvrăti împotriva poruncii DOMNULUI, atunci atât voi cât și împăratul care domnește peste voi veți continua să urmați pe DOMNUL Dumnezeul vostru;
090c0f00c0	Dar dacă nu veți asculta de vocea DOMNULUI, ci vă veți răzvrăti împotriva poruncii DOMNULUI, atunci mâna DOMNULUI va fi împotriva voastră, precum era împotriva părinților voștri.
090c100076	De aceea acum, stați în picioare și vedeți acest lucru mare, pe care îl va face DOMNUL înaintea ochilor voștri.
090c1100f9	Nu este astăzi secerișul grâului? Eu voi striga către DOMNUL și el va trimite tunete și ploaie; ca să pricepeți și să vedeți că stricăciunea voastră, pe care ați făcut-o în ochii DOMNULUI, cerând pentru voi un împărat, este mare.
090c120091	Astfel Samuel a strigat către DOMNUL; și DOMNUL a trimis tunete și ploaie în acea zi; și tot poporul s-a temut mult de DOMNUL și de Samuel.
090c1300ce	Și tot poporul a spus lui Samuel: Roagă-te pentru servitorii tăi DOMNULUI Dumnezeul tău, ca să nu murim, pentru că am adăugat la toate păcatele noastre acest rău, de a cere pentru noi un împărat.
090c1400b5	Și Samuel a spus poporului: Nu vă temeți; ați făcut toată această stricăciune; numai nu vă abateți de la a-l urma pe DOMNUL, ci serviți DOMNULUI cu toată inima voastră;
090c150098	Și nu vă abateți, pentru că atunci ați merge după lucruri deșarte, care nu folosesc, nici nu eliberează, pentru că acestea sunt deșertăciune.
090c160084	Pentru că DOMNUL nu va uita pe poporul său, pentru numele său cel mare; deoarece i-a plăcut DOMNULUI să vă facă poporul său.
090c1700a1	Mai mult, cât despre mine, nicidecum nu voi păcătui împotriva DOMNULUI, încetând să mă rog pentru voi; ci vă voi învăța calea cea bună și dreaptă;
090c180080	Numai temeți-vă de DOMNUL și serviți-i în adevăr, cu toată inima voastră; luați aminte ce lucruri mari a făcut cu voi!
090c190067	Dar, dacă vă veți purta cu stricăciune, veți fi mistuiți, deopotrivă voi și împăratul vostru.
090d010049	Saul domnea de un an de zile; și după ce a domnit doi ani peste Israel,
090d0200e1	Saul și-a ales trei mii de bărbați din Israel, din care: două mii erau cu Saul în Micmaș și în muntele Betel, iar o mie erau cu Ionatan în Ghibea lui Beniamin; și a trimis restul poporului, pe fiecare la cortul lui.
090d0300b6	Și Ionatan a lovit garnizoana filistenilor care era în Gheba și filistenii au auzit despre aceasta. Și Saul a sunat din trâmbiță prin toată țara, spunând: Să audă evreii.
090d0400cf	Și tot Israelul a auzit spunându-se că Saul lovise o garnizoană a filistenilor și că Israel de asemenea a devenit o urâciune filistenilor. Și poporul a fost chemat împreună, după Saul, la Ghilgal.
090d0500f1	Și filistenii s-au adunat să lupte cu Israel, treizeci de mii de care și șase mii de călăreți și o mulțime de popor ca nisipul care este pe țărmul mării; și s-au urcat și și-au așezat tabăra la Micmaș, spre est de Bet-Aven.
090d0600cd	Când bărbații lui Israel au văzut că erau în strâmtorare (pentru că poporul era tulburat), atunci poporul s-a ascuns în peșteri și în tufișuri și în stânci și pe înălțimi și în gropi.
090d07009d	Și unii dintre evrei au trecut Iordanul în țara lui Gad și a lui Galaad. Cât despre Saul, el era încă în Ghilgal și tot poporul îl urma tremurând.
090d080092	Și a rămas șapte zile, conform cu timpul pe care Samuel îl rânduise; dar Samuel nu a venit la Ghilgal și poporul s-a împrăștiat de la el.
090d090063	Și Saul a spus: Aduceți-mi aici o ofrandă arsă și ofrande de pace. Și a oferit ofranda arsă.
090d0a0096	Și s-a întâmplat, că imediat ce a terminat de oferit ofranda arsă, iată, Samuel a venit; și Saul a ieșit în întâmpinare, ca să îl salute.
090d0b00c3	Și Samuel a spus: Ce ai făcut? Și Saul a spus: Deoarece am văzut că poporul s-a împrăștiat de la mine și că tu nu ai venit în ziua rânduită și că filistenii s-au adunat la Micmaș,
090d0c00a2	De aceea am spus: Filistenii vor coborî acum asupra mea la Ghilgal și eu nu făcusem cerere către DOMNUL; m-am forțat de aceea și am oferit o ofrandă arsă.
090d0d00d3	Și Samuel i-a spus lui Saul: Ai lucrat prostește; nu ai păzit porunca DOMNULUI Dumnezeul tău, pe care ți-a poruncit-o, pentru că DOMNUL ar fi întemeiat acum împărăția ta peste Israel pentru totdeauna.
090d0e00c8	Dar acum împărăția ta nu va dura; DOMNUL și-a căutat un om după inima sa și DOMNUL i-a poruncit să fie căpetenie peste poporul său, pentru că tu nu ai păzit ceea ce DOMNUL ți-a poruncit.
090d0f009b	Și Samuel s-a ridicat și s-a urcat de la Ghilgal la Ghibea lui Beniamin. Iar Saul a numărat poporul care era prezent cu el, cam șase sute de bărbați.
090d100099	Și Saul și Ionatan, fiul său, și poporul care era prezent cu ei au locuit în Ghibea lui Beniamin; și filistenii și-au așezat tabăra în Micmaș.
090d110084	Și jefuitorii au ieșit din tabăra filistenilor în trei cete, o ceată s-a întors spre calea care duce la Ofra, în țara Șual;
090d1200a3	Și o altă ceată s-a întors pe calea către Bet-Horon; și o altă ceată s-a întors spre calea către granița care privește spre Valea Țeboim, spre pustiu.
090d130091	Și nu se găsea niciun fierar în toată țara lui Israel, pentru că filistenii spuseseră: Nu cumva evreii să își facă săbii sau sulițe;
090d140079	Ci toți israeliții coborau la filisteni pentru a-și ascuți fiecare fierul plugului și coasa și toporul și cazmaua.
090d15007c	Totuși aveau o piatră pentru cazmale și pentru coase și pentru furci și pentru topoare și pentru a ascuți țepușele.
090d1600c7	Astfel s-a întâmplat în ziua bătăliei, că nu se găsea nici sabie nici suliță în mâna vreunuia din poporul care era cu Saul și cu Ionatan; dar la Saul și la Ionatan, fiul său, se găsea.
090d170041	Și garnizoana filistenilor a ieșit la trecătoarea Micmașului.
090e0100cd	Și s-a întâmplat într-o zi, că Ionatan, fiul lui Saul, a spus tânărului care îi purta armura: Vino, să trecem la garnizoana filistenilor, care este de cealaltă parte. Dar nu a spus tatălui său.
090e0200a3	Și Saul a rămas în cea mai îndepărtată parte a Ghibei, sub un pom de rodii, care este în Migron; și poporul care era cu el era cam șase sute de bărbați.
090e0300a6	Și Ahiia, fiul lui Ahitub, fratele lui Icabod, fiul lui Fineas, fiul lui Eli, preotul DOMNULUI în Șilo, purta un efod. Și poporul nu știa că Ionatan era plecat.
090e0400e4	Și între trecători, prin care Ionatan căuta să treacă la garnizoana filistenilor, era o stâncă ascuțită de o parte și o stâncă ascuțită de cealaltă parte; și numele uneia era Boțeț și numele celeilalte, Sene.
090e050068	Vârful uneia era situat spre nord, în dreptul Micmașului, și celălalt spre sud, în dreptul Ghibei.
090e0600ea	Și Ionatan a spus tânărului care îi purta armele: Vino, să trecem la garnizoana acestor necircumciși; poate că DOMNUL va lucra pentru noi, pentru că nu este vreo piedică pentru DOMNUL să salveze prin mulți sau prin puțini.
090e07007e	Și purtătorul său de arme i-a spus: Fă tot ce este în inima ta, întoarce-te; iată, eu sunt cu tine conform inimii tale.
090e080050	Atunci a spus Ionatan: Iată, vom trece la acești oameni și ne vom arăta lor.
090e090080	Dacă ne spun astfel: Rămâneți până venim noi la voi; atunci vom sta liniștiți în locul nostru și nu ne vom urca la ei.
090e0a008e	Dar dacă ne spun astfel: Urcați la noi; atunci vom urca, pentru că DOMNUL i-a dat în mâna noastră; și aceasta va fi un semn pentru noi.
090e0b007c	Și amândoi s-au arătat garnizoanei filistenilor; și filistenii au spus: Iată, evreii ies din găurile unde s-au ascuns.
090e0c00f4	Și oamenii garnizoanei au răspuns lui Ionatan și purtătorului său de arme și au spus: Urcați la noi și vă vom arăta ceva. Și Ionatan a spus purtătorului său de arme: Urcă după mine, pentru că DOMNUL i-a dat în mâna lui Israel.
090e0d00b2	Și Ionatan s-a cățărat cu mâinile și cu picioarele și purtătorul său de arme după el; și ei cădeau înaintea lui Ionatan și purtătorul său de arme ucidea după el.
090e0e00d5	Și acest prim măcel, pe care Ionatan și purtătorul său de arme l-au făcut, a fost cam de douăzeci de oameni, pe o întindere cam de o jumătate de pogon de pământ, pe care o pereche de boi l-ar putea ara.
090e0f00b4	Și a fost un tremur în tabără, în câmp și în tot poporul; garnizoana și jefuitorii, au tremurat și ei, iar pământul s-a cutremurat; astfel a fost un foarte mare tremur.
090e10007c	Și paznicii lui Saul din Ghibea lui Beniamin au privit; și, iată, mulțimea se împrăștia și se doborau unul pe altul.
090e1100b7	Atunci a spus Saul poporului care era cu el: Numărați acum și vedeți cine a plecat dintre noi. Și după ce au numărat, iată, Ionatan și purtătorul său de arme nu erau acolo.
090e120081	Și Saul i-a spus lui Ahiia: Adu aici chivotul lui Dumnezeu. Căci chivotul lui Dumnezeu era în acele zile cu copiii lui Israel.
090e1300ab	Și s-a întâmplat, în timp ce Saul vorbea cu preotul, că zgomotul care era în oștirea filistenilor continua și creștea; și Saul a spus preotului: Trage-ți mâna.
090e1400ac	Și Saul și tot poporul care era cu el s-au adunat și au venit la bătălie; și, iată, sabia fiecărui om era împotriva semenului său: și era o foarte mare nimicire.
090e1500c9	Mai mult, evreii care erau cu filistenii de mai înainte, care se urcaseră cu ei în tabără din ținutul dimprejur, chiar și ei s-au întors să fie cu israeliții care erau cu Saul și cu Ionatan.
090e1600ae	De asemenea, toți bărbații lui Israel care se ascunseseră în muntele Efraim, când au auzit că filistenii au fugit, chiar și ei i-au urmărit necontenit în bătălie.
090e170056	Astfel DOMNUL a salvat pe Israel în acea zi; și bătălia a trecut înspre Bet-Aven.
090e1800f7	Și bărbații lui Israel erau tulburați în acea zi, fiindcă Saul conjurase poporul, spunând: Blestemat fie omul care mănâncă mâncare până seara, până mă voi răzbuna de dușmanii mei. Astfel că nimeni din popor nu a gustat mâncare.
090e19004d	Și toți cei ai țării au intrat într-o pădure și era miere pe pământ.
090e1a0091	Și când poporul a intrat în pădure, iată, mierea picura; dar nimeni nu și-a dus mâna la gură, pentru că poporul s-a temut de jurământ.
090e1b00ec	Dar Ionatan nu auzise când tatăl său poruncise poporului cu jurământ; de aceea și-a întins capătul toiagului care era în mâna sa și l-a înmuiat într-un fagure de miere și și-a dus mâna la gură; și ochii i s-au luminat.
090e1c00c8	Atunci a răspuns unul din popor și a zis: Tatăl tău cu strictețe a poruncit poporului cu un jurământ, spunând: Blestemat fie omul care mănâncă ceva mâncare astăzi. Și poporul era obosit.
090e1d0090	Atunci Ionatan a spus: Tatăl meu a tulburat țara; vedeți, vă rog, cum mi s-au luminat ochii, pentru că am gustat puțin din această miere.
090e1e00a3	Cu cât mai mult poporul, dacă ar fi mâncat astăzi liber din prada dușmanilor săi, pe care a găsit-o? Nu ar fi fost acum un mai mare măcel între filisteni?
090e1f0064	Și au lovit pe filisteni în acea zi de la Micmaș până la Aialon; și poporul era foarte obosit.
090e20008d	Și poporul s-a năpustit asupra prăzii și au luat oi și boi și viței și i-au înjunghiat pe pământ; și poporul a mâncat cu sânge.
090e2100c3	Atunci i-au spus lui Saul, spunând: Iată, poporul păcătuiește împotriva DOMNULUI, în aceea că mănâncă cu sânge. Și el a spus: Ați călcat legea; rostogoliți-mi acum o piatră mare.
090e220136	Și Saul a spus: Răspândiți-vă printre popor și spuneți-le: Aduceți-mi aici fiecare boul său și fiecare oaia sa și înjunghiați-le aici și mâncați; și nu păcătuiți împotriva DOMNULUI, mâncând cu sânge. Și tot poporul a adus în noaptea aceea fiecare boul său și i-au înjunghiat acolo.
090e23005c	Și Saul a zidit un altar DOMNULUI; acela a fost primul altar pe care l-a zidit el DOMNULUI.
090e2400f6	Și Saul a spus: Să coborâm după filisteni noaptea și să îi prădăm până la lumina dimineții; și să nu lăsăm niciun om dintre ei. Iar ei i-au spus: Fă tot ce ți se pare bine. Atunci preotul a zis: Să ne apropiem aici de Dumnezeu.
