0100000009	Kutendeka
01320e0067	Yusufu lu-aapwile kumuziika se, waabweleele ku Misri ni bakuluube bonse pamo ni bonse baile pamo nakue.
01320f00a1	Bakuluube kwa Yusufu lubaamwene nangue sibo wafua, baalandile evi, “Pange Yusufu waakaba kutusuula ni kutukitila kibwelezi kya belia byonse bitwaamukitiile.”
013210006c	Ni pakako baatumine mpunda kuli Yusufu ya kulanda nangue, “So lu-aali tanaafue waatukonkobeziizie walanda,
01321100d4	Mukabe kuya kumwana Yusufu nangue, ‘Nakupaapaata weleele bubi bwa bakuluubo bubaakuluviizie.’ Ni pakako, twakupaapaata weleele bubi bwa babombi bakua Leza wakua so.” Mpunda Luyaamufikiile, Yusufu waalilile.
0132120057	Bakuluube baile kumukontamina balanda nangue, “Ewe, mona fwefue tuli babombi bobe.”
0132130061	Inzi Yusufu waabaanine evi, “Tekutiine! Nene nsili na nsambu ya kwalula bintu bitantikile Leza.
013214009c	Mwemue mwantekeele kilie kya kunkitila bintu bibiipile, inzi Leza waatonene kuti mapange akue aweme akitue, mapange a kupususia bantu bengi nga vikili lelo.
0132150074	Kansi evi tekutiine. Nakaba kumiliisia, mwemue pamo ni baana benu.” Waabakoseleziizie ni kulanda nabo bwino bwino.
0132160061	Yusufu waatwaliliile kwikala mu Misri pamo ni lupua lwakua se. Yusufu waafwile wali na myaka 110.
01321700c9	Yusufu waikeele nsiku ingi mpaka waamwene kuvyalua kwa baana bena Efraimu ni bena benzikulu. Kabili waamwene ni benzikulu bakua Manase baavyelue na Makiri, ni babo baana waabapokeleele mu lupua lwakue.
01321800bd	Yusufu waabaanine bakuluube, “Kufua kwane kwapalama. Inzi kulanda kisinka, Leza waakamisunga, kabili waakamilombola ni kumisezia ku kyalo ki-aalaile Abrahamu, ni Izaaki pamo ni Yakobo.”
0132190096	Yusufu waabalapiizie baana bakua Izraeli wabaana nangue, “Kisinka Leza waakamimona. Ni pakako, pamukaba mwaya, namyana mukatwame ni bikuza byane.”
01321a0077	Yusufu waafwile wali na myaka 110. Mubili wakue waasubilue mafuta tekuti ubole, ni pa kyamba, waabiikilue mu lisanduku.
0200000006	Kufuma
0201010067	Baana bena Izraeli baingiile mu Misri pamo ni basiibo, kubalua muntu ni lupua lwakue, meena abo ni aza:
0201020025	Rubeni, ni Simeoni, ni Lawi, ni Yuda,
0201030026	ni Isakari, ni Zabuloni, ni Benyamina,
020104002d	ni Dani, ni Nafutali, ni Gadi, pamo ni Aseri.
0201050072	Bantu bonse ba mu luvyalo lwakua Yakobo baali 70. Yusufu umo wa pa baana bena Yakobo waali wasyatangiile mu Misri.
020106003c	Yusufu ni bakuluube pamo ni balia baizile mu Misri baafwile.
02010700a0	Inzi Baizraeli lubaali basyavyalana, baali baya bakila kuvula ni kusanduluka, ni bo baali bali babipami. Ni pakako kyalo kya Misri mwaali mwaizuzi sie benkanke.
0201080071	Pa kyamba, mu Misri mwaizile likolo wa lenu asyaali wamanine kantu palwakua Yusufu, ni palua bintu bi-aaliwakita.
020109006e	Ozo likolo wa-anine bantu bakue nangue, “Emwe, mone vyavula Baizraeli, kabili mone vibapamine kukila fwefue.
02010a00b1	Kansi tupalile kubombia maano etu onse evi tekuti bakavule, pantu kine twasakukilua na balwani, ni baba Baizraeli bailunda kuli bene, kuti batuuma ni kutufumia mu keno kyalo.”
02010b008b	Ni pakako, baabiikile bakulu ba kubeemia mu buzia na miilo ikata. Baizraeli baamukuuliile Farao mizi ya kuzibamo bilio, Pitomu ni Ramisesi.
02010c0088	Inzi kukonkana ni vibaali bakila kwemiwa, i vibaali bakila kuvula ni kukumana mu kyalo. Bamisri baunvwile mwezo pa mulandu wa Baizraeli.
02010d00f4	Baizraeli baabombiiziwe bubi bubi na Bamisri. Bwikazi bwa Baizraeli bwaakilile kubiipa. Baabombiiziwe mu kukandila mukando ni mu kukita mabiliki, ni mu misango yonse ya miilo ya makaba. Mu ezio miilo yaviizie Baizraeli baababombiizie bubi bubi.
02010f0051	Likolo wa mu Misri waalandile na bakinghombe ba Baebrania, Sifura ni Pua, nangue,
02011000c0	“Musita umulimwavyazia banakazi ba Baebrania, kine mwamona nangue mwanakazi wavyala mwana mwalalume, ipaye ozo mwana. Inzi kine ozo mwanakazi wavyala mwana mwanakazi, tekwipaye ozo mwana.”
0201110094	Inzi babo bakinghombe tebaakitile nga mwaalandiile likolo wa ku Misri pantu baali bamunakila Leza. Ni pakako, baana balalume baali basiiwa bakosele.
0201120090	Kupwako likolo wa ku Misri wakuuta bakinghombe ni kubeepuzia nangue, “Ale mwakitilaki evi? Ni kiki kimulimukusiila baana balalume bakosele?”
0201130097	Bakinghombe baamwasukile Farao nangue, “Baba banakazi Baebrania tebali nga banakazi Bamisri, bene bakilile kuluma. Fwefue tulitwasanga basyavyele.”
02011400b4	Ni pakako, bakinghombe baakitiilue biweme na Leza. Baizraeli baakilile kuvula ni kukila kuya balumine. Pantu bakinghombe baali bamunakila Leza, ni ye waabapaalile na kuvyala baana.
02011600d0	Pa mpeleezio Farao wa-anine bantu bakue bonse nangue, “Kubalua mwana mwalalume Muebrania wakaba kuvyalua, mukabe kumupooza mu Mwenzi wa Nile, inzi mwana mwanakazi wakaba kuvyalua mukabe kumusia wakosele.”
0202010064	Pa ozo musita kwaali muntu umo wa mu mukowa wakua Lawi waile kuupa mukazyana wa mu ozo wenka mukowa.
0202020072	Ozo mwanakazi waimitile ni kuvyala mwana mwalalume. Lu-aamwene vyaali vyaweme ozo mwana, waamufiikile myezi itatu.
02020300ca	Inzi lu-aamwene nangue takili na musango wa kumufiika musita waleepele, waamusukiile mpuuto ya masanza ni kusingako kabulimbu. Waabiikile mwana mukati ni kuya ku-ibiika mu matete mumbali Mwenzi wa Nile.
0202040053	Nkaziize kwa ozo mwana waali waimeene lwa kule wamweneneene kilikumukitikila mwana.
02020500e5	Mukazyana mwina likolo waile pamo ni babombi bakue ku mwenzi kuti aye asambe. Babombi bakue lubaali baenda mumbali mwenzi, mukazyana mwina likolo waamwene mpuuto mu matete. Waatumine mubombi wakue kuti aye aitwame ni kumuleetela.
02020600cb	Mukazyana mwina likolo lu-aatupukwile mpuuto ni kumonamo mwana mwalalume walimukulila, waamunvwiliile nkumbu. Mukazyana mwina likolo waalandile nangue, “Ozu mwana apalile kuba mwana mwina Baebrania.”
020207008a	Nkaziize kwa ozo mwana waamwipuziizie mwina Farao nangue, “Kuti naya kukukebela mwanakazi Muebrania wakuti aye wakonsiizia ozu mwana?”
0202080074	Mukazyana mwina likolo waamwasukile, “Endo umukebe.” Nkaziize kwa ozo mwana waile kumutwama nghina wa ozo mwana.
02020900b8	Mwina likolo waamwanine nghina wa ozo mwana nangue, “Twama mwana ozu uye wanghonsiizia, nakaba kuya nakusazia nsazio yobe.” Kupwako, nghina wamutwama ozo mwana ni kubamba kumonsia.
02020a00d2	Mwana lu-aakulile, nghina wa ozo mwana waamubweziizie kuli mukazyana mwina Farao, ni ye waaamwalwile nga mwana wakue. Mukazyana mwina Farao waalandile evi, “Namufumia mu menda,” ni pakako ndikumwinika Musa.
02020b00b8	Pa kyamba kya myaka, Musa wasyakulile, waile kupempula Baebrania nakue ni kumona vibaali babombiiwa kibombebombe. Mu kupempula kwakue, waamwene Muebrania nakue walimukuumua na Mumisri.
02020c007a	Musa lu-aakentele koku ni koku kuti asininkizie nangue tamwenue na muntu, waamwipaile ozo Mumisri ni kumufiika mu musenga.
02020d00cc	Busiku bwaakonkelepo Musa lu-aile kupempula paakale Baebrania nakue, waamwene Baebrania babili balalume balimukulua. Musa waamwanine olia waali waluviizie nangue, “Ewe, ulimukuuminaki Muebrania nobe?”
02020e00ec	Olia waali waluviizie waalandile evi, “Nani wakikubiika kuba kateeka ni mupinguzi wetu? Ulimukukeba kungipaya nga viwakiipaya olia Mumisri lukeele?” Ni pakako Musa waatiinine walanda nangue, “Kisinka mulandu unkitile umanikile.”
02020f016d	Farao lu-aunvwile nangue Musa wakiipaya Mumisri, waali wasyakambila kumwipaya Musa. Inzi Musa waamubutukile Farao ni kuya mu kyalo kya Midiani. Lu-aafikile ku kekio kyalo, waile kwikala mumbali kiina kya menda. Kwaali banakazi kilooba bena kitambua wa ku Midiani, babo baile ku kiina kya menda ku kutapa menda a kubiika mu mukondo kuti banwinsie mikooko yakua sibo.
020211006e	Kwaali basungi bamo ba mikooko baizile kubakumba, inzi Musa waabasakiile ni kubakwasia kunwinsia mikooko yabo.
0202120063	Lubaabweleele kuli sibo Yetoro, sibo waabepuziizie nangue, “Ale lelo kimusikokweleele ni kiki?”
020213009e	Ni bo baamwasukile evi, “Basungi lubaizanga kutukumba, Mumisri umo waizanga kutusakila. Kabili watutapilanga menda etu ni menda a kunwinsia mikooko yetu.”
0202140084	Sibo Yetoro waabeepuziizie baana bakue banakazi nangue, “Ale ozo muntu ali pi? Mwamusiilangaki? Endo mumukuute eze tulie nakue.”
0202150084	Musa waawamiinue kwikala koko pamo ni Yetoro. Yetoro waufiizie mwana wakue mwanakazi kuli Musa. Ozo mwanakazi waali wakuutua Sipora.
020216007d	Sipora lu-aavyele mwana mwalalume, Musa waamwinikile Gershomu walimukulanda nangue, “Nakyaluka mweni mu kyalo kya bweni.”
02021700a3	Pa kyamba kya nsiku ingi, likolo wa ku Misri waafwile. Baizraeli baatwaliliile kulila na bulanda bwa mu buzia ni kuya baitendooka mpaka ni Leza waunvua malilo abo.
020218006f	Leza lu-aunvwile malilo abo, waalangakeene kipingo kyakue ki-aapingheene na Abrahamu, ni Izaaki pamo ni Yakobo.
0202190048	Leza waamwene Baizraeli vibaali baema. Ni pakako, waabonvwiliile nkumbu.
02030100bf	Busiku bumo Musa lu-aali wasunga mikooko yakua sevyala Yetoro, kitambua wa ku Midiani, Musa waalombwele mikooko ni kuitwala lya ku mboosi ya kaseeba, waya kufika ku Horebu lupili lwakua Leza.
02030200a3	Koko i kwaamumonekeele malaika wakua Yawe wali nga libeebe lya mulilo mu kavuule. Musa waakentele ni kupapa kumona kavuule kalimukuleema mulilo inzi tekuuba kazia.
0203030091	Ni pakako, Musa waalangakeene walanda nangue, “Ale kaka kavuule kikasilimukuziila ni kiki! Kansi n'mpalamenke n'mone keki kintu kya kupapia.”
02030400a1	Yawe lu-aamwene Musa waya wapalama kuti akentesie, lizui lyakua Yawe lyaunvwikile mu kavuule lyakuuta, “Musa! Musa!” Musa waiteebe nangue, “Ne ono pano.”
0203050064	Yawe waamwanine nangue, “Tekupalama pano. Vuula nkwabilo yobe, pantu wimeene pa kifuka kizuuke.”
02030600ad	Kabili waalandile evi, “Nene ndi Leza wakua so, Leza wakua Abrahamu, wakua Izaaki, ni wakua Yakobo.” Kupwako, Musa waikupa pa menso akue pantu waatiinine kumukenta Leza.
02030700a1	Yawe waalandile nangue, “Namona lyemo lya bantu bane bali mu Misri, kabili naunvua malilo pa mulandu wa kwemiiwa na bakulu ba buzia. Kisinka nabonvwila nkumbu.
0203080105	Ni pakako, nakooka kuti n'mbapususie mu maboko a Bamisri, n'mbafumie mu kekio kyalo, n'mbasezie ni kubatwala mu kyalo kiweme kyatanine, kyalo kiizuzimo mabeele ni kapelo, momo mwikeele Bakanaani, ni Bahiti, ni Ba-amori, ni Baperizi, ni Bahivi, pamo ni Bayebusi.
0203090050	Kisinka naunvua malilo a Baizraeli, kabili namona lyemo libeemiiziwe na Bamisri.
02030a0059	Ni pakako, nakutuma kuli Farao kuti uye ufumie bantu bane, Baizraeli, kufuma mu Misri.”
02030b0073	Inzi Musa waamukanzile Leza waamwana, “Kubako nene ndi ni wakuti aye kuli Farao ni kufumia Baizraeli mu Misri?”
02030c00c4	Leza waamwanine nangue, “Kisinka ndikuya nali pamo nobe. Kalangi kawakaba kusininkiziiziako nangue nkutumine ni kaka: Pa kyamba kya kufumia bantu mu Misri, mwakaba kun'mpupila pa lono lupili.”
02030d00e5	Inzi Musa waamukanzile Leza nangue, “Ale kine nkabe kuya ku Baizraeli ni kubaana nangue, ‘Leza wa babikolue benu i wantuma kuli mwemue,’ Ni bo kine bakangipuzie nangue, ‘Ozo Leza Liina lyakue nani?’ Nakaba kubaanaki?”
02030e0090	Leza waamwasukile Musa nangue, “Ndi olia Ndi. Evi i vyakuti uye ubaane Baizraeli nangue, ‘Olia aliwakuutua NDI i antumine kuli mwemue.’”
02030f0106	Kabili Leza waamwanine Musa nangue, “Baane Baizraeli nangue, ‘Yawe Leza wa babikolue benu, Leza wakua Abrahamu, Leza wakua Izaaki, ni Leza wakua Yakobo, i-antumine kuli mwemue.’ Leli i Liina lyane muyayaya. Ni evio i vinaakaba nalangulukua na nvyalo yonse.
02031000e2	Endo ukolonghanie masiiko a Baizraeli ni kubaana nangue, ‘Yawe Leza wa babikolue benu, Leza wakua Abrahamu, wakua Izaaki, ni wakua Yakobo, wakin'monekela wanghana nangue kisinka amikentele ni kumona vimulimukwemiwa mu Misri.
02031100ca	Namilaya nangue naakamifumia mu lyemo lya mu Misri nkamisezie ni kumitwala mu kyalo kya Bakanaani, ni Bahiti, ni Ba-amori, ni Baperizi, ni Bahivi, pamo ni Bayebusi, kyalo kiizuzimo mabeele ni kapelo.’
020312011d	“Masiiko a Baizraeli akaba kukunvua. Wewe pamo ni masiiko a Baizraeli mupalile kuya kuli likolo wa ku Misri ni kumwana nangue, ‘Yawe Leza wa Baebrania waakitumonekela. Kansi twakulomba utuleke tuye mu kaseeba lwendo lwa nsiku itatu kuti tuye twelele ngelelo kuli Yawe Leza wetu.’
0203130086	Inzi n'manine nangue likolo wa ku Misri takaba kumilekeela kuya, anzia mukakita syani, inga sie kine wapatikiziiwa na kuboko kwa maka.
020314007c	Anzia kikaba evio, nakaba kukanda Bamisri na bipezia maano binakaba kukita pali bene, mane pa kyamba akabe kumilekeela kuya.
0203150059	“Nakaba kulengia Baizraeli kutonua na Bamisri, ni musita wa kuya kwenu, temukaya tonte.
020316010a	Kubalua mwanakazi Muizraeli waakamulomba mwanakazi Mumisri u-apalameene nakue ni mweni wa mu nghanda yakue kuti amupeeleko bifwanizio bya mutofue, ni bya oro, ni ngubo, bebio bimwaakabavwika baana benu balalume ni banakazi, ni mwe mwaakatwama bunonsi bwa Bamisri.”
02040100b3	Inzi Musa waamukanzile Leza paakale walanda nangue, “Ale kyaakaba syani kine masiiko a Baizraeli aya kukaana kungitabila ao kunghunvua ni kunghana nangue Yawe takikumonekela?”
020402005f	Yawe waamwipuziizie nangue, “Ukweteki ku minue yobe?” Wa-asukile evi, “Nkwete kabango.”
020403007f	Inzi Yawe waamwanine nangue, “Pooza kabango pansi.” Musa lu-aapoozele pansi, kabango ka-alukile kizoka, ni Musa waiseeluka.
02040400a7	Kupwako Yawe wamwana Musa nangue, “Ale olola kuboko kobe ukwate ku mukila.” Musa waolola kuboko kwakue, wakikwata, ni kyo kya-aluka kabango paakale mu minue yakue.
02040500cc	Leza waamwanine Musa nangue, “Kaka kalangi i kakuti ukakite pakuti bakabe kwitabila nangue ne Yawe Leza wa babikolue babo, Leza wakua Abrahamu, Leza wakua Izaaki, ni Leza wakua Yakobo nakikumonekela.”
02040600dc	Kabili Yawe waamwanine Musa nangue, “Ale biika kuboko kobe mu nkanzu lya pa nkulo yobe.” Musa waabiikile kuboko kwakue mu nkanzu lya pa nkulo yakue. Lu-aafumiiziemo, kuboko kwa-alukile ni tembue ni kusweta nga kibue.
02040700cb	Yawe waamwanine nangue, “Kabili biika kuboko kobe mu nkanzu lya pa nkulo yobe.” Ni ye waabiikile kuboko kwakue mu nkanzu lya pa nkulo yakue. Lu-aafumiiziemo, kuboko kwa-alukile nga vikwaali pa mambo.
020408007a	Yawe waamwanine nangue, “Kine tebakaba kukwitabila ao kukunvua pa kapapo ka mambo, bakaba kwitabila pa kapapo ka bubili.
02040900af	Kine tebakaba kwitabila totu tupapo tubili, ao kukunvua, wakaba kutapula menda mu Mwenzi wa Nile ni kwitila pansi, ni menda awakaba kutapula mu mwenzi akaba kwaluka mulopa.”
02040a00ac	Musa waamupaapaatile Yawe walanda, “We Yawe, nene nsimanine kulanda bwino bwino pantu umanine kisinka nangue kutula musita uwakibamba kulanda na nene, ndinameemeetela.”
02040b00e8	Yawe waamwipuziizie Musa nangue, “Eba, nani waalengele kanua ka muntu? Nani aliwalengia muntu kulanda ao kuba kameme? Nani aliwalengia muntu kunvua ao kuba mpokoto? Nani aliwalengia muntu kumona ao kuba mpofu? Kubako te nene Yawe?
02040c004f	Ale endo waya, ndikuba nobe mu kulanda, ni kukusambilizia viupalile kulanda.”
02040d005b	Inzi kabili Musa waamupaapaatile Yawe walanda, “We Yawe nakupaapaata utumeko sie unge.”
02040e00e4	Yawe waamufiitiilue Musa walanda nangue, “Eba, kubako wewe teuli na mukuluubo Haruni wa mu mukowa wa Balawi? N'manine nangue wene kuti walanda bwino. Ni evi vyenka alimukwiza kusaakaana nobe, musita u-alikukumona alikuwaminua.
02040f008e	Wewe ulikuyawalanda nakue ni kubiika twebo mu kanua kakue. Mwe babili nakaba kumikwasia kulanda, nene nakaba kumisambilizia kimupalile kukita.
020410009c	Haruni i wakaba kuya wakulandila ku Baizraeli pantu i wakaba kuya wali kanua kobe. Wewe wakaba kuya wali nga Leza kuli wene mu kumubwila bi-upalile kulanda.
020411004e	Twama kaka kabango mu minue yobe evi uye wakabombia kukitilako toto tupapo.”
02041200ec	Musa i lu-aabweleele kuli sevyala Yetoro ni kumwana nangue, “Nakupaapaata un'mpeele nsambu ya kubwelela ku lupua lwane luli mu Misri, pantu nsimanine kine bakikosele.” Yetoro waamwasukile evi, “Kili sie bwino, ale iilapo bwino.”
0204130086	Musa lu-aali wakili mu kyalo kya Midiani, Yawe waamwanine nangue, “Bwelela ku Misri pantu balia baali baumiine kukwipaya bakifua.”
02041400ab	Kupwako, Musa wamutwama mukazi ni baana bakue balalume, wabasezia pa punda ni kubwelela ku kyalo kya Misri, watwama ni kabango kabiikiluemo buvinde na Leza mu minue yakue.
02041500d2	Yawe waamwanine Musa nangue, “Paukaba kubwela ku Misri, ukabe kuya kukita tupapo tonse ntanzi yakua Farao na buvinde bunakikupeela. Inzi nakaba kukosia mutima wakue, evi tekuti akabe kulekeela Baizraeli kuya.
020416006f	Kabili ukabe kumwana Farao nangue ne Yawe nalanda evi, ‘Izraeli i mwana wane mwalalune, kabili i libeli wane.
0204170076	Nakwana umuleke mwana wane kuti aye an'mpupe. Kine wamukaanina kuya, nakaba kwipaya mwana mwalalume, libeli obe.’”
02041800aa	Musa ni lupua lwakue lubaali bakili mu nzila balimukuya ku Misri, baafikile pa nghanda ya bweni pakuti balaale. Musita wa busiku, Yawe waile pali Musa wakebele kumwipaya.
0204190148	Sipora muka Musa waabuulile libue litwile, wamuteeta yando mwana wakue mwalalume ni kupooza mpapa ku makasa akua Musa walimukulanda evi, “Kisinka wewe uli syabuinga wa mulopa kuli nene.” Ni pakako, Yawe taamukitiile Musa kintu kibiipile. Sipora waalandile evi, “Wewe uli syabuinga wa mulopa pa mulandu wa kuteeta yando.”
02041b008d	Yawe waamwanine Haruni nangue, “Endo usaakaane ni Musa mu kaseeba.” Haruni waile kusaakaana nakue ku lupili lwakua Leza ni kumukumbatila.
02041c0077	Musa waamwanine Haruni twebo tonse tu-aatuminue na Yawe kuti alande, kabili waamwanine tupapo tu-aali wa-aninue kukita.
02041d004e	Kupwako, Musa ni Haruni baya mu Misri, bakolonghania masiiko onse a Baizraeli.
02041e005c	Haruni waabaanine twebo tonse twakua Yawe twa-aninue Musa, waakitile tupapo ntanzi ya bantu,
02041f0091	ni bo baazumiine. Kabili lubaunvwile nangue Yawe waali wapoozele maano ku Baizraeli ni kumona lyemo lyabo, baakontamikile mitue yabo ni kumupupa.
02050100c0	Pa kyamba kya kulanda ni masiiko a Baizraeli, Musa ni Haruni baile kumwana Farao nangue, “Yawe Leza wa Baizraeli walanda evi, ‘Baleke bantu bane baye bankitile nsikunkulu mu kaseeba.’”
02050200c7	Farao waalandile nangue, “Eba, ozo Yawe nani wakuti nghunvue lizui lyakue ni kumwitabizia kuti ndekeele Baizraeli baye? Ozo Yawe nsimumanine, kabili nsivinda kwitabizia kulekeela Baizraeli baye.”
02050300e6	Musa ni Haruni baalandile evi, “Leza wa Baebrania wakitwana twize kuli wewe. Ale twitabizie tuye lwendo lwa nsiku itatu mu kaseeba, evi tuye tumwelele Yawe Leza wetu ngelelo akeeza kutwipaya na kimina kya malwele ao na bului.”
0205040086	Inzi likolo wa ku Misri wa-anine Musa ni Haruni nangue, “Ni kiki kimwakeba kufumiizia bantu ku miilo yabo? Bwelele ku miilo yenu.”
0205050078	Kabili Farao waalandile nangue, “Baba bantu bavula kukila Bamisri, ale kimulimwakebela baba bantu batuuzie ni kiki?”
020506005e	Bobo bwenka busiku Farao waakuutile bakulu ba Bamisri pamo ni nombozi ya bazia wabaana nangue,
0205070074	“Kutula lelo tekuli kupeela bantu bikusi bya kukitilako mabiliki nga vimulimwakita. Baleke baye baikebele bo bene.
02050800e9	Inzi bakinkizie sie kukita mabiliki ni kukumania mpendua yenka elia pasili kukeefiapo ata limo, pantu baba bantu ni bananghani. Ni pakako i kibalimukunghemiizia balimukulanda nangue, ‘Twitabizie tuye tumwelele Leza wetu ngelelo.’
020509005f	Kizie kupeela baba bantu miilo ikolele, evi basulwile ni kulekela kutwilizia twebo twa bufi.”
02050a007f	Kupwako, bakulu ba Bamisri pamo ni nombozi ya bazia babaana Baizraeli nangue, “Farao walanda nangue nsikiya namipeela bikusi.
02050b0082	Endo mwaye mwikebele mwe bene koko kumulikuya kubisangila. Inzi mupalile kukita mpendua ya mabiliki nga mumulimwakitila lyonse.”
02050c0051	Ni pakako, bantu baasalagheene mu Misri mu kukeba bikusi bya kukitilako mabiliki.
