0100000018	ઊત્પત્તિ
0511070144	સૌપ્રથમ સાક્ષીઓનો હાથ તેને મારી નાખવા તેના પર પડે, ત્યારપછી બીજા બધા લોકોના હાથ. આ રીતે તમે તમારી મધ્યેથી દુષ્ટતા નાબૂદ કરો.
05110802c6	જો કોઈ વાતનો ન્યાય આપવો તમને બહુ મુશ્કેલ લાગે, જેમ કે ખૂનનો, મિલકતના હકનો, મારામારીનો એક કે બીજી વ્યક્તિ વચ્ચે વિવાદનો કે, કોઈ ઈજાનો પ્રશ્ન હોય કે તમારા નગરના દરવાજામાં કોઈ બાબતનો મતભેદ હોય, તો તમારે યહોવાહ તમારા ઈશ્વર પોતાના પવિત્રસ્થાન માટે જે જગ્યા પસંદ કરે ત્યાં જવું.
05110900dd	લેવી યાજકો પાસે જઈને તે સમયે જે ન્યાયાધીશ હોય તેને પૂછવું, તેઓ તમને તેનો ચુકાદો આપશે.
05110a01a7	યહોવાહ પોતાના પવિત્રસ્થાન માટે જે જગ્યા પસંદ કરે ત્યાંથી જે ચુકાદો તેઓ તમને કહે, તે ચુકાદા પ્રમાણે તમારે અનુસરવું. તેઓ તમને જે કંઈ કરવા કહે તે કાળજીપૂર્વક કરવું.
05110b0135	તેઓ જે નિયમ તમને શીખવે તેને અનુસરો, જે નિર્ણય તેઓ આપે તે પ્રમાણે કરો. તેઓ જે કહે તેમાંથી ડાબે હાથે કે જમણે હાથે ફરશો નહિ.
05110c01bf	જો કોઈ માણસ યહોવાહ તમારા ઈશ્વરની સેવા કરનાર યાજકના કે ન્યાયાધીશના ચુકાદાઓનો અસ્વીકાર કરવાની દૃષ્ટતા કરે, તો તે માર્યો જાય. અને એ રીતે તમારે ઇઝરાયલમાંથી દુષ્ટતા દૂર કરવી.
05110d00c8	અને સર્વ લોકોને એની જાણ થશે ત્યારે તેઓ ડરશે. અને એવી દુષ્ટતા ફરી કદી કરશે નહિ.
05110e01b6	યહોવાહ તમારા ઈશ્વર તમને જે દેશ આપે છે ત્યાં જ્યારે તમે પહોંચો અને તેનું વતન લઈને તેમાં વસો અને એમ કહો કે, ‘અમારી આસપાસની અન્ય પ્રજાઓની જેમ અમે અમારે માથે રાજા ઠરાવીશું.
05110f0221	તો જેને યહોવાહ તમારા ઈશ્વર પસંદ કરે તેને જ તમારે રાજા તરીકે નિયુકત કરવો. તમારા ભાઈઓમાંથી એકને તમારે તમારા શિરે રાજા તરીકે નિયુક્ત કરવો. કોઈ પરદેશી કે જે તમારો ભાઈ નથી તેને તમે તમારે શિરે રાજા નિયુક્ત કરશો નહિ.
0511100229	ફક્ત આટલું જ કે તે પોતાને માટે મોટી સંખ્યામાં ઘોડાઓ ન રાખે. અને પોતાના ઘોડાઓની સંખ્યામાં વધારો કરવાના મતલબથી તે લોકોને પાછા મિસર ન મોકલે. કેમ કે યહોવાહે તમને કહ્યું છે કે “તમારે હવે પછી કદી એ રસ્તે પાછા જવું નહિ.”
0511110131	વળી તે ઘણી પત્નીઓ કરે નહિ. કે જેથી તેનું હૃદય યહોવાહ તરફથી વિમુખ થઈ ન જાય. વળી તે પોતાને સારુ સોનુંચાંદી અતિશય ન વધારે.
