2800000007	Matúš
2a042c003a	A tak prechádzal judskou krajinou a kázal v synagógach.
2a050100a5	Jedného dňa stál Ježiš na brehu Genezaretského jazera, obklopený obrovským zástupom ľudí, ktorí sa okolo neho tlačili, lebo chceli počuť Božie slovo.
2a05020051	Všimol si na brehu dve prázdne loďky. Rybári z nich vystúpili a prali siete.
2a0503008d	Ježiš nastúpil na loďku, ktorá patrila Šimonovi, a poprosil ho, aby s ním odrazil od brehu. Potom si sadol a kázal odtiaľ zástupom.
2a0504007c	Keď skončil, povedal Šimonovi: „Poď teraz s loďkou na miesto, kde je hlboká voda, a roztiahnite tam siete na lov.“
2a0505008a	Šimon odpovedal: „Učiteľ, celú noc sme tvrdo pracovali a nič sme nechytili. Ale ak je to tvoje prianie, spustíme siete do vody.“
2a05060043	Vyplávali a vylovili také množstvo rýb, až sa im trhali siete.
2a05070079	Museli si zavolať na pomoc rybárov z druhej loďky. Čoskoro boli obe loďky také plné rýb, že sa takmer potápali.
2a05080080	Keď to Šimon Peter videl, padol pred Ježišom na kolená a prosil: „Odíď odo mňa, Pane, veď ja som hriešny človek!“
2a05090065	Peter bol totiž ohromený z takého nezvyčajného úlovku. Úžas sa zmocnil aj jeho spoločníkov:
2a050a009c	Jakuba a Jána, synov Zebedejových. Ježiš Šimonovi povedal: „Neboj sa! Odteraz nebudeš loviť ryby, ale budeš zachraňovať ľudí pre večnosť.“
2a050b0050	A len čo prirazili s loďkami k brehu, všetko tam nechali a šli za Ježišom.
2a050c00b1	V jednom mestečku stretol Ježiš človeka postihnutého ťažkým malomocenstvom. Úbožiak si pred neho kľakol a prosil: „Pane, keby si chcel, mohol by si ma uzdraviť.“
2a050d0084	Ježiš vystrel ruku, dotkol sa ho a povedal: „Áno, chcem. Buď zdravý!“ A v tej chvíli nezostalo po malomocenstve ani stopy.
2a050e00b1	Ježiš mu prikázal, aby o tom nikomu nehovoril. „Choď a ukáž sa kňazovi! Potom prines Mojžišovým zákonom predpísanú obeť vďačnosti na dôkaz, že si zdravý.“
2a050f009b	Zvesť o Ježišovi počulo čoraz viac ľudí. Prichádzali za ním veľké zástupy: chceli počúvať jeho učenie a byť uzdravení zo svojich chorôb.
2a0510003f	On však často odchádzal na opustené miesto a tam sa modlil.
2a051100cd	Jedného dňa, práve keď učil, zhromaždili sa farizeji a učitelia Zákona z rozličných miest Galiley a Judska, ba aj z Jeruzalema. Posadali si okolo neho a počúvali ho. Boh mu dal moc uzdravovať.
2a0512005d	Akýsi muži priniesli na nosidlách ochrnutého človeka a chceli ho priniesť k Ježišovi.
2a05130094	Nemohli sa však k nemu cez to množstvo ľudí dostať. Vyšli teda na strechu a cez otvor spustili ochrnutého na nosidlách priamo pred Ježiša.
2a05140059	Keď Ježiš videl ich vieru, povedal: „Priateľ môj, tvoje hriechy sú odpustené.“
2a0515008a	Učitelia Zákona a farizeji uvažovali: „Kto si myslí, že je! To je predsa rúhanie! Veď iba Boh má právo odpúšťať hriechy!“
2a05160061	Ježiš dobre vedel, čo si myslia, preto povedal: „Prečo sa pohoršujete vo svojich srdciach?
2a0517007a	Veď čo je ľahšie? Povedať ochrnutému: ‚Tvoje hriechy sú odpustené‘, alebo mu prikázať: ‚Vstaň a choď!‘
2a051800ba	Ale aby ste vedeli, že Syn človeka má moc na zemi odpúšťať hriechy…“ Vtedy sa obrátil k ochrnutému a povedal mu: „Vstaň a vezmi si svoje lôžko. Môžeš ísť domov!“
2a0519006f	Ochrnutý hneď pred očami všetkých vstal a zbalil si rohož. Pobral sa domov a cestou hlasno chválil Boha.
2a051a0088	Všetkých sa zmocnil úžas a oslavovali Boha. V bázni hovorili jeden druhému: „To, čo sme dnes videli, bolo naozaj mimoriadne!“
2a051b009e	Keď Ježiš neskôr vyšiel z domu, všimol si na colnici vyberača poplatkov, ktorý sa volal Lévi. Povedal mu: „Poď, staň sa mojím nasledovníkom!“
2a051c0032	A Lévi nechal všetko tak, vstal a šiel za ním.
2a051d007f	Vo svojom dome potom usporiadal na Ježišovu počesť veľkú hostinu. Pozval na ňu aj mnoho ďalších vyberačov poplatkov.
2a051e007f	Farizeji a učitelia Zákona sa na tom pohoršovali a vyčítali učeníkom: „Prečo si sadáte za stôl s takou spodinou?“
2a051f0046	Ježiš im na to povedal: „Lekára nepotrebujú zdraví, ale chorí.
2a0520008f	Neprišiel som volať k Bohu tých, čo sú presvedčení o vlastnej spravodlivosti, ale hriešnikov, aby sa odvrátili od svojich hriechov.“
2a0521009f	Niektorí ľudia Ježišovi vyčítali: „Nasledovníci Jána Krstiteľa i nasledovníci farizejov sa často postia a modlia, ale tvoji sa nepostia vôbec.“
2a0522006c	Ježiš im odpovedal: „Majú vari svadobčania, ktorých pozval ženích, dôvod smútiť, kým je s nimi?
2a0523004f	Ale prídu dni, keď bude ženích od nich vzatý, a potom sa budú postiť.“
2a052400bf	Potom im povedal aj podobenstvo: „Nikto predsa neodtrhne kus látky z nových šiat, aby ním zaplátal starý odev. Zničil by tak nové šaty a na staré by nová záplata ani nepristala.
2a05250099	A nikto nebude nalievať mladé víno do starých kožených mechov, lebo kvasiace víno by staré mechy roztrhlo, a tak by jedno i druhé vyšlo nazmar.
2a0526002c	Preto mladé víno patrí do nových mechov.
2a05270052	Ale vy dávate prednosť starému vínu. Vravíte, že staré víno je lepšie.“
2a06010074	Raz v sobotu prechádzal Ježiš a jeho učeníci obilným poľom. Učeníci trhali klasy, mrvili ich a zrná jedli.
2a06020059	Videli to farizeji a pohoršovali sa: „Čo to robíte? V sobotu sa to predsa nesmie!“
2a0603006f	Ježiš im odpovedal: „Nikdy ste nečítali, čo urobil kráľ Dávid, keď on aj jeho družina boli hladní?
2a0604009a	Ako vošiel do chrámu, vzal a jedol posvätné chleby, ktoré smeli jesť iba kňazi? Nečítali ste, ako z tých chlebov dal aj svojim spoločníkom?“
2a06050074	A potom ešte dodal: „Veď Syn človeka má právo rozhodnúť aj o tom, čo sa v sobotu smie robiť a čo nie!“
2a06060064	V inú sobotu vošiel Ježiš do synagógy a vyučoval. Bol tam aj človek s ochrnutou pravou rukou.
2a06070098	Učitelia Zákona a farizeji napäto striehli, čo urobí. Ak postihnutého uzdraví, budú mať výbornú príležitosť vzniesť proti nemu obvinenie.
2a0608009c	Ale Ježiš dobre poznal ich myšlienky. Vyzval muža s ochrnutou rukou: „Poď sem a postav sa do prostriedku, aby ťa všetci videli.“ Muž poslúchol.
2a060900aa	Nato oslovil Ježiš farizejov a učiteľov Zákona: „Mám pre vás otázku: Je dovolené konať v sobotu dobro alebo nie? Má sa život zachrániť, alebo zničiť?“
2a060a0075	Každému z nich sa pozrel do očí a potom mužovi povedal: „Vystri ruku!“ Poslúchol a ruku mal opäť zdravú.
2a060b006d	Ježišových odporcov to veľmi nahnevalo a začali sa medzi sebou radiť, čo by mohli s Ježišom urobiť.
2a060c0056	V tých dňoch vystúpil Ježiš na vrch a celú noc tam strávil s Bohom na modlitbe.
2a060d0071	Keď sa rozvidnelo, zavolal si k sebe učeníkov, vyvolil si z nich dvanástich a nazval ich apoštolmi. Boli to:
2a060e0056	Šimon, ktorého volali aj Peter; Ondrej, jeho brat; Jakub a Ján; Filip a Bartolomej;
2a060f0049	Matúš a Tomáš; Jakub, syn Alfejov a Šimon, ktorého volali Horlivec;
2a06100045	Júda, syn Jakubov a Judáš Iškariotský, ktorý ho neskôr zradil.
2a061100b8	Keď zostúpili z vrchu na rovinu, očakával ich už veľký zástup Ježišových stúpencov a davy ľudí z Jeruzalema i z celého Judska, ba aj z pobrežných miest Týru a Sidonu.
2a06120089	Prišli ho počúvať, ale aj dať sa uzdraviť. Vyliečil mnohých, ktorých trápili rozličné choroby spôsobené nečistými duchmi.
2a06130052	Všetci sa ho túžili aspoň dotknúť, lebo z neho vychádzala uzdravujúca moc.
2a0614007a	Tu sa Ježiš obrátil na svojich učeníkov a povedal: „Radujte sa, vy chudobní, lebo vám patrí Božie kráľovstvo.
2a06150085	Radujte sa, ktorí trpíte hladom, lebo Boh vás nasýti. Radujte sa, ktorí teraz plačete, lebo príde čas, keď sa budete smiať.
2a06160090	Radujte sa, keď vás budú nenávidieť, vylučovať spomedzi seba, potupovať a hanobiť vaše mená preto, že sa hlásite k Synovi človeka.
2a0617009b	Tešte sa a jasajte od radosti, kedykoľvek sa to bude diať, lebo vás v nebi čaká veľká odmena: veď tak isto zaobchádzali ich predkovia s prorokmi.
2a06180046	Ale beda vám, bohatí, lebo vy už tu na zemi máte svoje potešenie.
2a06190096	Beda vám, ktorí sa cítite nasýtení, lebo raz budete trpieť hladom. Beda vám, ktorí sa ľahkomyseľne smejete, lebo raz budete trpko nariekať.
2a061a0071	A beda vám, ak vás všetci vychvaľujú, veď kedysi sa ich otcovia rovnako správali k falošným prorokom.“
2a061b0072	„Ale vám, ktorí ma počúvate, radím: Milujte svojich nepriateľov. Robte dobre tým, ktorí vás nenávidia.
2a061c0068	Žehnajte tých, ktorí vás preklínajú, a proste o Božie požehnanie pre tých, ktorí vám krivdia.
2a061d0067	Ak ťa niekto udrie po líci, nastav mu aj druhé. Ak od teba niekto žiada košeľu, daj mu aj kabát.
2a061e0066	Každému, kto ťa o niečo prosí, daj, a ak si niekto vzal, čo patrí tebe, nevymáhaj to naspäť.
2a061f0045	Správajte sa k ľuďom tak, ako chcete, aby sa oni správali k vám.
2a06200078	Aké uznanie by ste chceli za to, že budete prejavovať lásku iba tým, ktorí milujú vás? To robia aj bezbožníci.
2a06210082	Akú odmenu by ste chceli za to, že budete robiť dobre len tým, ktorí robia dobre vám? To isté predsa robia aj bezbožníci.
2a062200b9	A akú by ste mali zásluhu, ak by ste požičiavali iba tým, o ktorých viete, že vám to vždy vrátia? Veď aj bezbožní ľudia požičiavajú s tým, že sa im to ľudia vrátia.
2a062300f4	Vy však konajte inak. Milujte svojich nepriateľov. Robte im dobre! Požičiavajte a nevymáhajte naspäť. Veď je pre vás pripravená bohatá odmena a budete deťmi Boha Najvyššieho. Boh je totiž dobrý aj k ľuďom nevďačným a zlým.
2a0624003b	Buďte teda milosrdní, ako je milosrdný aj váš Otec.“
2a0625007c	„Nesúďte a nebudete súdení. Nikoho neodsudzujte a ani vy nebudete odsúdení. Odpúšťajte a aj vám bude odpustené.
2a062600d5	Dávajte ochotne a aj Boh vás zahrnie svojimi darmi. Váš dar sa vám vráti dobre utlačenou, utrasenou, vrchovatou mierou. Lebo akou mierou dávate vy – malou či veľkou – takou bude namerané aj vám.“
2a0627006b	Ježiš im povedal aj prirovnanie: „Čo sa stane, ak slepý vedie slepého? Vari nespadnú obaja do jamy?
2a06280059	Žiak nie je väčší ako jeho učiteľ. Ale ak na sebe pracuje, môže sa mu vyrovnať.
2a0629005b	Prečo sa staráš o smietku v oku svojho brata, ale brvno vo vlastnom oku si si nevšimol?
2a062a010a	Ako sa opovážiš povedať: ‚Brat môj, dovoľ, nech ti vyberiem smietku z oka‘, a pritom brvno vo vlastnom oku nevidíš? Pokrytec, najprv odstráň brvno z vlastného oka, a až potom budeš môcť dobre vidieť, ako odstrániť triesku z oka svojho brata.“
2a062b0065	„Dobre zaštepený strom nerodí plané ovocie a planý strom nemôže rodiť ušľachtilé ovocie.
2a062c005f	Každý strom sa pozná podľa ovocia. Veď z bodliakov sa neoberajú figy ani z tŕnia hrozno.
2a062d00b9	Dobrý človek rozdáva z dobrého pokladu svojho srdca dobré veci. Zlý človek má srdce plné zla, šíri iba zlo. Lebo jeho ústa hovoria iba to, čím je preplnené jeho srdce.“
2a062e0056	„Prečo ma stále oslovujete: ‚Pane, Pane‘, ale nerobíte to, čo vám hovorím?
2a062f004f	Každý, kto prichádza ku mne, počúva, čo hovorím, a podľa toho aj koná,
2a063000ad	podobá sa človeku, ktorý staval dom. Kopal hlboko a základy položil na skale. Keď sa prihnala povodeň a vody sa zapreli do domu, nepohol sa, lebo mal pevné základy.
2a063100be	Ale ten, kto počúva moje slová, no nežije podľa nich, podobá sa človeku, ktorý si postavil dom bez základov. Keď sa prihnala povodeň, dom sa zrútil a zostali z neho iba ruiny.“
2a07010047	Keď to všetko povedal poslucháčom, vrátil sa späť do Kafarnauma.
2a0702005c	Tam mal istý rímsky dôstojník sluhu, ktorého si veľmi vážil, a ten na smrť ochorel.
2a0703007d	Keď sa dôstojník dopočul o Ježišovi, poslal k nemu židovských starších s prosbou, aby prišiel a uzdravil mu sluhu.
2a07040057	Tí sa pobrali k Ježišovi a naliehavo ho prosili: „Zaslúži si, aby si mu pomohol.
2a0705003d	Má rád náš národ, ba dal nám postaviť aj synagógu.“
2a070600be	Ježiš šiel s nimi. A keď už bol neďaleko dôstojníkovho domu, ten poslal k nemu svojich priateľov s odkazom: „Pane, neobťažuj sa, nie som hoden, aby si vstúpil pod moju strechu.
2a07070073	Preto som sa ani neodvážil prísť za tebou osobne. No stačí, ak povieš slovo, a môj sluha určite vyzdravie.
2a070800fd	Veď aj ja sa musím podriaďovať rozkazom svojich veliteľov a sám dávam príkazy vojakom. Ak niektorému poviem: ‚Choď!‘, tak ide, a ak rozkážem inému: ‚Príď!‘, tak príde. A ak poviem svojmu sluhovi: ‚Urob to!‘, tak to urobí!“
2a070900d7	Keď to Ježiš počul, bol veľmi prekvapený. Obrátil sa k zástupu, ktorý ho sprevádzal, a povedal: „Vravím vám, že v celom izraelskom národe som nestretol človeka, ktorý by mal takú veľkú vieru!“
2a070a0047	Keď sa dôstojníkovi poslovia vrátili domov, našli sluhu zdravého.
2a070b0060	Hneď nato sa Ježiš pobral do mesta Naim. Šli s ním jeho učeníci a veľký zástup ľudí.
2a070c008e	Keď prišli až k mestskej bráne, stretli pohrebný sprievod. Pochovávali jediného syna istej vdovy. Sprevádzalo ju mnoho ľudí z mesta.
2a070d0043	Keď ju Pán videl, prišlo mu jej ľúto a povedal: „Neplač!“
2a070e0086	Potom pristúpil bližšie k máram, dotkol sa ich a tí, čo ich niesli, zastali. Ježiš povedal: „Chlapec, vravím ti, vstaň!“
2a070f006d	Ten, čo bol mŕtvy, sa zrazu posadil a začal sa zhovárať s ľuďmi okolo. Tak Ježiš vrátil matke syna.
2a07100085	Všetkých naplnila veľká bázeň a zvelebovali a oslavovali Boha: „Prišiel k nám veľký prorok! Boh navštívil svoj ľud!“
2a07110048	Správa o tejto udalosti sa rozniesla po celom Judsku i po celom okolí.
2a07120065	Správy o všetkom, čo Ježiš robil, priniesli Jánovi jeho učeníci. Dvoch z nich si Ján zavolal
2a07130077	a poslal ich k Ježišovi s otázkou: „Si naozaj Mesiáš, ktorý mal prísť, alebo máme čakať niekoho iného?“
2a071400b2	Keď prišli za Ježišom, povedali mu: „Ján Krstiteľ nás poslal, aby sme sa ťa opýtali, či si naozaj Mesiáš, ktorý mal prísť, alebo máme čakať niekoho iného?“
2a07150083	Práve, keď tam boli, Ježiš uzdravil mnohých trpiacich – chorých, posadnutých zlými duchmi a mnohým slepým vrátil zrak.
2a071600e6	Odpovedal im: „Choďte a povedzte Jánovi, čo ste videli a čo ste počuli: slepí vidia, chromí chodia, malomocní sú uzdravení, hluchí počujú, mŕtvi sa prebúdzajú k životu a chudobným sa zvestuje radostná správa.
2a07170027	Šťastný je ten, kto mi dôveruje.“
2a071800a9	Keď Jánovi poslovia odišli, začal Ježiš rozprávať o Jánovi zástupom: „Keď ste šli na judskú púšť, čo ste chceli obdivovať? Trstinu kolísanú vetrom?
2a0719007c	Alebo ste chceli vidieť človeka oblečeného do drahých šiat? Ale veď tí žijú v prepychu v kráľovských palácoch.
2a071a005a	Alebo ste chceli počuť proroka? Áno, poznali ste ešte niekoho väčšieho ako proroka.
2a071b0072	Ján je ten, o ktorom prorok Malachiáš napísal: ‚Posielam svojho posla pred tebou, aby ti pripravil cestu.‘
2a071c00ba	Vedzte, že medzi všetkými ľuďmi, ktorí sa kedy narodili, niet nikoho, kto by prevyšoval Jána Krstiteľa, a predsa i ten najmenší v nebeskom kráľovstve je väčší ako on.“
2a071d00b1	Všetci, ktorí počuli Jána kázať – a boli medzi nimi aj ľudia pochybnej povesti – nechali sa od neho pokrstiť. Tým uznali, že spôsob, akým Boh koná, je správny.
2a071e0073	Farizeji a učitelia Zákona však Jánov krst odmietli, lebo nepochopili, že aj oni potrebujú Božie odpustenie.
2a071f0051	Ježiš pokračoval: „Ku komu mám prirovnať ľudí ako vy? Komu sa podobajú?
2a072000d7	Sú ako deti, ktoré sa hrajú na námestí chvíľu na svadbu, chvíľu na pohreb a vzájomne si vyčítajú: ‚Pískali sme vám, ale netancovali ste.‘ ‚A my sme vám zasa smutne spievali, a neplakali ste.‘
2a07210058	Keď prišiel Ján Krstiteľ, nejedol chleba a nepil víno a vraveli, že je posadnutý,
2a072200ac	ale keď prišiel Syn človeka, ktorý je a pije, vravíte pohŕdavo: ‚Pozrite sa na toho nenažranca a opilca, ktorý sa priatelí so zdieračmi a kadejakou spodinou.‘
2a0723004a	Dokonalosť Božej múdrosti dokážu tí, čo sa ňou nechajú viesť.“
2a07240055	Jeden z farizejov pozval Ježiša na obed. Ježiš pozvanie prijal a stoloval s ním.
2a072500ac	V tom meste žila žena veľmi zlej povesti. Keď sa dozvedela, že Ježiš je na návšteve u farizeja Šimona, priniesla alabastrovú nádobku so vzácnym vonným olejom.
2a07260079	S plačom pristúpila odzadu k jeho nohám, zmáčala ich slzami, utierala svojimi vlasmi, bozkávala a natierala olejom.
2a072700a0	Keď to videl hostiteľ, povedal si v duchu: „Keby to bol prorok, vedel by, že tá žena je veľká hriešnica a nedovolil by, aby sa ho čo i len dotkla.“
2a0728007b	V tom ho Ježiš oslovil: „Rád by som sa ťa, Šimon, na niečo spýtal.“ – „Prosím, len vrav,“ povedal Šimon.
