0100000009	ኡመመ
0a17150116	እን ነምቸ ብየ ግብጥ ጉድቸ ቶኮሌ ንአጄሴ። ነምች ግብጥ ሱን ኤቦ ሀርካ ቀባቱዩ ቤናያ ቦኩዻን እሰት በኤ፤ እንስ ሀርከ ነምቸ ግብጥ ሰናቲ ኤቦ ቡተቴ ኤቦዹመሳቲን እሰ አጄሴ።
0a171600b0	ሆጂወን ጎቱማ ከኔን ቤናያ እልም ዬሆያዳ ሆጄቴ ከነ ፈእ፤ እንስ አኩመ ነሞተ ጀጀቦ ሰደን ሰና ነመ ቤከማ ቱሬ።
0a171700e7	እን ነሞተ ሶዶመን ሰነ ኬሳ ነመ ከምዩ ጫላ ኡልፍነ ጉዳ አርገቴ፤ ገሩ ነሞተ ሰደን ሰነት ህንደበለምኔ። ዳዊትስ አጀጃ ኤግዶተ ኦፊሳ እሰ ጎዸቴ።
0a1718008f	ጀረ ሶዶመን ሰነ ኬሰትስ፦ አሳሄል ኦቦሌሰ ዮኣብ፣ ኤልሃናን እልመ ዶዶ ነምቸ ቤትልሄም፣
0a1719004c	ሸማ ነምቸ ጎሰ ሀሮዳ፣ ኤሊቃ ነምቸ ጎሰ ሀሮዳ፣
0a171a004f	ሄሌዝ ነምቸ ጳልቲ፣ ኢራ እልመ እቄሽ ነመ ቴቆኣ፣
0a171b004b	አቢኤዜር ነመ አናቶት፣ ሜቡናይ ነመ ብየ ሁሻ፣
0a171c0041	ዘልሞን ነመ አሆኣ፣ መሀራይ ነመ ኔቶፋ፣
0a171d0081	ሄሌድ እልመ በአና ነመ ኔቶፋ፣ ጎሰ ቤንያም ኬሳ ኢታይ እልመ ሪባይ ነምቸ ግቤኣ፣
0a171e004b	ቤናያ ነመ ጵራቶን ህዳይ ነምቸ ሱሉሎተ ገኣሽ፣
0a171f0058	አቢ-አልቦን ነምቸ ብየ አርባ፣ አዝማዌት ነመ በርሁም፣
0a17200053	ኤሊያባ ነምቸ ሸአልቦን፣ እልማን ያሼን፣ ዮናታን፣
0a1721006d	እልመ ሸማ ነምቸ ሀራራ ሰና፣ አሂኣም እልመ ሻራር ነምቸ አሮዳ ሰና፣
0a1722007b	ኤሊጴሌጥ እልመ አሀስባይ ነመ መአካት፣ ኤልኣም እልመ አሂቶፌል ነመ ጊሎን፣
0a1723004b	ሄዝሮ ነመ ቀርሜሎስ፣ ፈአራይ ነመ ብየ አርቢ፣
0a1724004c	ይግኣል እልመ ናታን ነምቸ ዞባ፣ ባኒ ጎሰ ጋድ፣
0a172500a3	ዜሌቅ ነምቸ ጎሰ አሞን፣ ነሃራይ ነምቸ ጎሰ ብኤሮት ከን ዮኣብ እልመ ዜሩያቲፍ ምአ ሎላ ባቱ ሰነ ቱሬ፤
0a1726004f	ኢራስ ነምቸ ጎሰ ይትራ፣ ጋሬብ ነምቸ ጎሰ ይትራ፣
0a1727002d	አከሱመስ ኡርያ ነምቸ ሄት።
0a1801009f	ኣሪን ዋቀዮ አመስ እስራኤልት ከኤ ዳዊቲን፣ “ዸቂቲ እስራኤሊፊ ይሁዳ ለካእ” ጄዼ እሳንት ከካሴ።
0a1802015e	ከናፉ ሞትች ዮኣቢፊ አጀጆተ ወራና ከኔን እሰ ብረ ቱረኒን፣ “አከ አን አከ እሳን ሀመም አከ ባይአተን ቤኩ ደንደኡፍ ጎሶተ እስራኤል ከኔን ዳኒ ሀመ ቤርሼባት ጅራተን ሁንደ ኬሰ ዴማቲ ነሞተ ሎሉ ደንደአን ገልሜሳ” ጄዼ።
0a18030109	ዮኣብ ገሩ ዴብሴ፣ “ዋቀዮ ዋቅንኬ ሎልቶተኬ ደቻ ዽበ ጫላ ሃባይእሱ፤ እጅ ጎፍታኮ ሞትቻስ ዋን ከነ ሃአርጉ። ገሩ ጎፍታንኮ ሞትች ማሊፍ ዋን ከነ ጎቹ በርባዴ?” ጄዼ።
0a180400e9	ተኡስ ዱቢን ሞትቻ ዮኣቢፊ አጀጆተ ሎልቶታ ያደ ጌደረቺሴ፤ ከናፉ እሳን ፉለ ሞትቻ ዱራ በአኒ ነሞተ እስራኤል ከኔን ሎሉ ደንደአን ገልሜሱ ዴመን።
0a180500df	እሳንስ ኤርገ ዮርዳኖስ ጬአኒ ቦዴ ገረ ክበ መጋላ ሱሉለ ኬሰት አርገሙቲን አሮኤር ብረ ቁበተን፤ አቺሞ ጋድ ኬሰ ደርበኒ የእዜርት ቀጄለን።
0a1806009a	እሳንስ ገረ ግልኣዲፊ ተባሶን አደሳይ፣ እት ኣንሰኒ ገረ ዳን ያአኒ አቺሞ ናነአኒ ሲዶና ዸቀን።
0a180700e1	ኤርገሲሞ ገረ ደአትኖ ጢሮስ፣ ገረ መጋላወን ሂዎታቲፊ ከነኣኖታ ሁንዳ ዸቀን። ዹመረትሞ ገረ ቤርሼባ ከን ክበ ይሁዳት አርገምቱ ሰና ዸቀን።
0a18080096	እሳንስ ኤርገ ጉቱማ ብየቲ ኬሰ ናነአኒ ቦዴ ጅአ ሰገሊፊ ቡልቲ ድግደማት ዬሩሳሌምት ዴብአን።
0a1809011c	ዮኣብስ ለኮብሰ ነሞተ ሎሉ ደንደአኒ ሞትቸት ህሜ፤ እስራኤል ኬሰ ነሞተ ሎላፍ ገኡምሰ ቀበን ከኔን ጎራዴ ቀበቹ ደንደአን ኩመ ዽበ ሰዴት፣ ይሁዳ ኬሰሞ ነሞተ ኩመ ዽበ ሸንቱ ቱሬ።
0a180a014c	ዳዊት ዋን ኤርገ ሎልቶተ ለካኤ ቦዴ በሌሳን እት ዸገአሜፍ ዋቀዮን፣ “አን ዋን ሆጄዼ ኬሰት ጩቡ ጉዳ ሆጄዼረ። ያ ዋቀዮ፣ አን አከ አት በሌሳ ገርብቸኬቲ ዺፍቱፍ ስን ከዸዸ። አን ሆጂ ጎዉማ ጉዳ ሆጄዼራ” ጄዼ።
0a180b00b1	ጉያ እት ኣኑት ኡቱ ዳዊት ህርባ ህንከእን ኤርጋን ዋቀዮ ገረ ዋ ህማ ዳዊት ገረ ጋድ ራጅቻ ዹፌ፤ ኤርጋን ሱንስ፣
0a180c00d2	“ዸቂቲ ዳዊቲን፣ ‘ዋቀዮ አከነ ሲን ጄዸ፦ አን ፍለትኖ ሰዲ ሲፍን ኬነ፤ አከ አን እሰ ስት ፍዱፍ እሳን ኬሳ ቶኮ ፍለዹ’ ጄዽ” ጄዸ።
0a180d0148	ከናፉ ጋድ ገረ ዳዊት ዸቄ፣ “ወጋ ቶርበ ብየኬረ ቤል ሃቡኡ? ዮካን ዲኖትንኬ ጅአ ሰዲፍ ስ ሃአርአኒ? ዮካን ዸእች ጉያ ሰዲ ብየኬ ሃዸኡ? ኤጋ አመ እት ያዲቲ ዋን አን እሰ ነ ኤርጌ ሰናፍ ዴብሱ ሙርቴስ” ጄዼን።
0a180e00d5	ዳዊትሞ ጋዲን፣ “አን አከ መሌ ዽጰዼረ። ዋን አራርሳ ጉዳ ተኤፍ ኑ ሀርከ ዋቀዮ ሃሴኑ፤ ገሩ አከ አን ሀርከ ነማ ሴኑ ህንጎዽን” ጄዼ።
0a180f00e9	ከናፉ ዋቀዮ ጉያ እት ኣኑ ገነማ ጀልቀቤ ሀመ ጉያን ሙርታኤ ራወቱት እስራኤልት ዸእቸ ፍዴ፤ ዳኒ ሀመ ቤርሼባት ነሞትን ኩምን ቶርባተምን ንዹመን።
0a18100185	ዬሮ ኤርገማን ዋቀዮ ዬሩሳሌምን በሌሱፍ ሀርከሳ ድሪርፈቴት ዋቀዮ ሰበቢ ሁባቲን ሱን እሰ ገድሲሴፍ ኤርገማሳ ከን ሰበ በሌሱፍ ቱሬ ሰናን፣ “ንገአ! ሀርከኬ ዴብፈዹ” ጄዼ። ዬሮ ሰነ ኤርገማን ዋቀዮ ኦብዲ አረዉና ነምቸ ጎሰ ዬቡስ ሰና ብረ ቱሬ።
0a1811012a	ዳዊት ዮሙ ኤርገማ ዋቀዮ ከን ነሞተ አጄሳ ቱሬ ሰነ አርጌት፣ ዋቀዮን፣ “ነምን ጩቡፊ በሌሳ ሆጄቴ አኑመ። እሳን ኩኔን ገሩ ሆሎታዸ። እሳን ማል ጎዸን? ሀርክኬ አናፊ ማቲኮረ ሃቡኡ” ጄዼ።
0a181200ba	ጋፈስ ጋድ ገረ ዳዊት ዸቄ፣ “ኦል በኢቲ ኦብዲ አረዉና ነምቸ ጎሰ ዬቡስ ሰና ኬሰት እዶ ኣርሳ ዋቀዮፍ እጃር” ጄዼን።
0a1813005d	ከናፉ ዳዊት አኩመ ዋቀዮ ከራ ጋዲን እሰ አጀጄት ኦል በኤ።
0a181400cc	አረዉናን ዮሙ ምልአቴ ሞትቻፊ ነሞተሳ ከኔን ገረሳ ዹፋ ጅረን አርጌት፣ ገድ በኤ ፉለ ሞትቻ ዱረት አዳን ለፈት ጎምብፈሜ ሰገዴ።
0a18150128	አረዉናንስ፣ “ጎፍታንኮ ሞትች ማሊፍ ገረ ገርብቸሳ ዹፌ?” ጄዼ። ዳዊትሞ፣ “አን አከ ዸእች ሰበረ ቡኤ ኩን ዻበቱፍ፣ ኦብዲኬ ብቴ እሰረት እዶ ኣርሳ ዋቀዮፍ ቶልቹፍን ዹፌ” ጄዼ ዴብሴ።
0a1816011d	አረዉናንስ ዳዊቲን አከነ ጄዼ፤ “ጎፍታንኮ ሞትች ዋን እሰት ቶሉ ከምዩ ፉዸቴ ሃዽኤሱ። ኣርሳ ጉበሙፍ ሰንጎን ኩኖት፤ ቆራኒፍሞ ምእ እቲን ምዻን ዸአሙፊ ዋንጆን ሰንጋ አስ ጅረ።
0a181700ba	ያ ሞቲ፣ አረዉናን ዋን ከነ ሁንደ ሞትቻፍ ንኬነ።” አከሱመስ አረዉናን፣ “ዋቀዮ ዋቅንኬ ሲፍ ሃፉዸቱ” እሳን ጄዼ።
0a1818015e	ሞትች ገሩ፣ “አከስ ምት፤ አን ገቲዻን ስራ ብቱ ነ በርባችሰ። አን ዋን ገቲ እት ህንባስን ዋቀዮ ዋቀኮቲፍ ኣርሳ ጉበሙ ጎዼ ህንዽኤሱ” ጄዼ አረዉናፍ ዴብሴ። ከናፉ ዳዊት ኦብድቻፊ ሰንጎተ ሰነ ሜቲ ሰቅሊ ሸንተማን ብቴ።
0a181900ef	ዳዊትስ አችት እዶ ኣርሳ ዋቀዮፍ ቶልቼ ኣርሳ ጉበሙፊ ኣርሳ ነጋ ዽኤሴ። ዋቀዮስ ከዸትና ዋኤ ብየቲፍ ዽኣቴፍ ዴቢ ኬኔ፤ ዸእችስ እስራኤልራ ንዴብኤ።
0b0000000b	1 ሞቶተ
0b01010077	ዳዊት ሞትች ዬሮ ጃሬ ዱሎሜት ዮ ኡፈተ እት ቱለንሌ ዸግንሳ ህንሆኡፍ ቱሬ።
0b010200f1	ከናፉ ተጃጅልቶትንሳ አከነ ጄዸኒን፤ “ዱርበ ቁልቁሉ ሞትቸ ተጃጅልቱፊ ኩኑንስቱ ሃበርባድኑ። እሼንስ ጎፍታኬኘ ሞትቸት ብረ ጪፍቴ እሰ ሃሆእፍቱ።”
0b010300c8	እሳንስ ብየ እስራኤል ጉቱ ኬሰ ዱርበ ሚዸግዱ በርባደኒ እንተለ አቢሸግ ጄዸምቱ ከን ጎሰ ሱነም ቶኮ አርገተኒ ሞትቸት ፍደን።
0b010400b3	እንተለቲን አከ መሌ ሚዸግዱ ቱርቴ፤ እሼንስ ሞትቸ ኩኑንስቴ፤ ንተጃጅልቴስ፤ ሞትች ገሩ እሼ ብረ ህንገኡ ቱሬ።
0b01050123	ዬሮ ሰነት አዶንያን እልም ሀጊት ከን እሼን ዳዊቲፍ ዴሴ፣ “አን ሞቲ ነንተአ” ጄዼ ኦል ኦል ኦፍ ቀቤ። ከናፉ እን ጋሪወኒፊ ፈርዴን አከሱመስ ነሞተ ፉለሳ ዱረ ፊገን ሸንተመ ቆጴፈቴ።
0b010600d5	አባንሳሞ፣ “አት ማሊፍ ዋን አከና ጎተ?” ጄዼ ጎንኩማ እሰ እፈቴ ህንቤኩ። እን ጉርባ አከ መሌ ሚዸጋ ከን አቤሳሎም እት ኣኔ ዸለቴዸ።
0b01070087	አዶንያንስ ዮኣብ እልመ ዜሩያቲፊ አብያታር ሉብቻን መርአቴ፤ እሳንስ እሰ ዴገረን።
0b010800c0	ገሩ ዛዶቅ ሉብች፣ ቤናያ እልም ዬሆያዳ፣ ናታን ራጅች፣ ሽሜኢን፣ ሬኢፊ ኤግዶን ዳዊት ፍለተሞን አዶንያ ወጅን ህንቱሬ።
0b01090145	አዶንያንስ ዸጋ ዞሄሌት እሰ ናኖ ኤን ሮጌልት አርገሙ ብረት ሆላ፣ ኮርመ ሎኒቲፊ ጀቦተ ጮጮሞ ኣርሳ ዽኤሴ። እንስ ኦቦሎተሳ እልማን ሞትቻ ሁንደ፣ ነሞተ ይሁዳ ከኔን ቆንዳልቶተ ሞትቻ ተአን ሁንደ ንዋሜ፤
0b010a008f	ገሩ ናታን ራጅቸ ዮካን ቤናያ ዮካን ኤግዶተ ፍለተሞ ዮካን ኦቦሌሰሳ ሶሎሞንን ህንዋምኔ።
0b010b00ea	ኤርገሲ ናታን አከነ ጄዼ በትሼባ ሃዸ ሶሎሞን ጋፈቴ፤ “አት አከ አዶንያን እልም ሀጊቲ፣ ኡቱ ጎፍታንኬኘ ዳዊት ቁበ ህንቀባትን ሞቲ ተኤ ህንዸጌኜ?
0b010c0082	ሜ አመ ኮቱ አከ አት እት ሉቡኬቲፊ ሉቡ እልመኬ ሶሎሞን ኦልቹ ደንዴሱ ስን ጎርሳ።
0b010d013a	አመ ገረ ዳዊት ሞትቻ ዸቂቲ፣ ‘ያ ጎፍታኮ ሞቲ፣ አት፣ “እልምኬ ሶሎሞን አነት ኣኔ ዹጉማን ሞቲ ንተአ፤ ቴሶኮረስ ንታአ” ጄቴ አነ ገርብቲኬቲፍ ህንከከትኔ? ዮስ አዶንያን ማሊፍ ሞቲ ተኤ?’ ጄዺን።
0b010e008f	አንስ ኡቱመ አት አችት ሞትቸ ወጅን ዱበቻ ጅርቱ ዹፌ ዋን አት ጄቱ ሰነ ሲፍን ምርከኔሰ።”
0b010f00c1	ከናፉ በትሼባን ካቴ ሞቲ ዱሎሜ ሰነ አርጉፍ ገረ ኩታ አቢሸግ እንተል ጎሰ ሱነም ሱን እት እሰ ኩኑንሳ ቱርቴት ኦል ሴንቴ።
0b01100094	በትሼባን ገድ ጄቴ ፉለ ሞትቻ ዱረት ጅልቤንፈቴ። ሞትችስ፣ “አት ማል በርባደ?” ጄዼ ጋፈቴ።
0b01110119	እሼንስ አከነ ጄቴ ዴብፍቴፍ፤ “ያ ጎፍታኮ፣ አት መታንኬ፣ ‘እልምኬ ሶሎሞን ነት ኣኔ ሞቲ ንተአ፤ ቴሶኮረስ ንታአ’ ጄቴ መቃ ዋቀዮ ዋቀኬቲቲን አነ ገርብቲኬቲፍ ከከቴ ቱርቴ።
0b0112007d	አመ ገሩ አዶንያን ሞቲ ተኤረ፤ አት ጎፍታንኮ ሞትችስ ዋን ከነ ቁበ ህንቀብዱ።
0b01130102	እን ኩኖ ሰንጎተ፣ ጀቦተ ጮጮሞፊ ሆሎተ ባይኤ ኣርሳ ዽኤሴ እልማን ሞቲ ሁንደ፣ አብያታር ሉብቻፊ ዮኣብ አጀጃ ሎልቶታ ዋሜረ፤ ገሩ ገርብቸኬ ሶሎሞንን ህንዋምኔ።
0b011400aa	ያ ጎፍታኮ ሞትቸ፣ ስ ቦዴዻን ኤኙ ቴሶ ጎፍታኮ ሞትቻረ አከ ታኡ ስራ ቤኩዻፍ እጅ እስራኤል ሁንድ ስረ ጅረ።
0b011500b2	ዮ ከና አቺ ዬሮ ጎፍታንኮ ሞትች አቦቲሳ ወጅን ቦቆቱት አኒፊ እልምኮ ሶሎሞን አከ ነመ በሌሳ ቀቡት እላለምነ።”
0b01160066	ኡቱመ እሼን አመሌ ሞትቸ ወጅን ዱበቻ ጅርቱ ናታን ራጅች ንዹፌ።
0b011700b3	እሳንስ፣ “ናታን ራጅች አስ ጅረ” ጄዸኒ ሞትቸት ህመን። ከናፉ ናታን ዹፌ ፉለ ሞትቻ ዱረት ገድ ጄዼ ሀርከ ፉዼ።
0b011800a5	ናታንስ አከነ ጄዼ፤ “ያ ጎፍታኮ ሞቲ፣ አት፣ ‘አዶንያን ነት ኣኔ ሞቲ ተአ፤ ቴሶኮረስ ንታአ’ ጄቴርታ?
0b01190161	እን ሀርአ ገድ ቡኤ ሰንጎተ፣ ጀቦተ ጮጮሞፊ ሆሎተ ባይኤ ኣርሳ ዽኤሴረ። እልማን ሞትቻ ሁንደ፣ አጀጆተ ሎልቶታቲፊ አብያታር ሉብቸ ዋሜረ። እሳን አመዩ እሰ ወጅን ኛቻ ዹጋ፣ ‘አዶንያን ሞትች በረ ዼራ ሃጅራቱ!’ ጄቻ ጅሩ።
0b011a0091	ገሩ አነ ገርብቸኬ፣ ዛዶቅ ሉብቸ፣ ቤናያ እልመ ዬሆያዳቲፊ ገርብቸኬ ሶሎሞንን ህንዋምኔ።
0b011b00b6	ኤጋ ኩን ዋን ጎፍታንኮ ሞትች ኡቱ እሰ ቦዴዻን ኤኙ አከ ቴሶ ጎፍታኮ ሞትቻረ ታኡ ገርብቸሳ ህንቤክስስን ሆጄቴዻ?”
0b011c009c	ዳዊት ሞትች፣ “ሜ በትሼባ ኦል ዋማ” ጄዼ። ከናፉ እሼን ገረ ሞትቻት ኦል ሴንቴ ፉለሳ ዱረ ዻበቴ።
0b011d0085	ሞትችስ አከነ ጄዼ ከከቴፍ፤ “ዹጋ ዋቀዮ ጅራታ እሰ ረክነ ሁንዱማ ኬሳ ነ ባሴ ሰና፣
0b011e00eb	አን ዋን ዱራን መቃ ዋቀዮ ዋቀ እስራኤሊን ሲፍ ከከዼ ሰነ ሀርአ ዹጉማን ሲፍን ጉተ። እልምኬ ሶሎሞን ነ ቦዴዻን ሞቲ ተአ፤ እዶኮስ ቴሶኮረ ንታአ።”
0b011f00c2	በትሼባንስ አዳን ገድ ጄቴ ሀርከ ፉቴ ፉለ ሞትቻ ዱረት ጅልቤንፈቴ፣ “ጎፍታንኮ፣ ዳዊት ሞትች በረ በራን ሃጅራቱ!” ጄቴ።
0b012000c9	ዳዊት ሞትችስ፣ “ሜ ዛዶቅ ሉብቸ፣ ናታን ራጅቻፊ ቤናያ እልመ ዬሆያዳ አስ ዋማ” ጄዼ። ዮሙ እሳን ፉለ ሞትቻ ዱረት ዽኣተንት፣
0b012100bd	እን አከነ እሳኒን ጄዼ፦ “ገርቦተ ጎፍታኬሰኒ ኦፍ ፋነ ፉዸዻቲ እልመኮ ሶሎሞንን ጋንጎኮረ ቴስሳቲ ጊሆንት ገድ ቡሳ።
0b012200df	አችትስ ዛዶቅ ሉብቺፊ ናታን ራጅች እስራኤሎተረት ሞቲ ጎዸኒ እሰ ሃድበን። መለከተ አፉፋቲ፣ ‘ሶሎሞን ሞትች በረ ዼራ ሃጅራቱ!’ ጄዻ እያ።
0b012300f6	እስንስ ኤርገሲ እሰ ወጅን ኦል በኡ ቀብዱ፤ እንስ ዹፌ ቴሶኮረ ታኤ እዶኮ ቡኤ ሞቲ ተኡ ቀበ። አን አከ እን ቡልቻ ተኡፍ እስራኤሊፊ ይሁዳረት እሰ ሙዴረ።”
0b012400a1	ቤናያን እልም ዬሆያዳ አከነ ጄዼ ሞትቻፍ ዴብሴ፤ “አሜን! ዋቀዮ ዋቅን ጎፍታኮ ሞትቻ አከሱመ ሃጄዹ።
0b012500ac	ዋቀዮ አኩመ ጎፍታኮ ሞትቸ ወጅን ቱሬ ሶሎሞን ወጅን ሃተኡ፤ ቴሶሳስ ቴሶ ጎፍታኮ ዳዊት ሞትቻ ጫላ ሃጀቤሱ!”
0b012600e4	ከናፉ ዛዶቅ ሉብች፣ ናታን ራጅች፣ ቤናያ እልም ዬሆያዳ፣ ኬሬቶትኒፊ ጴሌቶትን ገድ ቡአኒ ጋንጎ ዳዊት ሞትቻረ ሶሎሞን ቴስሰኒ ጊሆንት ጌሰን።
0b012700fa	ዛዶቅ ሉብች ዱንካነ ቁልቁሉ ኬሳ ጋንፈ ዘይቲ ፉዼ ሶሎሞኒን ድቤ። እሳንስ መለከተ አፉፈኒ ነሞትን ሁንድ፣ “ሶሎሞን ሞትች በረ ዼራ ሃጅራቱ!” ጄዸኒ እየን።
0b01280092	ነሞትን ሁንድ ሀመ ሰገሌ ሰናን ለፍት ሶቾቱት ፋጋ አፉፋ ገመቹ ጉዳዻን እሰ ፋነ ኦል በአን።
0b012900fe	አዶንያፊ ኬሱሞትን እሰ ወጅን ቱረን አኩመ ኛተሳኒ ፍጠተኒን ዋን ከነ ዸገአን። ዮኣብስ ሰገሌ መለከታ ዸጌኛን፣ “እይ መጋላ ኬሳ ኩን ሁንድ ማሊ?” ጄዼ ጋፈቴ።
0b012a00d6	ኡቱመ እን ዱበቹት ጅሩ፣ ዮናታን እልም አብያታር ሉብቻ ንዹፌ። አዶንያንስ፣ “ኦል ሴን። ጀባን አከኬቲ ኩን ኦዱ ጋሪ ፍዱ ቀባ” ጄዼ።
0b012b0090	ዮናታንስ አከነ ጄዼ ዴብሴ፤ “አከስ ምት! ጎፍታንኬኘ ዳዊት ሞትች፣ ሶሎሞንን ሞቲ ጎዼረ።
0b012c00d4	ሞትችስ ዛዶቅ ሉብቸ፣ ናታን ራጅቸ፣ ቤናያ እልመ ዬሆያዳ፣ ኬሬቶታፊ ጴሌቶተ እሰ ወጅን ኤርጌ፤ እሳንስ ጋንጎ ሞትቻረ እሰ ቴስሰን፤
0b012d0105	ዛዶቅ ሉብቺፊ ናታን ራጅች ጊሆንት ሞቲ ጎዸኒ እሰ ድበኒሩ። እሳን ገመቹዻን አቺ ኦል በአን፤ መጋለቲንስ እየሳኒቲን ሶቾፈምቴ፤ ወጭን እስን ዸጌሰን ኩንስ ከናዸ።
0b012e003e	ከነ ጫላዩ ሶሎሞን ቴሶ ሞቱማረ ታኤረ።
0b012f011a	ቆንዳልቶትን ሞቲስ፣ ‘ዋቅንኬ መቃኬ ጫላ መቃ ሶሎሞን ቤከማ ጎዼ ቴሶሳሌ ቴሶኬ ጫላ ሃጉድሱ!’ ጄዸኒ ጎፍታኬኘ ዳዊት ሞትቸ ኤብሱፍ ዹፈኒሩ። ሞትችስ ስሬሳረት ገድ ጄዼ ሰገዴ፤
0b013000c6	እንስ፣ ‘ዋቀዮ፣ ዋቅን እስራኤል ከን አከ እጅኮ ሀርአ ነመ እዶኮ ቡኤ ቴሶኮረ ታኡ አርግቱ ና ኤየሜ ሱን ሃኤብፈሙ’ ጄዼ።”
0b01310060	ከነረት ኬሱሞትን አዶንያ ሁንድ ርፈተኒ ከአኒ ብብትናአን።
0b0132005f	አዶንያን ገሩ ሶሎሞንን ሶዳቴ ዸቄ ጋንፈ እዶ ኣርሳ ቀበቴ።
0b0133012f	ሶሎሞንትስ አከነ ጄዸሜ ህመሜ፤ “አዶንያን ሶሎሞን ሞትቸ ሶዳቴ ጋንፈ እዶ ኣርሳ ቀበቴ እት ጭቼረ። እንስ፣ ‘ሶሎሞን ሞትች አከ ጎራዴዻን ገርብቸሳ ህንአጄፍኔ ሀርአ ናፍ ሃከከቱ’ ጄዼ።”
0b013400e1	ሶሎሞንስ፣ “ዮ እን አመነማ ተኡሳ ምርከኔሴ ርፌንሰ መታሳ ኬሳ ቶኮዩ ለፈ ህንቡኡ፤ ገሩ ዮ ሀምን እሰ ኬሰት አርገሜ እን ንዱአ” ጄዼ ዴብሴ።
0b0135011c	ሶሎሞን ሞትችስ ነመ እት ኤርጌ፤ እሳንስ እዶ ኣርሳ ብራ ገድ እሰ ፍደን። አዶንያንስ ዹፌ ፉለ ሶሎሞን ሞትቻ ዱረት ገድ ጄዼ ሀርከ ፉዼ፤ ሶሎሞንስ፣ “ዴም፣ መነኬት ገል” ጄዼን።
0b02010054	ዳዊት ዬሮን ዱአሳ ዽኣናን እልመሳ ሶሎሞንን አጀጄ።
0b0202008b	እንስ አከነ ጄዼ፤ “አን ከራ ለፈ ሁንዱማ ዴሙፈን ጅረ። ከናፉ አት ጀባዹ፤ ነመስ ተእ፤
0b02030111	ዋን ዋቀዮ ዋቅንኬ በርባዱ ኤግ፤ አከ ዋን ሆጄቱ ሁንዳፊ ለፈ ዴምቱ ሁንደት ምልኮፍቱፍ አኩመ ሴረ ሙሴ ኬሰት በሬፈሜት ከራሳረ ዴም፤ ስርናፊ አጀጀሳ፣ ሴራፊ ደምቢሳ ኤግ፤
0b02040151	ዮ አት አከስ ጎቴ፣ ዋቀዮ ዋን፣ ‘ዮ እልማንኬ ከራሳኒ ኤገተን፣ ዮ እሳን ገራሳኒ ጉቱፊ ሉቡሳኒ ጉቱዻን አመነሙማዻን ፉለኮ ዱረ ጅራተን፣ አት ቴሶ እስራኤልራ ነመ ህንዸብዱ’ ጄዼ ነ አብደቺሴ ሰነ ፊጣን ና ባሰ።
0b020501bc	“አት መታንኬዩ ዋን ዮኣብ እልም ዜሩያ ነት ሆጄቴ፣ ዋን እን አጀጆተ ሎልቶተ እስራኤል ለማን ጄቹንስ አብኔር እልመ ኔሪፊ አማሳ እልመ ዬቴር ጎዼ ንቤክተ። እን በረ ነጋ ኬሰ አከ ዋን ወራነ ኬሰት ተኤት እሳን አጄሴ ዺገሳኒ ዸንገላሴ፤ ዺገ ሰነስ ሰበተ ሙዺሳቲፊ ኮጴ ፋነሳት ፋሌ።
0b02060072	ኦጉማኬቲን እሰ አደብ መሌ አከ እን አሪሳቲን ነጋን አዋለሙ ህንጎዽን።
0b02070113	“ገሩ ሰበቢ እሳን ዬሮ አን ኦቦሌሰኬ አቤሳሎም ዱራ በቀዼት ነ ገርጋረኒፍ እልማን በርዝላዪ ነምቸ ጎሰ ግልኣድ ሰናቲፍ አርጆም፤ እሳንስ ወረ ማዲኬራ ኛተን ግዱ ሃጅራተን።
0b02080179	“ሽሜኢን እልም ጌራ ነምች ጎሰ ቤንያም ከን ብየ በሁሪም እን ጋፈ አን መሀነዪም ዸቄት አከ መሌ ነ አባሬ ሱን ኩኖ ስ ወጅን ጅረ። አን ገሩ ዬሮ እን ነ ስመቹፍ ዮርዳኖስ ዹፌት፣ ‘አን ጎራዴዻን ስ ህንአጄሱ’ ጄዼ መቃ ዋቀዮቲን ነንከከዼፍ።
