0100000008	Ebandeli
070d15006e	Tango Anjelu na Yawe alimwaki na miso ya Manoa mpe ya mwasi na ye, Manoa asosolaki ete ezalaki Anjelu ya Yawe.
070d16004f	Manoa alobaki na mwasi na ye: — Solo, tokufi na biso, pamba te tomoni Nzambe!
070d1700e5	Kasi mwasi na ye azongisaki: — Soki Yawe asepelaki koboma biso, akokaki kondima te mbeka ya kotumba mpe mbeka ya gato oyo esalemi na maboko na biso to kolakisa biso makambo oyo nyonso to mpe koyebisa biso sik’oyo makambo oyo.
070d18006c	Mwasi ya Manoa abotaki mwana mobali mpe apesaki ye kombo «Samison.» Mwana akolaki, mpe Yawe apambolaki ye.
070d190066	Molimo na Yawe abandaki kosalela ye tango azalaki na Maane Dani, na kati-kati ya Tsorea mpe Eshitaoli.
070e010058	Mokolo moko, Samison akendeki na Timina mpe amonaki kuna elenge mwasi moko ya Filisitia.
070e02008d	Tango azongaki, alobaki na tata mpe mama na ye: — Namoni mwasi moko kati na basi ya bato ya Filisitia, na Timina; bokende kobalela ngai ye.
070e030129	Tata mpe mama na ye bazongisaki: — Boni, kati na bandeko na yo to kati na bato na biso nyonso, ezali te na bana basi ya kitoko mpo ete okende kozwa mwasi kati na bato ya Filisitia oyo bakatama ngenga te? Kasi Samison alobaki na tata na ye: — Balela ngai ye, pamba te ye nde abongi mpo na ngai.
070e0400f6	Baboti na ye bayebaki te ete likambo wana ewutaki epai na Yawe, pamba te Yawe azalaki koluka nzela mpo na kokotisa mobulu kati na bana ya Isalaele mpe bato ya Filisitia. Pamba te na tango wana, bato ya Filisitia bazalaki kokonza bana ya Isalaele.
070e0500ae	Samison akendeki na Timina elongo na tata mpe mama na ye. Tango bakomaki pembeni ya bilanga ya vino ya Timina, mbala moko, mwana nkosi moko eyaki konguluma liboso ya Samison.
070e0600dc	Molimo na Yawe akitelaki Samison na nguya. Boye, Samison apasolaki nkosi na kati-kati, na maboko pamba, ndenge bapasolaka mwana ntaba. Kasi kati na makambo oyo asalaki, ayebisaki eloko moko te epai ya tata to mama na ye.
070e070054	Sima na yango, Samison akendeki na Timina, asololaki na mwana mwasi mpe alingaki ye.
070e0800c5	Sima na mwa mikolo, tango azongaki na Timina mpo na kobala mwasi na ye, alekaki pembeni mpo na kotala nzoto ya nkosi oyo ekufaki. Kati na nzoto yango, amonaki liboke ya banzoyi mpe mafuta na yango.
070e09010a	Akamataki yango na maboko na ye mpe aliaki yango nzela-nzela. Tango akutanaki na baboti na ye, apesaki bango ndambo ya mafuta ya nzoyi. Bongo bango mpe baliaki yango; kasi atikalaki koyebisa bango te ete azwaki mafuta yango ya nzoyi kati na nzoto ya nkosi oyo ekufa.
070e0a008d	Tata na ye akendeki kotala elenge mwasi yango, mpe Samison asalisaki kuna feti moko ya monene, kolanda ndenge ezalaki momesano mpo na libala.
070e0b0046	Tango abimaki, bapesaki bato tuku misato mpo ete bavanda na ye elongo.
070e0c00bc	Samison alobaki na bango: — Nalingi koyebisa bino lisese moko. Soki bopesi ngai eyano, na mikolo sambo ya feti, nakopesa bino bilamba tuku misato ya lino mpe bilamba tuku misato ya feti.
070e0d00aa	Soki bokoki te kopesa ngai eyano, bokopesa ngai bilamba tuku misato ya lino mpe bilamba tuku misato ya feti. Balobaki: — Yebisa biso lisese na yo, tolingi koyoka yango!
070e0e00aa	Samison alobaki na bango: — Kati na oyo eliaka, ebimi oyo baliaka; kati na oyo ezali makasi, ebimi oyo ezali elengi. Mikolo misato mobimba, bakokaki te kopesa ye eyano.
070e0f0104	Bongo na mokolo ya minei, balobaki na mwasi ya Samison: — Bondela mobali na yo mpo ete apesa biso ndimbola ya lisese; sima na yango, yaka koyebisa biso ndimbola yango. Soki te, tokotumba yo elongo na ndako ya tata na yo. Obengisi biso awa mpo na koyiba biso?
070e10013f	Bongo mwasi ya Samison akomaki kolela liboso ya mobali mpe alobaki na ye: — Oyina ngai! Solo, olingaka ngai te! Oyebisaki bato na ngai lisese, kasi oyebisaki ngai ndimbola na yango te! Samison azongisaki: — Natikala kutu kolimbola yango epai ya tata to mama na ngai te, bongo ndenge nini nalimbola yango epai na yo?
070e1100fb	Na mikolo nyonso sambo ya feti, azalaki kaka kolela. Suka na suka, na mokolo ya sambo, Samison alimbolelaki ye yango, pamba te mwasi na ye atungisaki ye mingi. Bongo mwasi ya Samison, ye mpe akendeki kopesa ndimbola ya lisese yango epai ya bato na ye.
070e120125	Na mokolo ya sambo, liboso ete moyi elala, bato ya engumba bayaki koloba na Samison: — Eloko nini ezali elengi koleka mafuta ya nzoyi? Mpe eloko nini eleki nkosi na makasi? Samison alobaki na bango: — Soki bosalaki likita te na mwasi na ngai, bokokaki koyeba te ndimbola ya lisese na ngai.
070e1300f1	Bongo Molimo na Yawe akitelaki Samison na nguya. Akendeki na Ashikeloni mpe abomaki bato tuku misato, azwaki bilamba na bango mpe apesaki yango epai ya bato oyo bapesaki ye ndimbola ya lisese. Azongaki na ndako ya tata na ye na kanda makasi.
070e140061	Mpe babalisaki mwasi ya Samison epai ya moko kati na baninga ya Samison, oyo babengisaki na feti.
070f0100e0	Sima na mwa mikolo, na eleko oyo bakataka ble, Samison azwaki mwana ntaba mpe akendeki kotala mwasi na ye. Alobaki: — Nalingi kokota na shambre epai wapi mwasi na ngai alalaka. Kasi tata ya mwasi na ye apesaki ye nzela te.
070f0200cf	Alobaki na Samison: — Nakanisaki penza ete olingaka ye te, yango wana nabalisaki ye epai ya moko kati na baninga na yo, oyo obengisaki na feti. Tala leki na ye ya mwasi, aleki ye na kitoko te? Zwa ye kaka.
070f03008b	Samison alobaki na bango: — Ya mbala oyo, nakozala ata na ngambo moko te liboso ya bato ya mokili ya Filisitia; nakeyi kosala bango mabe.
070f0400a9	Samison abimaki mpe akangaki bambwa ya zamba nkama misato, akangisaki yango mibale-mibale na mikila mpe atiaki koni na kati-kati ya mikila mibale-mibale ya bambwa yango.
070f0500e2	Apelisaki koni yango mpe atikaki bambwa ya zamba kati na bilanga ya ble ya bato ya Filisitia, oyo esili kokomela. Atumbaki maboke ya ble oyo batiaki na mipiku mpe ble oyo babukaki nanu te, banzete ya vino mpe banzete ya olive.
070f060132	Bato ya Filisitia batunaki: — Nani asali boye? Bazongiselaki bango: — Ezali Samison, bokilo ya moto moko ya Timina; pamba te abalisaki mwasi ya Samison epai ya moko kati na baninga oyo Samison abengisaki na feti. Bato ya Filisitia bakendeki mpe batumbaki mwasi yango elongo na tata na ye kino bakufaki.
070f070063	Samison alobaki na bango: «Lokola bosali boye, nakotika te kino nakozongisela bino mabe na mabe.»
070f08007a	Samison abundisaki bango mpe abomaki ebele kati na bango. Bongo akendeki mpe avandaki kati na lidusu ya mabanga, na Etami.
070f090070	Bato ya Filisitia bayaki mpe batongaki molako na bango kati na etuka ya Yuda, bapanzanaki kino na etuka ya Leyi.
070f0a00af	Bato ya Yuda batunaki: — Mpo na nini boyei kobundisa biso? Bato ya Filisitia bazongiselaki bango: — Toyei kokanga Samison na basinga mpo ete tosala ye ndenge asalaki biso.
070f0b00f7	Bato nkoto misato ya Yuda bakendeki na lidusu ya mabanga ya Etami, mpe balobaki na Samison: — Oyebi te ete bato ya Filisitia bazali kokonza biso? Likambo nini osali biso? Samison azongisaki: — Nazongiseli bango makambo oyo bango basalaki ngai.
070f0c00d0	Bato ya Yuda balobaki na Samison: — Toyei mpo na kokanga yo na basinga mpe kokaba yo na maboko ya bato ya Filisitia. Samison alobaki na bango: — Bolapa ndayi liboso na ngai ete bokoboma ngai te bino moko.
070f0d00cc	Bato ya Yuda bazongisaki: — Iyo! Tokoboma yo te. Tolingi kaka kokanga yo na basinga mpe kokaba yo na maboko na bango. Bongo bakangaki ye na basinga mibale ya sika mpe babimisaki ye na lidusu ya mabanga.
070f0e00ff	Tango bakomaki pembeni ya etuka ya Leyi, bato ya Filisitia bayaki kokutana na ye na koganga. Molimo na Yawe akitelaki ye na nguya, mpe basinga oyo ekangaki maboko na ye ekatanaki lokola basinga ya lino oyo eziki na moto, mpe ekweyaki wuta na maboko na ye.
070f0f0088	Samison amonaki mokuwa ya mobesu ya mbanga ya ane, asembolaki loboko na ye, alokotaki mokuwa yango mpe abomaki na yango bato nkoto moko.
070f10009a	Samison alobaki: «Na mokuwa ya mobesu ya mbanga ya ane, nakangisi bango mipiku na mipiku; na mokuwa ya mobesu ya mbanga ya ane, nabomi bato nkoto moko.»
070f110063	Tango asilisaki koloba, abwakaki mokuwa yango mosika mpe apesaki esika yango kombo «Ramati-Leyi.»
070f1200be	Lokola azalaki na posa makasi ya mayi, asambelaki Yawe: «Opesi mosali na Yo elonga oyo monene; boni, nakufa sik’oyo na posa ya mayi mpe nakweya na maboko ya bato oyo bakatama ngenga te?»
070f1300cd	Bongo Nzambe afungolaki libanga oyo ezalaki kati na Leyi, mpe libanga yango ebimisaki mayi. Tango Samison amelaki mayi, makasi na ye ezongaki mpe azwaki lisusu bomoi. Boye abengaki etima yango Eyini-Akore.
070f14005b	Samison akambaki Isalaele mibu tuku mibale, wana bato ya Filisitia bazalaki kokonza mokili.
0710010069	Mokolo moko, Samison akendeki na Gaza epai wapi amonaki mwasi moko ya ndumba, mpe asangisaki na ye nzoto.
071002010b	Tango bato ya Gaza bayokaki sango ete Samison azali kati na engumba na bango, bazingelaki esika oyo Samison alalaki mpe basenzelaki butu mobimba, mpo na kozela ye na ekuke ya engumba. Na butu yango, baninganaki te mpe balobaki: «Tokoboma ye na tongo tango akobima.»
071003017b	Kasi Samison alalaki wana kaka kino na kati-kati ya butu; bongo na ngonga ya zomi na mibale ya butu, alamukaki. Tango akomaki na ekuke ya engumba, asimbaki bizipelo na yango elongo na makonzi na yango mibale. Apikolaki yango elongo na libaya ya kokangela, atombolaki mpe atiaki yango na mapeka na ye, bongo amemaki yango kino na songe ya ngomba moke oyo etalana na engumba Ebron.
0710040074	Sima na yango, Samison alingaki mwasi moko oyo azalaki kovanda na lubwaku ya Soreki; kombo na ye ezalaki «Dalila.»
0710050142	Bakambi ya Filisitia bakendeki epai ya Dalila mpe balobaki na ye: «Solola na ye na maloba ya sukali mpo ete alakisa yo sekele ya makasi na ye mpe ndenge nini tokoki kolonga ye, mpo ete tokanga ye basinga mpe tosilisa ye makasi. Moko na moko kati na biso akopesa yo mbongo ya bibende ya palata, nkoto moko na nkama moko.»
0710060082	Dalila ayebisaki Samison: — Yebisa ngai sekele ya makasi na yo mpe ndenge nini bakoki kokanga yo basinga mpe kosilisa yo makasi.
071007008d	Samison azongiselaki ye: — Soki bakangi ngai na basinga sambo ya mobesu, oyo nanu bakawusi te, nakokoma moto na bolembu lokola moto nyonso.
0710080086	Boye, bakambi ya Filisitia bamemelaki Dalila basinga sambo ya mobesu, oyo nanu bakawusi te, mpe Dalila alingaki Samison basinga yango.
0710090120	Lokola bato oyo batindamaki mpo na kokanga ye bazalaki ya kobombama kati na ndako, Dalila abelelaki: «Samison, bato ya Filisitia bayei kobundisa yo!» Samison akataki na pete penza basinga yango ndenge basinga ya lino ekatanaka soki ezwi moto. Boye, basosolaki te sekele ya makasi na ye.
07100a0083	Dalila alobaki na Samison: — Osakani na ngai mpe okosi ngai! Sik’oyo, yebisa ngai eloko nini bakoki kosalela mpo na kokanga yo?
07100b007c	Samison alobaki: — Soki bakangi ngai na basinga ya sika oyo nanu basaleli te, nakokoma moto na bolembu lokola moto nyonso.
07100c0121	Dalila azwaki basinga ya sika mpe akangaki na yango Samison. Bongo abelelaki: «Samison, bato ya Filisitia bayei kobundisa yo!» Atako bato oyo batindamaki mpo na kokanga ye bazalaki lisusu ya kobombama kati na ndako, Samison akataki kaka lokola singa moko pamba, basinga oyo bakangaki ye.
07100d01c5	Boye Dalila alobaki na Samison: — Kino sik’oyo, ozali kaka kosakana na ngai mpe kokosa ngai! Yebisa ngai ndenge nini bakoki kokanga yo basinga. Samison azongisaki: — Soki okangi suki sambo ya moto na ngai na singa oyo batongelaka bilamba, mpe soki okangisi yango na likonzi, nakokoma moto na bolembu lokola moto nyonso. Boye tango Samison azalaki nanu kolala, Dalila azwaki suki sambo ya moto na ye, akangaki yango na singa oyo batongelaka bilamba
07100e00d4	mpe akangisaki yango na likonzi. Dalila abelelaki lisusu Samison: «Samison, bato ya Filisitia bayei kobundisa yo!» Samison alamukaki na pongi na ye mpe apikolaki likonzi elongo na singa oyo batongelaka bilamba.
07100f00d6	Dalila alobaki na ye: «Ndenge nini okoki koloba ete olingaka ngai tango motema na yo ezali elongo na ngai te! Oyo ezali mbala na yo ya misato ya kosakana na ngai, pamba te oyebisi ngai te sekele ya makasi na yo.»
0710100096	Lokola, mokolo na mokolo, Dalila azalaki kotungisa Samison na maloba na ye mpe kozangisa ye kimia, Samison amonaki ete motungisi yango eleki ye ndelo.
07101100ef	Boye, ayebisaki Dalila makambo nyonso. Alobaki: «Suki na ngai ekatamaka te, pamba te Nzambe abulisa ngai wuta na libumu ya mama na ngai. Soki kaka bakati ngai suki, makasi na ngai ekosila mpe nakokoma moto na bolembu lokola moto nyonso.»
07101200f6	Tango Dalila amonaki ete Samison ayebisi ye makambo nyonso, atindaki sango epai ya bakambi ya Filisitia. Alobaki: «Boya lisusu, ayebisi ngai makambo nyonso.» Bakambi ya Filisitia bazongaki epai ya Dalila na mbongo ya bibende na maboko na bango.
071013009d	Dalila alalisaki Samison na mipende na ye, abengaki mobali moko mpo na kokata ye suki sambo ya moto na ye. Samison akomaki kolemba, mpe makasi na ye esilaki.
07101400f1	Dalila abelelaki Samison: «Samison, bato ya Filisitia bayei kobundisa yo!» Samison alamukaki na pongi na ye mpe amilobelaki: «Nakosala ndenge kaka nasalaka liboso mpe nakokangolama na ngai.» Kasi ayebaki te ete Yawe alongwaki kati na ye.
07101500bc	Bato ya Filisitia bakangaki ye, batobolaki ye miso, bamemaki ye na Gaza mpe bakangaki ye minyololo ya bibende ya bronze. Akomaki konika bambuma ya ble na enikelo ya libanga kati na boloko.
071016004b	Kasi suki ya moto na ye ekomaki lisusu kokola wuta tango bakataki ye yango.
07101700be	Bakambi ya Filisitia basanganaki mpo na kobonza mbeka monene epai ya nzambe na bango, Dagoni, mpe kosala feti. Balobaki: «Nzambe na biso akabi monguna na biso, Samison, na maboko na biso.»
07101800c7	Tango bato bamonaki Samison, bakumisaki nzambe na bango, balobaki: «Nzambe na biso akabi na maboko na biso, monguna na biso, oyo azalaki kobebisa mokili na biso mpe koboma bato ebele kati na biso.»
07101900df	Wana bazalaki kosepela, bagangaki: «Bomemela biso Samison mpo ete asepelisa biso!» Babimisaki Samison na boloko mpe akomaki kosala masano liboso na bango. Tango batelemisaki ye na kati-kati ya makonzi ya tempelo na bango,
07101a0090	Samison alobaki na mosali oyo asimbaki loboko na ye: «Tia ngai na esika oyo nakoki kosimba makonzi oyo esimbi tempelo mpo ete nalalela yango.»
07101b00d4	Nzokande, tempelo ezalaki ya kotonda na mibali, basi mpe bakambi nyonso ya Filisitia. Na likolo ya ndako, ezalaki na bato pene nkoto misato, mibali mpe basi, oyo bazalaki kotala masano oyo Samison azalaki kosala.
07101c0109	Samison abondelaki Yawe: «Nkolo Yawe, Yo oyo osalaka nyonso oyo olingi, kanisa ngai! Nabondeli Yo, Nzambe: Pesa ngai makasi mbala oyo lisusu, mpe pesa ngai nzela ete, na mbala moko, nazongisa mabe na mabe epai ya bato oyo ya Filisitia mpo na miso na ngai mibale.»
07101d00aa	Samison asimbaki makonzi nyonso mibale ya kati-kati, oyo esimbaki tempelo, mpe ayekamelaki yango, loboko ya mobali na likonzi moko, mpe loboko ya mwasi na likonzi mosusu.
07101e0105	Bongo Samison alobaki: «Tika ete nakufa elongo na bato ya Filisitia!» Bongo atindikaki na makasi na ye nyonso, mpe tempelo ekweyelaki bakambi mpe bato nyonso oyo bazalaki kuna. Boye, kati na kufa na ye, abomaki bato ebele koleka na tango oyo azalaki na bomoi.
07101f00e6	Bandeko na ye mpe libota nyonso ya tata na ye bayaki kozwa ebembe na ye. Bazongaki na yango mpe bakundaki ye kati na kunda ya tata na ye, Manoa, na kati ya bingumba Tsorea mpe Eshitaoli. Samison akambaki Isalaele mibu tuku mibale.
071101005c	Kati na etuka ya bangomba ya Efrayimi, ezalaki na mobali moko; kombo na ye ezalaki «Mika.»
0711020104	Alobaki na mama na ye: — Shekeli ya palata nkoto moko na nkama moko oyo bayibaki yo, oyo na tina na yango olakelaki mabe na miso na ngai, ezali na maboko na ngai; ngai nde nazwaki yango. Mama na ye alobaki na ye: — Mwana na ngai, tika ete Yawe apambola yo!
0711030111	Azongiselaki mama na ye mbongo ya bibende ya palata, nkoto moko na nkama moko. Mama na ye alobaki: — Na maboko na ngai moko, nabonzi mbongo yango epai na Yawe mpo na mwana na ngai, mpo na kosala ekeko mpe nzambe ya ekeko ya palata oyo banyangwisa. Nakozongisela yo yango.
071104013a	Tango Mika azwaki mbongo yango, azongisaki yango lisusu epai ya mama na ye; mpe mama na ye alongolaki mbongo ya bibende ya palata, nkama mibale oyo apesaki epai ya monyangwisi bibende na moto. Moto yango asalaki na yango ekeko mpe nzambe ya ekeko ya palata oyo banyangwisa. Mpe batiaki yango kati na ndako ya Mika.
07110500c8	Nzokande, Mika azalaki na esika na ye ya bule epai wapi azalaki kosambela. Asalisaki efode mpe banzambe mosusu ya bikeko; bongo abulisaki lokola nganga-nzambe na ye, moko kati na bana na ye ya mibali.
071106007b	Na mikolo wana, bana ya Isalaele bazalaki na mokonzi te; moto na moto azalaki kosala nyonso oyo ezali malamu na miso na ye.
0711070067	Nzokande, ezalaki na elenge mobali moko ya Molevi, azalaki kovanda na Beteleemi ya Yuda, na ekolo Yuda.
07110800a1	Alongwaki na engumba Beteleemi ya Yuda mpe akendeki koluka esika mosusu ya kovanda. Na mobembo na ye, akomaki na etuka ya bangomba ya Efrayimi, na ndako ya Mika.
071109008f	Mika atunaki ye: — Owuti wapi? Azongisaki: — Nazali moto ya libota ya Levi, nawuti na Beteleemi ya Yuda mpe nazali koluka esika ya kovanda.
07110a00d5	Mika alobaki na ye: — Vanda elongo na ngai. Okozala tata mpe nganga na ngai; nakopesa yo na mobu moko mbongo ya bibende ya palata, zomi, bilamba ya kolata mpe biloko ya kolia. Molevi akomaki kosala epai ya Mika.
07110b0069	Boye, Molevi yango andimaki kovanda elongo na Mika. Mika akomisaki Molevi lokola moko kati na bana na ye.
07110c0058	Mika abulisaki Molevi yango lokola nganga-nzambe na ye mpe akomaki kovanda elongo na ye.
07110d007c	Mika alobaki: «Sik’oyo nayebi ete Yawe akosalela ngai bolamu lokola moto ya libota ya Levi akomi nganga-nzambe na ngai.»
07120100d5	Na mikolo wana, bana ya Isalaele bazalaki na mokonzi te, mpe bato ya libota ya Dani bazalaki koluka esika ya kovanda; pamba te kino na tango wana, bazwaki nanu ya bango libula te kati na mabota nyonso ya Isalaele.
071202014c	Boye, bana ya libota ya Dani batindaki mibali mitano ya libota na bango, kowuta na Tsorea mpe na Eshitaoli, mpo na kokende kononga mpe koyeba mokili yango. Balobaki na bango: «Bokende koyeba mokili yango ndenge ezali.» Mibali mitano yango bakotaki na etuka ya bangomba ya Efrayimi kino na ndako ya Mika, epai wapi balekisaki butu.
07120300d2	Tango bakomaki pembeni ya ndako ya Mika, bayokaki mongongo ya elenge mobali Molevi. Babalukaki epai ye azalaki mpe balobaki na ye: — Nani amemaki yo awa? Ozali kosala nini na esika oyo? Mpo na nini ozali awa?
0712040085	Elenge mobali ayebisaki bango: — Tala makambo oyo Mika asali mpo na ngai: Azwi ngai na mosala mpe akomisi ngai nganga-nzambe na ye.
0712050062	Balobaki na ye: — Tunela biso epai ya Nzambe mpo ete toyeba soki mobembo na biso ekozala malamu.
0712060054	Nganga-nzambe azongiselaki bango: — Bokende na kimia, Yawe andimi mobembo na bino.
0712070137	Mibali mitano yango bakendeki mpe bakomaki na Laishi. Bamonaki ete, kuna, bazali na kimia mpe na kozanga nungunungu lokola bato ya Sidoni, oyo bazalaki na kimia mpe na kozanga bobangi. Mokonzi moko te ya mboka azalaki konyokola bango. Bazalaki mosika na bato ya Sidoni mpe basalaki boyokani ata na moto moko te.
