0100000009	1 Mosebok
0414070020	Og Herren talte til Moses og sa:
04140800f2	Ta staven og kall menigheten sammen, du og Aron, din bror, og I skal tale til klippen midt for deres øine, så skal den gi vann fra sig; således skal du la vann strømme ut av klippen for dem og gi både menigheten og dens buskap å drikke.
0414090056	Da tok Moses staven som lå foran Herrens åsyn, således som Herren hadde befalt ham.
04140a0099	Og Moses og Aron kalte menigheten sammen foran klippen, og han sa til dem: Nu, I gjenstridige! Mon vi kan la vann strømme frem for eder av denne klippe?
04140b0097	Så løftet Moses sin hånd og slo med sin stav to ganger på klippen; da strømmet der meget vann ut, så både menigheten og dens buskap fikk drikke.
04140c00af	Men Herren sa til Moses og Aron: Fordi I ikke trodde på mig og ikke helliget mig for Israels barns øine, derfor skal I ikke føre dette folk inn i det land jeg har gitt dem.
04140d005a	Dette var Meribas vann, hvor Israels barn kivedes med Herren, og han helliget sig på dem.
04140e0073	Fra Kades sendte Moses bud til Edoms konge og lot si: Så sier din bror Israel: Du vet hvor meget ondt vi har lidt.
04140f0072	Våre fedre drog ned til Egypten, og vi bodde i Egypten i lang tid, og egypterne fór ille med oss og våre fedre.
041410009c	Da ropte vi til Herren, og han hørte vår bønn og sendte en engel og førte oss ut av Egypten. Og nu er vi her i byen Kades like ved grensen av ditt land.
04141100fc	Kjære, la oss få dra gjennem ditt land! Vi skal hverken gå gjennem åker eller vingård, heller ikke drikke vann av nogen brønn; efter kongeveien vil vi dra og ikke bøie av hverken til høire eller til venstre, før vi er kommet gjennem ditt land.
0414120059	Men Edom svarte: Du må ikke dra gjennem mitt land, ellers drar jeg ut mot dig med sverd.
04141300d5	Da sa Israels barn til ham: Vi skal følge landeveien, og dersom vi eller vår buskap drikker av ditt vann, så vil jeg gi dig vederlag for det. Det er ikke stort jeg ber om; jeg vil bare dra igjennem på min fot.
041414006a	Men han sa: Du må ikke dra igjennem her. Og Edom drog ut mot ham med en mengde folk og med væbnet hånd.
0414150058	Således nektet Edom Israel å dra gjennem sitt land; og Israel bøide til side for ham.
0414160051	Så brøt de op fra Kades, og Israels barn, hele menigheten, kom til fjellet Hor.
041417004a	Og Herren sa til Moses og Aron ved fjellet Hor, på grensen av Edoms land:
0414180096	Aron skal samles til sine fedre; han skal ikke komme inn i det land jeg har gitt Israels barn, fordi I var gjenstridige mot mitt ord ved Meribas vann.
041419003f	Ta Aron og Eleasar, hans sønn, og før dem op på fjellet Hor,
04141a006f	og ta av Aron hans klær og la Eleasar, hans sønn, ta dem på; så skal Aron samles til sine fedre og dø der.
04141b005f	Og Moses gjorde som Herren hadde befalt. De gikk op på fjellet Hor for hele menighetens øine,
04141c009b	og Moses tok av Aron hans klær og lot Eleasar, hans sønn, ta dem på, og Aron døde der på toppen av fjellet; men Moses og Eleasar steg ned fra fjellet.
04141d005c	Og da hele menigheten så at Aron var død, gråt hele Israels hus over Aron i tretti dager.
04150100b2	Da den kana'anittiske konge i Arad, som bodde i sydlandet, hørte at Israel drog frem på veien til Atarim, gav han sig i strid med Israel og førte nogen av dem bort som fanger.
0415020071	Da gjorde Israel et løfte til Herren og sa: Gir du dette folk i min hånd, så vil jeg slå deres byer med bann.
0415030080	Og Herren hørte Israels bønn og overgav kana'anittene til dem, og de slo dem og deres byer med bann; og de kalte stedet Horma.
0415040083	Så brøt de op fra fjellet Hor og tok veien til det Røde Hav for å dra omkring Edoms land; men på veien blev folket utålmodig,
04150500bd	og de talte mot Gud og mot Moses og sa: Hvorfor har I ført oss op fra Egypten, så vi må dø her i ørkenen? For her er hverken brød eller vann, og vi er inderlig leie av denne usle mat.
0415060067	Da sendte Herren seraf-slanger inn iblandt folket, og de bet folket; og der døde meget folk av Israel.
041507009f	Så kom folket til Moses og sa: Vi har syndet, fordi vi har talt mot Herren og mot dig; bed til Herren at han vil ta slangene fra oss! Og Moses bad for folket.
0415080083	Da sa Herren til Moses: Gjør dig en seraf-slange og sett den på en stang, så skal hver den som er bitt og ser på den, få leve.
041509008e	Så gjorde Moses en kobberslange og satte den på en stang; og når en slange hadde bitt nogen, og han så på kobberslangen, blev han i live.
04150a0031	Siden brøt Israels barn op og leiret sig i Obot.
04150b0059	Så brøt de op fra Obot og leiret sig ved Ije-Ha'abarim i ørkenen rett i øst for Moab.
04150c002f	Derfra brøt de op og leiret sig i Sered-dalen.
04150d009e	Derfra brøt de op og leiret sig på hin side Arnon, som går gjennem ørkenen og kommer fra amorittenes land; for Arnon er grensen mellem Moab og amorittene.
04150e005c	Derfor sies det i boken om Herrens kriger: Vaheb tok de med storm og bekkene, Arnons bekker,
04150f004d	og bekkelien som strekker sig bort til Ar-bygden og støter til Moabs grense.
0415100085	Derfra brøt de op til Be'er; det er den brønn som Herren talte om da han sa til Moses: Kall folket sammen, så vil jeg gi dem vann.
0415110041	Da sang Israel denne sang: Vell op, du brønn! Hils den med sang!
041512008b	Du brønn som høvdinger har gravd, som folkets ypperste har boret med herskerstav, med sine kongespir! Fra ørkenen brøt de op til Matana
0415130034	og fra Matana til Nahaliel og fra Nahaliel til Bamot
041514006f	og fra Bamot til den dal som ligger i Moab-marken, tett ved toppen av Pisga, og hvor en skuer ut over ørkenen.
041515003e	Så sendte Israel bud til Sihon, amorittenes konge, og lot si:
04151600c2	La mig få dra gjennem ditt land! Vi skal ikke komme inn på akrene eller i vingårdene, heller ikke drikke vann av nogen brønn; efter kongeveien vil vi dra, til vi er kommet gjennem ditt land.
04151700a0	Men Sihon gav ikke Israel lov til å dra gjennem sitt land. Han samlet alt sitt folk og drog ut i ørkenen mot Israel, og han kom til Jahas og stred mot Israel.
0415180087	Men Israel slo ham med sverdets egg og tok hans land fra Arnon til Jabbok, til Ammons barns land; for Ammons barns grense var befestet.
0415190079	Og Israel tok alle disse byer; og Israel bosatte sig i alle amorittenes byer, i Hesbon og alle byer som hørte under det.
04151a008a	For Hesbon var Sihons, amoritter-kongens, stad; han hadde ført krig mot Moabs forrige konge og tatt alt hans land fra ham like til Arnon.
04151b004c	Derfor sier skalden: Kom til Hesbon! Bygges og grunnfestes skal Sihons stad;
04151c0072	for ild fór ut fra Hesbon, en lue fra Sihons stad; den fortærte Ar i Moab, dem som bodde på høidene ved Arnon.
04151d008b	Ve dig, Moab! Fortapt er du, Kamos' folk! Han har sendt sine sønner som flyktninger og sine døtre som fanger til amorittenes konge Sihon.
04151e0066	Og vi skjøt dem ned; ødelagt er Hesbon, like til Dibon! vi herjet til Nofah, med ild helt til Medba.
04151f002a	Så blev Israel boende i amorittenes land.
041520007c	Og Moses sendte folk for å utspeide Jaser, og de tok de byer som hørte under det; og han drev ut amorittene som bodde der.
0415210099	Så vendte de sig til en annen kant og drog opover til Basan; men Og, kongen i Basan, drog ut mot dem til Edre'i med alt sitt folk for å stride mot dem.
04152200c5	Da sa Herren til Moses: Frykt ikke for ham! For jeg har gitt ham og alt hans folk og hans land i din hånd, og du skal gjøre med ham som du gjorde med Sihon, amorittenes konge, som bodde i Hesbon.
0415230074	Så slo de ham og hans sønner og alt hans folk, så ingen blev tilbake eller slapp unda; og de tok hans land i eie.
0416010062	Så brøt Israels barn op og leiret sig på Moabs ødemarker på hin side Jordan midt imot Jeriko.
0416020047	Da Balak, Sippors sønn, så alt det Israel hadde gjort mot amorittene,
041603005e	da blev Moab meget redd for folket, fordi det var så tallrikt, og de grudde for Israels barn.
04160400cb	Og Moab sa til de eldste i Midian: Nu vil denne store flokk ete op alt det som er her rundt omkring oss, likesom oksen eter op markens grønne urter. - På den tid var Balak, Sippors sønn, konge i Moab.
0416050103	Han sendte bud til Bileam, Beors sønn, i Petor, som ligger ved den store elv, til det land hvor han bodde blandt sitt folk, for å be ham komme og si til ham: Se, her er kommet et folk fra Egypten; det fyller hele landet, og det har leiret sig midt imot mig.
04160600cf	Så kom nu og forbann dette folk for mig, for det er mig for mektig! Kanskje jeg da kunde slå det og drive det ut av landet; for jeg vet at den du velsigner, er velsignet, og den du forbanner, er forbannet.
041607008b	Og Moabs eldste drog avsted sammen med Midians eldste og hadde spåmannslønn med sig; og de kom til Bileam og bar frem Balaks ord til ham.
041608007f	Da sa han til dem: Bli her inatt, så vil jeg gi eder svar efter som Herren taler til mig. Og Moabs høvdinger blev hos Bileam.
0416090041	Da kom Gud til Bileam og sa: Hvad er det for folk som er hos dig?
04160a0054	Bileam svarte Gud: Balak, Sippors sønn, kongen i Moab, har sendt dette bud til mig:
04160b009f	Se, her er kommet et folk fra Egypten som fyller hele landet; kom nu og forbann det for mig! Kanskje jeg da blir i stand til å stride mot det og drive det ut.
04160c0063	Da sa Gud til Bileam: Du skal ikke gå med dem; du skal ikke forbanne folket, for det er velsignet.
04160d0093	Om morgenen, da Bileam var stått op, sa han til Balaks høvdinger: Dra hjem til eders land! For Herren vil ikke gi mig lov til å følge med eder.
04160e0068	Da tok Moabs høvdinger avsted, og da de kom tilbake til Balak, sa de: Bileam vilde ikke følge med oss.
04160f0043	Da sendte Balak andre høvdinger, flere og gjævere enn de første.
0416100073	Og de kom til Bileam og sa til ham: Så sier Balak, Sippors sønn: Kjære, la dig ikke hindre fra å komme til mig!
0416110071	Jeg vil vise dig stor ære, og alt det du sier til mig, vil jeg gjøre; så kom da og forbann dette folk for mig!
04161200af	Da svarte Bileam og sa til Balaks tjenere: Om Balak gav mig hele sitt hus fullt av sølv og gull, kunde jeg ikke overtrede Herrens, min Guds ord, hverken i smått eller stort.
0416130054	Men bli nu også I her inatt, forat jeg kan få vite hvad mere Herren har å si mig.
04161400b1	Og Gud kom til Bileam om natten og sa til ham: Dersom disse menn er kommet for å hente dig, så gjør dig ferdig og dra med dem! Men gjør ikke annet enn hvad jeg sier til dig!
041615004e	Om morgenen stod Bileam op og salte sin aseninne og drog med Moabs høvdinger.
04161600ab	Men Guds vrede optendtes fordi han reiste, og Herrens engel stilte sig på veien for å stå ham imot da han kom ridende på sin aseninne og hadde sine to tjenere med sig.
04161700b7	Og aseninnen så Herrens engel, som stod på veien med et draget sverd i sin hånd; da tok den av veien og ut på marken; men Bileam slo aseninnen for å vike den inn på veien igjen.
041618006b	Siden stilte Herrens engel sig på en smal vei mellem vingårdene, hvor det var stengjerde på begge sider.
0416190076	Og da aseninnen så Herrens engel, trykte den sig inn til muren og klemte Bileams fot mot muren; da slo han den igjen.
04161a0093	Så gikk Herrens engel lenger frem og stilte sig på et trangt sted, hvor det ingen råd var til å bøie av, hverken til høire eller til venstre.
04161b007f	Og da aseninnen så Herrens engel, la den sig ned under Bileam; da optendtes Bileams vrede, og han slo aseninnen med sin kjepp.
04161c0076	Men Herren oplot aseninnens munn, og den sa til Bileam: Hvad har jeg gjort dig, siden du nu har slått mig tre ganger?
04161d0078	Bileam svarte aseninnen: Du har hatt mig til narr. Hadde jeg bare et sverd i min hånd, så vilde jeg nu slå dig ihjel.
04161e00b2	Da sa aseninnen til Bileam: Er ikke jeg din aseninne, som du har ridd på all din tid like til denne dag? Har jeg nogensinne hatt for vis å gjøre således mot dig? Han sa: Nei!
04161f009c	Og Herren oplot Bileams øine, så han så Herrens engel, som stod på veien med et draget sverd i sin hånd; da bøide han sig og falt ned på sitt ansikt.
04162000a9	Og Herrens engel sa til ham: Hvorfor har du nu tre ganger slått din aseninne? Se, jeg er gått ut for å stå dig imot; for jeg ser at denne vei fører til fordervelse.
04162100a0	Aseninnen så mig og har nu tre ganger bøid av veien for mig; hvis den ikke hadde bøid av veien for mig, så hadde jeg nu slått dig ihjel, men latt den leve.
041622009b	Da sa Bileam til Herrens engel: Jeg har syndet, fordi jeg ikke skjønte at du stod imot mig på veien; men hvis det er dig imot, så vil jeg vende tilbake.
0416230086	Herrens engel sa til Bileam: Følg med mennene! Men tal ikke annet enn hvad jeg sier til dig! Så fulgte Bileam med Balaks høvdinger.
0416240080	Da Balak hørte at Bileam kom, drog han ham i møte til den by i Moab som ligger på grensen ved Arnon, ved den ytterste grense.
0416250098	Og Balak sa til Bileam: Sendte jeg ikke bud til dig og bad dig komme hit? Hvorfor kom du ikke til mig? Mener du jeg ikke skulde kunne vise dig ære nok?
041626008c	Bileam svarte: Nu ser du jeg er kommet til dig; men står det vel i min makt å tale noget? Det ord Gud legger i min munn, det må jeg tale.
