2800000006	Matius
290e38005d	Banyak yang memberikan kesaksian palsu terhadap Yesus, tetapi pernyataan mereka tidak setuju.
290e390049	Beberapa dari mereka berdiri memberi kesaksian palsu untuk melawan Yesus.
290e3a00ab	“Kami mendengar Dia berkata, ‘Aku akan menghancurkan rumah Tuhan yang dibangun oleh tangan manusia ini, dan dalam tiga hari Aku akan membangun kembali yang baru.’”
290e3b0039	Tetapi meski begitu kesaksian mereka tidak ada yang sama.
290e3c00bc	Kemudian imam besar berdiri di depan majelis, dan bertanya kepada Yesus, “Apakah kamu tidak punya apa-apa untuk dikatakan sebagai tanggapan atas tuduhan yang dibuat terhadap kamu ini?”
290e3d007f	Tetapi Yesus tetap diam dan tidak menjawab. Jadi imam besar bertanya lagi, “Apakah kamu Mesias, Anak Allah Yang diberkati?”
290e3e0095	Dan jawab Yesus, “Aku, dan kamu akan melihat Anak Manusia duduk di sebelah kanan Yang Mahakuasa, dan akan datang dari surga di antara awan-awan.”
290e3f005f	Maka imam besar merobek pakaiannya dan berkata, “Buat apa kita mencari saksi-saksi lain lagi?
290e400080	Kalian telah mendengar penghujatan! Jadi bagaimana menurut kalian?” Mereka semua menganggapnya bersalah dan menghukumnya mati.
290e4100ee	Kemudian beberapa dari mereka mulai meludahi Dia. Mereka juga menutup mata-Nya, memukul-Nya dengan tinju, dan berkata, “Kalau kamu seorang nabi, coba tebak, siapa yang baru memukul kamu!” Para penjaga membawanya pergi dan memukulinya.
290e42006d	Sementara semua itu terjadi, Petrus ada di bawah, di halaman. Salah satu perempuan pembantu imam agung lewat,
290e43008d	dan melihat Petrus sedang menghangatkan tubuhnya dekat api, menatap lurus ke arahnya dan berkata, “Kamu juga bersama Yesus dari Nazaret!”
290e4400a6	Tetapi Petrus berkata, “Saya tidak tahu apa yang kamu bicarakan dan apa maksud kamu.” Kemudian dia pergi ke halaman depan, dan saat itu juga ayam jantan berkokok.
290e4500ab	Waktu pelayan perempuan itu melihat Petrus lagi, dia berkata kepada mereka yang berdiri di sekitar situ, “Orang ini adalah salah satu dari mereka yang mengikut Yesus!”
290e4600a3	Sekali lagi Petrus menyangkalnya. Beberapa saat kemudian mereka berkata kepada Petrus lagi, “Kamu pasti salah satu dari mereka karena kamu juga orang Galilea!”
290e470078	Lalu Petrus mulai berkata pada dirinya sendiri dan dia bersumpah, “Saya tidak tahu orang yang kalian bicarakan ini.”
290e48010b	Pada waktu ayam jantan berkokok untuk kedua kalinya. Lalu Petrus teringat apa yang Yesus katakan kepadanya: “Sebelum ayam berkokok dua kali, kamu akan menyangkal Aku tiga kali.” Ketika Petrus menyadari apa yang sudah dia lakukan, dia menangis dengan sangat sedih.
290f0100df	Keesokan paginya, imam kepala, pemimpin-pemimpin Yahudi, dan guru-guru agama — seluruh dewan pemerintahan — sampai pada sebuah keputusan. Lalu mereka mengikat Yesus dan membawa-Nya pergi untuk diserahkan kepada Pilatus.
290f020068	Pilatus bertanya kepada-Nya, “Apakah kamu raja orang Yahudi?” “Kamu mengatakannya,” jawab Yesus.
290f03003f	Para imam kepala terus melontarkan banyak tuduhan terhadap-Nya.
290f040093	Pilatus kembali bertanya kepada Yesus, “Tidakkah Engkau akan menjawab tuduhan itu? Dengar betapa banyak tuduhan yang mereka berikan kepada-Mu!”
290f05004a	Tetapi Yesus tidak memberikan jawaban lagi, sehingga Pilatus sangat heran.
290f06008e	Setiap tahun ada kebiasaan bahwa gubernur Pilatus selalu membebaskan seorang tahanan pada pesta Paskah, sesuai dengan permintaan banyak orang.
290f0700ad	Pada waktu itu, salah satu tawanannya adalah seorang laki-laki bernama Barabas yang termasuk dalam kelompok pemberontak yang sudah melakukan pembunuhan selama pemberontakan.
290f080078	Orang banyak datang kepada gubernur Pilatus dan memintanya untuk membebaskan seorang tahanan mengikuti kebiasaan mereka.
290f09006d	Lalu Pilatus menjawab mereka, “Apakah kalian mau supaya saya membebaskan raja orang Yahudi untuk kalian?”
290f0a0072	Karena Pilatus menyadari bahwa para imam kepala iri hati kepada Yesus sehingga mereka menyerahkan Yesus kepadanya.
290f0b0072	Tetapi para imam kepala menghasut orang banyak supaya Pilatus melepaskan Barabas untuk mereka sebagai ganti Yesus.
290f0c0084	Lalu Pilatus bertanya sekali lagi kepada mereka, “Apa yang harus saya lakukan dengan orang yang kalian sebut raja orang Yahudi?”
290f0d002c	Tetapi mereka berteriak, “Salibkan dia!”
290f0e008d	“Mengapa? Kejahatan apa yang sudah dia lakukan?” Pilatus bertanya pada mereka. Tetapi mereka semakin keras berteriak, “Salibkan dia!”
290f0f00b3	Karena Pilatus ingin orang banyak itu senang kepadanya, maka dia melepaskan Barabas untuk mereka. Pertama dia menyuruh Yesus dicambuk dan kemudian menyerahkannya untuk disalibkan.
290f10007b	Lalu tentara-tentara membawa Yesus pergi ke halaman istana gubernur, lalu mereka memanggil semua tentara berkumpul di sana.
290f110085	Sesudah mereka mencambuk Yesus, mereka memakaikan jubah ungu kerajaan pada-Nya dan membuat mahkota duri dan memakaikan di kepala-Nya.
290f120054	Kemudian mereka pura-pura memberi hormat dan berkata, “Salam raja orang Yahudi!”
290f130090	Mereka berulang kali memukul kepala-Nya dengan tongkat, meludahi Dia, dan berlutut di hadapan-Nya seolah-olah sedang memberi hormat kepada raja.
290f1400a7	Sesudah mereka selesai mengejek Yesus, mereka melepaskan jubah ungu itu dan mengenakan kembali pakaian-Nya sendiri. Kemudian mereka membawa-Nya pergi untuk disalibkan.
290f1500d1	Dalam perjalanan mereka bertemu dengan seorang yang sedang lewat dan memaksa dia untuk memikul salib. Orang itu adalah Simon dari Kirene, yang datang dari pedesaan. Simon adalah bapak dari Alexander dan Rufus.
290f160059	Mereka membawa Yesus ke tempat yang disebut Golgota, yang berarti “Tempat Tengkorak”.
290f17004f	Mereka memberikan air anggur yang dicampur dengan mur, tetapi Yesus menolaknya.
290f18009c	Kemudian mereka menyalibkan Dia. Mereka membagi-bagi pakaian-Nya dengan cara membuang undi untuk memutuskan siapa yang akan mendapat bagian yang ditentukan.
290f190033	Mereka menyalibkan Yesus sekitar jam sembilan pagi.
290f1a0095	Lalu mereka memasang sebuah papan dibagian atas salib-Nya dengan tulisan yang menyatakan tuduhan terhadap-Nya yang berbunyi: “Raja orang Yahudi.”
290f1b0054	Bersama Yesus mereka menyalibkan dua orang penjahat, satu di kiri dan satu di kanan.
290f1d00cf	Orang-orang yang melewati tempat itu menghina Dia. Mereka menggelengkan kepala, dan berkata. “Hei! Kamu yang dulu berkata bahwa kamu akan menghancurkan rumah Tuhan dan membangunnya kembali dalam tiga hari;
290f1e002d	selamatkan dirimu dan turunlah dari salib!”
290f1f00ad	Demikian pula para imam kepala dan guru-guru agama mengejek-ejek Yesus dengan suara keras, “Dia menyelamatkan orang lain, tetapi dia tidak bisa selamatkan dirinya sendiri.
290f2000aa	Jika dia benar-benar Mesias, Raja Israel, mengapa dia tidak turun dari salib agar kita bisa melihat dan percaya!” Bahkan mereka yang disalibkan bersamanya menghina dia.
290f210051	Pada jam dua belas siang, kegelapan menutupi seluruh negeri sampai jam tiga sore.
290f22009b	Pada jam tiga, Yesus berseru dengan suara keras, “Eloi, Eloi, lama sabaktani,” yang artinya, “Ya Allah, Allah-Ku, mengapa Engkau meninggalkan Aku?”
290f230060	Beberapa orang yang berdiri di sana mendengar ini, dan mereka berkata, “Dia memanggil Elia.”
290f240125	Seorang laki-laki berlari dan mengambil spons dan mencelupkannya ke dalam air anggur yang asam, menaruhnya di atas tongkat, dan mencoba memberikannya kepada Yesus untuk diminum. “Tinggalkan dia sendiri,” katanya. Mari kita lihat apakah Elia akan datang untuk menurunkan dia dari salib ini.
290f250030	Kemudian Yesus berteriak dengan keras, dan mati.
290f260058	Waktu Yesus mati, gorden rumah Tuhan robek dari atas sampai ke bawah menjadi dua bagian.
290f270083	Ketika perwira yang berdiri di depan salib Yesus melihat bagaimana Yesus mati, dia berkata, “Orang ini benar-benar Anak Allah.”
290f28008e	Di situ ada beberapa perempuan yang berdiri dan melihat dari jauh termasuk Maria Magdalena, Maria ibu dari Yakobus Muda dan Yoses, dan Salome.
290f29008d	Mereka sudah mengikuti Yesus dan menjaganya selama dia di Galilea. Banyak perempuan lain yang ikut bersama-Nya ke Yerusalem juga ada di sana.
290f2a002f	Saat itu hari Jumat, sehari sebelum hari Sabat.
290f2b00a2	Karena itu Yusuf dari Arimatea, seorang anggota dewan pimpinan yang menunggu kerajaan Allah, memiliki keberanian untuk pergi ke Pilatus dan meminta jenazah Yesus.
290f2c0087	Pilatus heran waktu mendengar bahwa Yesus sudah mati begitu cepat, jadi dia memanggil perwira itu dan bertanya apakah Yesus sudah mati.
290f2d0077	Sesudah Pilatus mendengar laporan dari perwira itu, Pilatus memberikan izin kepada Yusuf untuk mengambil jenazah Yesus.
290f2e00f7	Lalu Yusuf membeli kain putih. Kemudian dia menurunkan tubuh Yesus dari salib dan membungkusnya dengan kain itu, dan menaruh jenazah Yesus di dalam kuburan yang sudah digali dari batu. Lalu dia menggulingkan batu besar sebagai penutup pintu kubur.
290f2f004a	Maria Magdalena dan Maria ibu dari Yoses melihat tempat Yesus dibaringkan.
29100100a3	Sesudah Sabat berakhir, pagi-pagi sekali Maria Magdalena, Maria ibu Yakobus, dan Salome membeli minyak yang harum agar mereka bisa pergi dan meminyaki tubuh Yesus.
291002005e	Sangat awal pada hari pertama minggu itu, tepat saat matahari terbit, mereka pergi ke kuburan.
2910030063	Mereka bertanya satu sama lain, “Siapa yang akan menggulingkan batu itu dari kubur untuk kita?”
291004006c	Tetapi ketika mereka tiba di kuburan, mereka melihat bahwa batu yang sangat besar dan berat sudah terguling.
29100500a0	Ketika mereka pergi ke kuburan, mereka melihat seorang pemuda duduk di dalam gua sebelah kanan, mengenakan jubah putih panjang. Mereka menjadi sangat ketakutan.
29100600b2	Tetapi malaikat itu berkata kepada mereka, “Jangan takut! Kalian mencari Yesus, Orang Nazaret yang sudah disalibkan itu. Dia sudah bangkit dari kematian. Dia tidak ada di sini.
29100700ef	Lihat, ini adalah tempat mereka membaringkan-Nya untuk beristirahat. Sekarang pergi, dan beritahu murid-murid-Nya dan Petrus bahwa Dia akan mendahului kalian ke Galilea. Kalian akan melihat Yesus di sana seperti yang Dia pernah katakan.”
2910080090	Mereka pergi dan berlari dari kuburan itu, karena gemetar dan bingung. Mereka tidak bicara apa-apa kepada siapa pun karena mereka terlalu takut.
29100900fc	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Ketika Yesus bangkit dari kematian pada hari pertama minggu itu, Dia pertama-tama Yesus menampakkan diri kepada Maria Magdalena, yang pernah Yesus mengusir tujuh roh jahat.
29100a0071	Lalu Maria memberitahukan hal itu kepada orang-orang yang dulu bersamanya saat mereka masih berduka dan menangis.
29100b007c	Ketika mereka mendengar bahwa Yesus sudah hidup kembali dari kematian dan bahwa dia sudah melihat-Nya, mereka tidak percaya.
29100c0072	Kemudian Yesus menampakkan diri dalam bentuk yang berbeda kepada dua murid lainnya yang akan pergi ke sebuah desa.
29100d005e	Kedua murid itu kembali dan memberitahukan kepada yang lain, tetapi mereka tidak percaya juga.
29100e00f1	Akhirnya Yesus memperlihatkan diri kepada sebelas murid-Nya saat mereka sedang makan. Dia menegur mereka karena mereka kurang percaya dan keras kepala, karena mereka tidak percaya kepada orang-orang yang telah melihatnya setelah dia bangkit.
29100f0073	Kemudian Yesus berkata kepada mereka, “Pergilah ke seluruh dunia, dan beritakanlah Kabar Baik kepada semua orang.
2910100080	Siapa pun yang percaya kepada-Ku dan dibaptis akan diselamatkan, tetapi siapa pun yang memilih untuk tidak percaya akan dihukum.
2910110092	Dan tanda-tanda berikut akan menyertai mereka yang percaya kepada-Ku: dalam nama-Ku mereka akan mengusir setan; mereka akan berbicara bahasa baru;
29101200c0	mereka akan memegang ular dengan tangan mereka; jika mereka meminum sesuatu yang beracun mereka tidak akan sakit dan mati; mereka akan meletakkan tangan pada orang sakit dan menjadi sembuh.”
291013008e	Kemudian, Tuhan Yesus, sesudah Dia selesai berbicara dengan murid-murid-Nya, Dia terangkat ke surga, di mana Dia duduk di sebelah kanan Allah.
29101400b5	Lalu para murid Yesus pergi dan memberitakan Kabar Baik ke mana-mana, dan Tuhan Yesus menyertai mereka dan melakukan banyak keajaiban sebagai bukti bahwa Kabar Baik itu benar. Amin.
2a00000005	Lukas
2a01010072	Seperti yang kamu tahu, banyak orang telah mencoba menuliskan segala sesuatu yang telah terpenuhi melibatkan kami.
2a01020061	Mereka mendasarkan laporan mereka pada bukti dari saksi mata yang paling awal dan pelayan Firman,
2a010300ac	maka sayapun memutuskan sebab saya juga mengikuti peristiwa-peristiwa yang sudah terjadi mulai dari awalnya, maka merupakan ide yang baik untuk menuliskannya dengan akurat.
2a01040077	Saya melakukan ini Teofilus terkasih agar kamu bisa yakin bahwa apa yang diajarkan kepadamu benar-benar bisa dipercaya.
2a010500b2	Ketika masa Herodes menjadi Raja di Yudea, ada seorang imam yang bernama Zakaria, dari keluarga Abia. Zakaria menikah dengan Elisabet, yang juga adalah keturunan dari Imam Harun.
2a01060077	Mereka berdua melakukan apa yang benar di hadapan Allah, dengan hati-hati mengikuti semua perintah dan peraturan Tuhan.
2a01070056	Mereka tidak memiliki anak sebab Elisabet mandul, dan mereka berdua sudah lanjut usia.
2a01080061	Ketika Zakaria sedang bertugas sebagai imam di hadapan Allah, sebagai wakil dari kelompok imamnya
2a0109006c	Zakaria dipilih berdasarkan undian menurut adat keimaman untuk masuk ke dalam rumah Tuhan dan membakar dupa.
2a010a004a	Selama waktu persembahan dupa, kerumunan masyarakat sedang berdoa di luar.
2a010b0057	Seorang malaikat Tuhan muncul di hadapan Zakaria, berdiri di sebelah kanan mezbah dupa.
2a010c004d	Ketika Zakaria melihat malaikat itu, tertegunlah dia dan merasa takut sekali.
2a010d00e0	Tetapi malaikat itu berkata kepadanya, “Janganlah takut, hai Zakaria. Allah sudah mendengar doamu. Elisabet, istrimu itu, akan mengandung dan melahirkan seorang anak laki-laki, dan kamu akan memberi nama anak itu, Yohanes.
2a010e005e	Dia akan memberikan kamusukacita dan kebahagiaan, dan banyak yang akan merayakan kelahirannya.
2a010f00c5	Anakmu itu akan menjadi luar biasa di hadapan Tuhan. Dia tidak akan mau minum air anggur ataupun minuman yang memabukkan lainnya. Dan dia akan dipenuhi oleh Roh Allah bahkan sebelum dia dilahirkan.
2a0110004f	Dia akan membuat banyak orang Israel kembali percaya kepada Tuhan Allah mereka.
2a011100de	Dia akan mendahului Tuhan dalam roh dan kuasa Elia, untuk mengembalikan hati para ayah kepada anak-anak mereka, dan mereka yang memberontak kembali ke jalan yang benar — untuk mempersiapkan orang-orang menerima Tuhan.”
2a01120080	“Bagaimana saya bisa yakin hal itu akan terjadi?” tanya Zakaria kepada malaikat. “Aku sudah tua, demikian juga istriku.”
2a0113009e	“Aku adalah Gabriel,” jawab sang Malaikat. “Aku berdiri di hadapan Allah, dan dikirim untuk berbicara kepadamu dan memberitakan kepadamu kabar baik ini.
2a011400a6	Tetapi karena kamu tidak percaya pada perkataanku, kamu akan menjadi bisu, tidak dapat berkata-kata, sampai pada waktunya ketika setiap ucapanku menjadi kenyataan.”
2a0115007b	Sementara di luar orang-orang sedang menunggu Zakaria, dan bertanya-tanya mengapa dia begitu lama ada di dalam rumah Tuhan.
2a01160102	Ketika akhirnya Zakaria keluar, dia tidak bisa mengucapkan perkataan apa pun kepada mereka. Mereka menyadari bahwa tentunya Zakaria mendapat penglihatan di rumah Tuhan, sebab sekalipun dia bisa memberi bahasa isyarat, tetapi Zakaria benar-benar menjadi bisu.
2a0117003e	Sesudah selesai masa bertugasnya, kembalilah Zakaria ke rumah.
2a01180070	Beberapa waktu kemudian, Elisabet, istri Zakaria mengandung. Dan dia tinggal di rumah selama lima bulan lamanya.
2a01190067	“Tuhan yang melakukan ini kepadaku,” katanya, “Tuhan sudah mengambil aibku di mata orang lain.”
2a011a00a9	Pada bulan ke enam di masa kehamilan Elisabet, Allah mengirim malaikat Gabriel kepada seorang perempuan muda yang bernama Maria, yang tinggal di kota Nazaret di Galilea.
2a011b003b	Maria bertunangan dengan seorang pemuda yang bernama Yusuf.
2a011c0074	Sang malaikat menyapa Maria. “Sungguh dirimu ini diberkati, Maria,” kata malaikat. “Tuhan beserta denganmu.”
2a011d0058	Maria sangat bingung dengan apa yang dia katakan, dan bertanya-tanya apa arti salam ini.
2a011e006a	“Janganlah kuatir, Maria,” lanjut malaikat itu, “sebab Allah menunjukkan kebaikan hati-Nya kepadamu.
2a011f006d	Kamu akan mengandung dan melahirkan seorang anak laki-laki. Dan kamu akan memberi nama Yesus kepada anak itu.
2a0120007b	Dia akan menjadi sangat hebat, dan dia akan disebut Anak Yang Mahatinggi. Tuhan Allah akan memberinya takhta Daud, ayahnya,
2a01210061	dan Dia akan memerintah atas bangsa Israel selamanya. Kerajaan-Nya tidak akan pernah berakhir.”
2a01220054	“Bagaimana mungkin hal itu terjadi?” kata Maria. “Saya ini seorang perawan.”
2a012300c1	Jawab malaikat itu, “Roh Kudus akan datang ke atasmu, dan kuasa dari Yang Mahatinggi akan menguasaimu. Bayi yang ada dalam kandunganmu itu kudus, dan akan dipanggil dengan sebutan Anak Allah.
2a01240086	Dan sepupumu, Elisabet, bahkan dia hamil di usia tuanya. Wanita yang dikatakan orang tidak bisa punya anak itu sudah hamil enam bulan.
