010000000d	1 Mojžišova
0a0c0800aa	A dal jsem tobě dům pána tvého, i ženy pána tvého v lůno tvé, dalť jsem také dům Izraelský a Judský, a bylo-liť by to málo, byl bych přidal mnohem více.
0a0c0900d0	Pročež jsi sobě zlehčil slovo Hospodinovo, čině to, což se nelíbí jemu? Uriáše Hetejského zabil jsi mečem, a manželku jeho pojals sobě za ženu, samého pak zamordoval jsi mečem Ammonitských.
0a0c0a0094	Protož nyní neodejdeť meč z domu tvého až na věky, proto že jsi pohrdl mnou, a vzal jsi manželku Uriáše Hetejského, aby byla žena tvá.
0a0c0b00ca	Takto praví Hospodin: Aj, já vzbudím proti tobě zlé z domu tvého, a vezma ženy tvé před očima tvýma, dám je bližnímu tvému, kterýž spáti bude s ženami tvými, an na to každý hledí.
0a0c0c006e	A ačkoli ty učinil jsi to tajně, já však učiním to zjevně přede vším Izraelem a všechněm známě.
0a0c0d0088	Tedy řekl David Nátanovi: Zhřešilť jsem Hospodinu. Zase řekl Nátan Davidovi: Tentýž Hospodin přenesl hřích tvůj, neumřeš.
0a0c0e009d	Ale však, poněvadž jsi tou věcí dal příčinu nepřátelům Hospodinovým, aby se rouhali, protož ten syn, kterýž se narodil tobě, jistotně umře.
0a0c0f0090	Potom odšel Nátan do domu svého. V tom Hospodin ranil dítě, kteréž byla porodila manželka Uriášova Davidovi, tak že pochybili o něm.
0a0c100053	I modlil se David Bohu za to dítě a postil se, a všed, ležel přes noc na zemi.
0a0c11006f	A ačkoli starší domu jeho přišli k němu, aby ho zdvihli z země, on však nechtěl, aniž s nimi co jedl.
0a0c120128	Stalo se pak dne sedmého, že umřelo dítě. I nesměli služebníci Davidovi toho oznámiti jemu, že by umřelo dítě; nebo pravili: Aj, když ještě bylo dítě živo, mluvili jsme jemu, a nechtěl slyšeti hlasu našeho, což pak když jemu díme: Umřelo dítě. Ovšem to tíže ponese.
0a0c1300ae	Ale vida David, an služebníci jeho k sobě šepcí, srozuměl, že by umřelo dítě. I řekl David služebníkům svým: Co již umřelo dítě? Kteříž řekli: Umřelo.
0a0c1400b6	Tedy vstav David s země, umyl se a pomazal se, a změnil roucho své, a všed do domu Hospodinova, pomodlil se. Potom vrátiv se do domu svého, rozkázal sobě dáti jísti a jedl.
0a0c1500a1	Služebníci pak jeho řekli jemu: Co jsi to učinil? Pro dítě, když živo bylo, postils se a plakal, ale jakž dítě umřelo, vstal jsi a přijal jsi pokrm.
0a0c1600a8	Kterýžto řekl: Pokudž ještě dítě živo bylo, postil jsem se a plakal, nebo jsem řekl: Kdo ví? Můžeť se smilovati nade mnou Hospodin, aby živo bylo dítě.
0a0c170092	Nyní pak, poněvadž umřelo, proč se mám postiti? Zdaliž budu moci zase je vzkřísiti? Jáť půjdu k němu, ale ono se nenavrátí ke mně.
0a0c180091	Potom David potěšiv Betsabé manželky své, všel k ní a spal s ní. I porodila syna, a nazval jméno jeho Šalamoun, a Hospodin miloval jej.
0a0c190050	Protož poslal byl Nátana proroka, a nazval jméno jeho Jedidiah pro Hospodina.
0a0c1a0047	Bojoval pak Joáb proti Rabba Ammonitských, a vzal město královské.
0a0c1b004d	A poslav posly k Davidovi, řekl: Dobýval jsem Rabba a vzal jsem město vod.
0a0c1c0097	Protož nyní sebera ostatek lidu, polož se proti městu a vezmi je, abych já nevzal města toho, a bylo by mně připisováno vítězství nad ním.
0a0c1d0053	Tedy sebrav David všecken lid, vytáhl proti Rabba, kteréhož dobýval a vzal je.
0a0c1e00b9	A sňal korunu krále jejich s hlavy jeho, kteráž vážila centnéř zlata, a bylo v ní kamení drahé, a vstavena byla na hlavu Davidovu. Vyvezl též kořisti města velmi veliké.
0a0c1f00ec	Lid pak, kterýž v něm byl, vyvedl a dal jej pod pily a pod brány železné a pod sekery železné, a vehnal je do peci cihelné. A tak činil všechněm městům Ammonitským. Potom navrátil se David se vším lidem do Jeruzaléma.
0a0d010073	I stalo se potom, že Absolon syn Davidův měl sestru krásnou, jménem Támar; i zamiloval ji Amnon syn Davidův.
0a0d020092	A tak se o to trápil Amnon, že i v nemoc upadl pro Támar sestru svou; nebo panna byla, a viděl Amnon, že nesnadně bude jí moci co učiniti.
0a0d03007c	Měl pak Amnon přítele, jehož jméno bylo Jonadab, syn Semmaa bratra Davidova, kterýžto Jonadab byl muž velmi chytrý.
0a0d040094	I řekl jemu: Proč tak chřadneš, synu králův, den ode dne? Neoznámíš-liž mi? I řekl mu Amnon: Támar sestru Absolona bratra svého miluji.
0a0d05010a	Tedy řekl jemu Jonadab: Polož se na lůže své a udělej se nemocným, a když přijde otec tvůj, aby tě navštívil, díš jemu: Nechť přijde, prosím, Támar sestra má a dá mi jísti, připravíc před očima mýma pokrm, abych viděl a jedl z ruky její.
0a0d0600e6	A tak složil se Amnon, dělaje se nemocným. A když přišel král, aby ho navštívil, řekl Amnon králi: Nechť přijde, prosím, Támar sestra má a připraví před očima mýma asi dvě krmičky, abych pojedl z ruky její.
0a0d07006a	Protož poslal David k Támar do domu, řka: Jdi hned do domu Amnona bratra svého a připrav mu krmičku.
0a0d080092	I šla Támar do domu Amnona bratra svého; on pak ležel. A vzavši mouky, zadělala ji, a připravivši krmičku před očima jeho, uvařila ji.
0a0d090094	Potom vzavši pánvici, vyložila před něj, a on nechtěl jísti. (I řekl Amnon: Spravte to, ať vyjdou všickni ven. I vyšli od něho všickni.
0a0d0a00bd	Řekl pak Amnon k Támar: Přines tu krmičku do pokojíka, abych pojedl z ruky tvé. A vzavši Támar krmičku, kterouž připravila, přinesla ji před Amnona bratra svého do pokojíka.)
0a0d0b0059	Ale když mu podávala, aby jedl, uchopil ji a řekl jí: Poď, lež se mnou, sestro má.
0a0d0c0087	Kterážto řekla jemu: Nikoli, bratře můj, nečiň mi násilí, nebo ne tak se má díti v Izraeli. Neprovoď nešlechetnosti této.
0a0d0d00a4	Nebo já na koho svedu pohanění své? Ty pak budeš jako jeden z nejnešlechetnějších v Izraeli. Raději tedy mluv medle s králem, nebo neodepřeť mne tobě.
0a0d0e0066	Ale nechtěl uposlechnouti hlasu jejího, nýbrž zmocniv se jí, učinil jí násilí a ležel s ní.
0a0d0f00b2	Potom vzal ji Amnon v nenávist velikou velmi, tak že větší byla nenávist, kterouž nenáviděl jí, než milost, kterouž ji miloval. I řekl jí Amnon: Vstaň a jdi pryč.
0a0d1000b9	Kterážto odpověděla jemu: Za příčinou převelmi zlé věci té, kterouž jsi při mně spáchal, druhé horší se dopouštíš, že mne vyháníš. On pak nechtěl jí slyšeti.
0a0d11006e	Ale zavolav mládence, kterýž mu přisluhoval, řekl: Vyveď hned tuto ode mne ven, a zamkni dvéře po ní.
0a0d1200a9	(Měla pak na sobě sukni proměnných barev, nebo v takových sukních chodívaly dcery královské panny.) A tak vyvedl ji ven služebník jeho a zamkl dvéře po ní.
0a0d1300a9	Tedy posypala Támar hlavu svou popelem, a sukni proměnných barev, kterouž měla na sobě, roztrhla; a vložila ruku na hlavu svou, a jduc, křičela s naříkáním.
0a0d1400db	I řekl jí Absolon bratr její: Nebyl-liž Amnon bratr tvůj s tebou? Ale nyní, sestro má mlč; bratr tvůj jest, nepřipouštěj toho k srdci. A tak zůstala Támar, jsuc opuštěná, v domě Absolona bratra svého.
0a0d150047	A uslyšev král David o těch všech věcech, rozhněval se náramně.
0a0d16008d	Absolon pak nic nemluvil s Amnonem, ani dobrého ani zlého; nebo nenáviděl Absolon Amnona, proto že učinil násilí Támar sestře jeho.
0a0d170095	I stalo se po celých dvou letech, když střihli ovce Absolonovi v Balazor, jenž jest podlé Efraim, že pozval Absolon všech synů královských.
0a0d180098	Nebo přišel Absolon k králi a řekl: Aj, nyní služebník tvůj má střižce; nechť, prosím, jde král a služebníci jeho s služebníkem tvým.
0a0d1900a7	I řekl král Absolonovi: Nechť, synu můj, nechť nyní nechodíme všickni, abychom tě neobtěžovali. A ačkoli nutkal ho, však nechtěl jíti, ale požehnal mu.
0a0d1a007b	Řekl ještě Absolon: Nechť aspoň s námi jde, prosím, Amnon bratr můj. Odpověděl jemu král: Proč by s tebou šel?
0a0d1b0050	A když vždy dotíral Absolon, poslal s ním Amnona i všecky syny královské.
0a0d1c00fb	Přikázal pak byl Absolon služebníkům svým, řka: Šetřte medle, když se rozveselí srdce Amnonovo vínem, a řeknu vám: Bíte Amnona, tedy zabíte jej. Nebojte se nic, nebo zdaliž jsem já nerozkázal vám? Posilňte se a mějte se zmužile.
0a0d1d00aa	I učinili Amnonovi služebníci Absolonovi, jakž jim byl přikázal Absolon. Pročež vstavše všickni synové královi, vsedli jeden každý na mezka svého a utekli.
0a0d1e0097	V tom když ještě byli na cestě, přišla taková pověst k Davidovi: Pobil Absolon všecky syny královské, tak že z nich ani jednoho nezůstalo.
0a0d1f0072	Tedy vstav král, roztrhl roucha svá a ležel na zemi; všickni také služebníci jeho stáli, roztrhše roucha.
0a0d200109	Ozval se pak Jonadab, syn Semmaa bratra Davidova, a řekl: Nepraviž toho, pane můj, jako by všecky mládence syny královy zbili, ale Amnon toliko zabit; nebo tak v úmysle Absolonově složeno bylo od toho dne, jakž on byl učinil násilí Támar sestře jeho.
0a0d210097	Protož nechať nepřipouští toho nyní pán můj král k srdci svému, mysle, že by všickni synové královi zbiti byli; nebo Amnon toliko umřel.
0a0d220090	Absolon pak utekl. Tedy pozdvih služebník hlásný očí svých, uzřel, an mnoho lidu jde odtud, kudyž se chodilo k němu cestou pod horami.
0a0d230071	I řekl Jonadab králi: Aj, synové královští přijíždějí. Vedlé řeči služebníka tvého tak se stalo.
0a0d2400b0	A když přestal mluviti, aj, synové královští přišli, a pozdvihše hlasu svého, plakali; též také král i všickni služebníci jeho plakali pláčem velmi velikým.
0a0d25006e	Absolon pak utekl a ušel k Tolmai synu Amiudovu, králi Gessur. I plakal David syna svého po všecky ty dny.
0a0d260040	Absolon tedy utíkaje, přišel do Gessur, a byl tam tři léta.
0a0d27004f	Potom žádal David vyjíti k Absolonovi, nebo již byl oželel smrti Amnonovy.
0a0e010050	Srozuměv pak Joáb syn Sarvie, že by naklonilo se srdce královo k Absolonovi,
0a0e0200e9	Poslav do Tekoa, a povolav odtud ženy moudré, řekl jí: Medle, udělej se, jako bys zámutek měla, a oblec se, prosím, v roucho smutku, a nepomazuj se olejem, ale buď jako žena již za mnoho dní zámutek mající nad mrtvým.
0a0e030065	I půjdeš k králi a mluviti mu budeš vedlé řeči této. A naučil ji Joáb, co by měla mluviti.
0a0e04007a	Protož mluvila žena ta Tekoitská králi, padši na tvář svou k zemi, a poklonu učinivši, řekla: Spomoz, ó králi.
0a0e050067	I řekl jí král: Což jest tobě? Odpověděla ona: Zajisté žena vdova jsem, a umřel mi muž můj.
0a0e06008e	Měla pak služebnice tvá dva syny, kteříž svadili se spolu na poli, a když nebyl, kdo by je rozvadil, udeřil jeden druhého a zabil ho.
0a0e070128	Aj, teď povstala všecka rodina proti služebnici tvé, a řekli: Vydej toho, jenž zabil bratra svého, ať ho zabijeme za život bratra jeho, kteréhož zamordoval, nýbrž zahubíme i dědice. A tak uhasí jiskru mou, kteráž pozůstala, aby nezanechali muži mému jména a ostatku na zemi.
0a0e08004e	Tedy řekl král ženě: Navrať se do domu svého, a jáť poručím o tobě.
0a0e09009d	I odpověděla žena Tekoitská králi: Nechť jest, pane můj králi, na mne ta nepravost, a na dům otce mého, král pak a stolice jeho ať jest bez viny.
0a0e0a0067	Řekl také král: Bude-li kdo mluviti co proti tobě, přiveď ho ke mně, a nedotkneť se tebe více.
0a0e0b00df	Tedy ona řekla: Rozpomeň se, prosím, králi, na Hospodina Boha svého, aby se nerozmnožili mstitelé krve k zhoubě a nezahladili syna mého. I odpověděl: Živť jest Hospodin, žeť nespadne vlas syna tvého na zemi.
0a0e0c0079	K tomu řekla žena: Nechť promluví, prosím, služebnice tvá pánu svému králi slovo. Kterýžto odpověděl: Mluv.
0a0e0d00c1	I řekla žena: Proč jsi tedy myslil podobnou věc proti lidu Božímu? Nebo mluví král řeč tuto jako ten, kterýž sebe vinného činí, poněvadž nechce zase povolati vyhnaného svého.
0a0e0e00e8	Všickniť jsme zajisté nepochybně smrtelní a jako vody, kteréž rozlity jsouce po zemi, zase sebrány býti nemohou, aniž se Bůh na něčí osobu ohlédá; ovšemť i myšlení svá vynesl, aby vyhnaného nevyháněl od sebe.
0a0e0f00d9	Nyní pak, že jsem přišla ku pánu svému králi mluviti řeči tyto, příčina jest, že mne strašil lid. Protož řekla služebnice tvá: Budu nyní mluviti králi, snad naplní král žádost služebnice své.
0a0e100088	Neboť vyslyší král a vysvobodí služebnici svou z ruky muže, chtějícího vyhladiti mne i syna mého spolu z dědictví Božího.
0a0e1100ce	Řekla také služebnice tvá: Vždyť mi bude slovo pána mého krále k odtušení; (nebo jako anděl Boží, tak jest pán můj král, když slyší dobré aneb zlé,) a Hospodin Bůh tvůj bude s tebou.
0a0e12008d	A odpovídaje král, řekl ženě: Medle, netaj přede mnou toho, nač se já tebe vzeptám. I řekla žena: Mluv, prosím, pane můj králi.
0a0e130153	Tedy řekl král: Není-liž Joáb jednatel všeho tohoto? I odpověděla žena a řekla: Jako jest živa duše tvá, pane můj králi, žeť se nelze uchýliti na pravo aneb na levo ode všeho toho, což mluvil pán můj král; nebo služebník tvůj Joáb, onť jest mi rozkázal, a on naučil služebnici tvou všechněm slovům těmto,
0a0e1400a2	A abych tak příkladně vedla řeč tuto, způsobil to služebník tvůj Joáb. Ale pán můj moudrý jest jako anděl Boží, věda, což se koli děje na zemi.
0a0e150062	A protož řekl král Joábovi: Aj, již jsem to učinil. Jdiž tedy, přiveď mládence Absolona.
0a0e1600f2	I padl Joáb na tvář svou k zemi, a pokloniv se, poděkoval králi, a řekl Joáb: Dnes jest poznal služebník tvůj, že jsem nalezl milost před očima tvýma, pane můj králi, poněvadž jest král naplnil žádost služebníka svého.
0a0e170047	Tedy vstav Joáb, odšel do Gessur, a přivedl Absolona do Jeruzaléma.
0a0e18009c	I řekl král: Nechť se navrátí do domu svého, ale tváři mé ať nevidí. A tak navrátil se Absolon do domu svého, ale tváři královské neviděl.
0a0e1900a7	Nebylo pak žádného muže tak krásného jako Absolon ve všem Izraeli, aby takovou chválu měl. Od paty nohy jeho až do vrchu hlavy jeho nebylo na něm poškvrny.
0a0e1a00d2	A když střihával vlasy hlavy své, (měl pak obyčej každého roku je střihati, protože jej obtěžovaly, i střihával je), tedy vážíval vlasy hlavy své, a bývalo jich dvě stě lotů váhy obecné.
0a0e1b007c	Zrodili se pak Absolonovi tři synové a jedna dcera, jejíž jméno bylo Támar, kteráž byla žena vzezření krásného.
0a0e1c0049	I byl Absolon v Jeruzalémě dvě létě, a tváři královské neviděl.
0a0e1d0099	A protož poslal Absolon k Joábovi, chtěje ho poslati k králi. Kterýžto nechtěl přijíti k němu. I poslal ještě podruhé, a nechtěl přijíti.
0a0e1e00aa	Tedy řekl služebníkům svým: Shlédněte dědinu Joábovu vedlé pole mého, kdežto má ječmen; jděte a spalte jej. I zapálili služebníci Absolonovi dědinu tu.
0a0e1f0075	A vstav Joáb, přišel k Absolonovi do domu jeho, a řekl jemu: Proč jsou služebníci tvoji zapálili dědinu mou?
0a0e200120	Odpověděl Absolon Joábovi: Aj, poslal jsem k tobě, řka: Přiď sem, a pošli tě k králi, abys řekl jemu: I proč jsem přišel z Gessur? Lépe mi bylo ještě tam zůstati. Protož nyní nechať uzřím tvář královu. Pakliť jest na mně nepravost, nechť mne rozkáže zabiti.
0a0e2100ad	Tedy přišel Joáb k králi a oznámil to jemu. I povolal Absolona. Kterýž přišed k králi, poklonil se na tvář svou až k zemi před ním. I políbil král Absolona.
